QueryText,KccAns
asked about control of sucking pests in cotton,recommended to spray rogar 2ml/lt
asked about control for weeds in cotton field,recommended to spray pendimithalin 1.3lit/acre
asked about control of weeds in cotton,recommended to spray peraquat 1lt/200lt water
asked about control of white flies damage in cotton,recommended to spray roghar 2ml/lt water
asked about the weed control in cotton.,recommended to spray paraquat 24% @1.0 lit/acre.
asked about control of flies damage in cotton,recommended to spray rogar 2ml/lt
asked about fertilizer dosage in cotton,"recommended fertilizer dosage is n-48,p-24,k-24 kg/acre"
asked about the control of weeds in cotton,suggested to spray pluchloralin45%@1lit/acre.
asked for the reclamation of magnesium deficiency in cotton,suggested to spray magnesium sulphate @ 10ml per lit of water
fertilizer application in cotton bt,suggested application of 100 150 30  kgs of urea ssp and mop
asked about controlof sucking ests in cotton,recommended to spray roghar 3gm/lt
fertilizer application in  bt cotton,suggested application of  100 150 and 35 kgs of urea  ssp and mop  per acre of  land
asked about the control of sucking pests.,recommended to spray methyl dematon @ 2ml/lit of water.
asked about the control of weeds,recommended for the application of pendimithalin 1.5ltr/acre
asked about control of cotton fetilizer dosage,"recommended to apply n-48,p-24,k-24"
asked about the control of sucking pest.,recommended to spray methyldematon 2ml/lit
asked about the control of sucking pest,recommended to spray methyldematon 2ml/lit
asked about the weed control.,recommended to spray fluchloralin 1lit/acre.
asked about the control of suckingpest.,recommended to spray methyldematon 2ml/lit
asked about the control of sucking pest in cotton,recommended to spray imidacloprid@2ml/liter
asked about the control of cotton boll worm,recommended to spray quinolphas 2 ml/ltr
asked about curling and rolling of leafs in cotton,recommanded spray contaf@1.5ml/ltr of water apply
asked about control of sucking pest in cotton,control of sucking pest in cotton-spraying of monocrotophas 1.6 ml/lit water or acephate@1.5gm per liter water
"asked about management of mites in cotton		
and management of thrips in greengram","suggested to  provide immediately after soil application of urea						
suggested to spray prophinophos"
magnicium defficiency in cotton,spray mgso4 10 g/liter water
cotton sucking pest,acephate @ 1.5g/lt of waetr
asked about weed management in cotton,suggested tio spray quizalophaphythyl@ 400ml/200 lit water
asked about control of helicoverpa in cotton,suggested to spray prophinophos@2ml/lit
asked about fertilizer management in cotton,"suggested that for cotton hybrids 105kg urea+150kg super phosphate+40kg potash should be apllied.150kg super phosphate should be applied at the time of last ploughing,urea+potash should be applied in 3split doses 35kg urea+15kg potash in each dose at 30,60,90 days after sowing"
yvmv in cotton,controlling of sucking seed acephate 1.5g/lt
asked about leaf folding in cotton,suggested to spray borax @1.5 gm/lit water
herbicide in cotton,30 das quizalophous ethyl 400ml and 200 lit of water
asked about reddening of leaves in cotton,suggest him to spray mgso4 10g per lit
spodoptera management in cotton,suggested to spray chloripyriphos 2 2.5 ml/lit water
asked about sucking pest in cotton,suggested to spray dimethoate @ 2ml/lt of water
asked about weedicide in cotton,suggested to turga super@ 400 ml/acer
asked about control of heicoverpa in cotton,suggested to spray prophoniphos@2ml per liter water
cost of weeder in cotton and subsidy,suggested to contact ao and given cost details around 1200 rs
asked about herbicide in cotton,suggested to spray turga super @ 400mlit/acre
sucking pest management in cotton,suggested to spray imidachloprid
asked about yellowing of leaves in cotton,suggested to spray mgs04 @ 10g/lt of water
asked about control of pandaku tegulu in cotton,suggested to spray 1%mgso4+2%urea or 1% diammonoum phosphate
asked about  non flowering in cotton,suggested to apply potash and phosphorous
asked about management of sucking pests in cotton,suggested to spray imidachloprid
asked about application of fertilizer application thru drip for cotton,given the relavant contact details
asked about helicoverpa damage,suggest him to spray monocrotophos @  1.6ml per lit
asked about fertlizer application in cotton,suggested to apply  24kg urea and 16 kg potash
weed control in cotton 10-15 das,quizalophos 400 ml/200 lit water
leaf drying in cotton,suggested to spray mancozeb @ 2.5 gm/lit water
yellowing of leaves in cotton,suggested to spray zinc sulphate @ 2gm/lit water
sucking pest damage in cotton,acephate 1.5g/lt
weed mangement in cotton 40 days after planting,suggested quizalophaphythyl @ 400ml/200lit water
asked about dwarf growth of cotton,suggested him to spray 1% foliar spray urea
weedcide in cotton,"glyposate  2 lit , 200lt of water /acre after 40 days sowing"
asked about fruit drop in cotton,suggest him to spray planofix 2.5ml per 10lit
asked about leaf eating caterpillar,suggest to spray carbaril 2ml per lit
asked about yeloowing of bottom leaves in cotton,suggested to spray magnesium sulphate @ 10g/lt of water
asked about flower drop in cotton,recommended to spray 2.5 ml of planofix 10 litres of water
asked about nutrient management in cotton,suggested to spray multi-k@10gm per liter water
market rates ofcotton and jowar,given as per ap agris net
asked about fertilizer management in  cotton,"fertilizer management in cotton-suggested that for cotton hybrids 105kg urea+150kg super phosphate+40kg potash should be apllied.150kg super phosphate should be applied at the time of last ploughing,urea+potash should be applied in 3split doses 35kg urea+15kg potash in each dose at 30,60,90 days after sowing"
asked about  proper growth  and flowering in cotton,recommended to apply potash
pre emergence herbicide in cotton,pendimethalin 1 lt/acre
flower drop in cotton,spray planofix 2 ml/10 liter water.
asked about leaf folding in cottton,suggest him to spray acephate1.5g per lit
sucking pest probblem in cotton?,aciphate 1.5 g/lit of water
asked about  suking  pest management in cotton,suggested acephate @1.5gm/lit water
asked about spodoptera damage in cotton,suggest to spray profinophos 2ml per lit
asked about mites management in cotton,suggested profinophos @ 2ml/lit water
asked about proper growth in coton,suggested to spray magnesium sulphate with urea
weed management in cotoon,suggested to spray quizalaphop ethyl @ 400 ml/acer
direct sowing od paddy,suggested the seed rate as 15kg
asked about reddning anf folding of leaves,suggested to spray acephate@ 1.5 g/lt of water
"sucking pest management in tomato
market rate of cotton","suggested dimethoate @ 2ml/lit water
given information as per agmarket"
asked about fertilizer application in cotton 30 days after sowing,"suggested to appkly 60 kg nitrogen in 3 split doses at 30, 60 and 90 days after sowing, p 24 kg and 24 kg k  7-10 spacing  from plant in small pits"
asked about control of shoot borer in cotton,suggested to spray chloropyriphos 3ml/lit or prophinophos@2ml per liter water
asked about leaf curl in chilli,suggested to spray acephate @ 300g/acer
asked about iron deficiency in rice,suggested to spray anna bedi@20g and citric acid 2g/lt of water
asked about sucking pests in cotton,suggested spraying of imidachloprid@ 0.3ml/lt
asked about mealy bug control in cotton,suggested to spray acephate 2gm/lit or prophinophos 3ml/lit
asked about sucking pest control in cotton,suggested to spray monochrotophos 1.5ml/lit or acephate 1.5gm/lit
asked about control of whitefly in cotton,suggested to spray imidachloprid @ 50ml per acre
farmers wants to give compliant on seed dealer who is selling seed morethan mrp,suggested to contact mandal agril.officer-8096697384
asked about cotton seed  germination,suggested that it takes 7-10 days for germination
askedabout fertilizer management in cotton,"cotton-fertilizer management-suggested that for cotton hybrids 105kg urea+150kg super phosphate+40kg potash should be apllied.150kg super phosphate should be applied at the time of last ploughing,urea+potash should be applied in 3split doses 35kg urea+15kg potash in each dose at 30,60,90 days after sowing"
asked about fertlizer management in cotton,"suggested that for cotton hybrids 105kg urea+150kg super phosphate+40kg potash should be apllied.150kg super phosphate should be applied at the time of last ploughing,urea+potash should be applied in 3split doses 35kg urea+15kg potash in each dose at 30,60,90 days after sowing"
asked about the control of mg deficiancy,recommended to spray mg sulphate 10gm/lit
asked about magnesium deficiency in cotton,spraying of magnesium sulphate @ 10 g/lt
asked about fertilizer mangement in cotton,"suggested that for cotton hybrids 105kg urea+150kg super phosphate+40kg potash should be apllied.150kg super phosphate should be applied at the time of last ploughing,urea+potash should be applied in 3split doses 35kg urea+15kg potash in each dose at 30,60,90 days after sowing"
asked about weed control in cotton,suggested to spray fluchloralin@1lit per acre at the time of land preparation.pendimethalin @1.3 lit per acre immediately after sowing of seed
control of red leaves in cotton crop,suggested for spraying of mgso4 10gr/lit water
asked about fertilizer application in cotton,suggested 60:24:24 - n:p:k
asked about fertilizer management,"suggested that for cotton hybrids 105kg urea+150kg super phosphate+40kg potash should be apllied.150kg super phosphate should be applied at the time of last ploughing,urea+potash should be applied in 3split doses 35kg urea+15kg potash in each dose at 30,60,90 days after sowing"
asked about seed treatment in paddy,suggested that carbendizim 1gr/lit water
asked about wilt in cotton,suggested to spray carbendazim @ 1g/lt of water
asked about spodoptera in cotton,suggested to spray spinosad @ 75g/acre
asked about cotton seed availability,given the relavant contact details
pest damage in cotton,sugggested to spray acephate
asked about control of cotton sucking pest,suggested to spray acephate@1.5gm or monochrotophos@2ml per liter water
asked about   reasons for improper germination of cotton  seed,suggested to  apply required amount of fertilizers  like urea and potash
askedabout fertilizer application of cotton,suggested for application of 60:24:24 of n:p:k
asked about weed management in cotton 30 days after planting,suggested to spray quizalophaphythyl 400ml/200 lit or  pyrithiobac sodium @ 250ml/200 lit water
redmite in cotton,suggested to spray dicofol @ 2 g/lt of water
asked about herbicides in cotton,spraying of pendimethalin @ 1.3-1.6 lt/acre
asked about serpentine leaf miner in cotton,suggested to spray  dichlorovos @ 250 ml/acre
"management for leaf roll
in cotton",sugessted to spay dimethoate @2ml/lit water
asked about fertilizerapplication in cottonafter  30 days,"suggested to apply n, p & and k @ 48: 24:24 kgs	
	
asked about fertilizerapplication in cottonafter  suggested to apply n, p & and k @ 48: 24:24 kgs	
30 days"
asked about weather report,given information as per data
asked about management for leaf  webber cotton,suggested to spray quinolphos @ 400ml/ lit water per acre
