QueryText,KccAns
asked the contrl of shoot flys in black gram,recommended to spray monocrotophos 1.6ml/lit
asked about the control of tobacco caterpillar.,recommended to spray chloripyriphos 2.5ml/lit
asked about control of leaf folder,recommended to spray monochrtophos 1.6ml/lit
asked about fertilizer management in blackgram,suggested to apply 8kilos nitrozen 20kilos phosphorus per acre
asked about control of sucking pest in blackgram,suggested to spray monochrotophos@1.6ml/lit water
asked about control of afids,recommended to spray dimethoate 2ml/lit
askede about fertilizers,provided information as per data
asked about control weed,spray pendimethaline 1lit/acre
asked about control of fruit borer,recommended to spray thiodicarb 1gm+ dichlorovas 1ml/lit water
herbicide in black gram,spraying of quizalo-pop-ethyl @ 2 ml/lt
maruka pest in black gram,spraying of chloripyriphos@ 2.5 ml/lt
control of sucking pest in black gram,spraying of dimethioate 2ml/li water
control of yellow mosaic in black gram,spraying of dimthioate 2 ml/lit water
control of weeds in green gram,spraying of phenoxypras ethyle 250 ml/acre
asked about   complaint on damaged seeds of blackgram,given him controll room number
asked about herbicide in blackgram,suggest to spray imazithapyre
control of weeds in black grms,spraying of quizalophas ethyle 400 ml/acre
weedicide in black gram,spraying of quizalopop ethyl@ 2 ml/lt
asked about  helicoverpa inblackgram,suggest to thiodicarb
asked about helicoverpa in blackgram,suggest to spray thiodicarb
asked about black gram varieties,"suggessted l.b.g-752,20,623 or t-9 varieties"
asked about irrigation in blackgram,suggest to irrigate  before fruiting
asked about  urea spray dosage,suggest to spray  2g per lit
maruka pest in blackgram,spraying of chloripyriphos@ 2.5 ml/lt
asked about weed management in blackgram,suggested for manual weeding
control of aphids in black gram,spraying of dimthioate 2 ml/lit water
asked about pest in black gram,given as per data
asked about yellowing in black gram,suggested to spray coc
asked about spodoptera in blackgram,suggest to spray spinosad
asked about leaf folding in blackgram,suggest to spay acephate
asked about control of leaf eating cater pillar in blackgram,suggested to spray prophinophos@2.5ml per liter water
control of yellow mosaic in black grm,spraying of methyle dematon 2 ml/litre water
asked about spotedboll warm,suggest to spray spinosad
asked about drying of leaves in blackgram,suggest him to spray mancozeb
asked about spodptera,suggest to spray thiodicarb
control of hoppers in black gram,spraying of dimthiote 2ml/litwater
asked about spotted bollwarm,suggest to spray thiodicarb
asked about spotted boll warm,suggest to spray spinosad 60ml per acre
asked about control of leaf eating caterpillar in blackgranm,suggested to spray quinolphos@2.5ml per liter water
leaf folder and holes,chloripyphos 2.5ml
maruca pest in black gram,spraying of spinosad@ 60 ml/lt
asked about  maruca pest in blackgram,recemmended cloripyriphos 2.5ml/lit
control of the sucking pest in blackgram,spraying chloropyriphos 2ml/1 lit water
asked about weedcontrol,recommended to spray phenoxoprop ithyl 9% 250ml/acre
weed control in black gram,given
spodoptera damage in black gram,quinolphos@ 2 ml+ neem@ 5 ml/lt
herbicide for 25 days,suggested not to go for any herbicide
