QueryText,KccAns
asked about spodoptera in greengram,suggest him to spray monocrotophos
nutrient defficiency in mung bean,suggested to spray agropmax 5 g/liter of water
asked about spraying of larvin in greengram for helicoverpa management,suggested to spray
asked about management of spodoptera in greengram,suggested to spray chloropyriphos @ 2.5 ml/lit water
asked about control of spodoptera in greengram,greengram- contro of spodoptera-spraying of monochrotophos 500ml or chloropyriphos 500ml per acre
asked about control of sucking pest in green gram,suggestedto spray monochrotophos @1.6ml per liter water
asked about control of sucking pest in greengram,suhggested to spray monochrotophos@1.6ml/lit water
asked about weed management in greengram,suggested for manual weeding instead of chemical control
asked about control of thrips,recommended to spray aciphate 1gm/lit
asked about control of aphids,recommended to spray di methoate 2ml/lit
control of the sucking pest in green gram,spraying chloropyriphos 2ml/1 lit water
asked about ymv control,spraying of dymithoate 2ml/lit water
asked for control of spodoptera in green gram,suggested chloropyriphos 500ml or monochrotophos 500ml per acre
control of flodding in greengram,spraying quekinalphos 2ml/1 lit water
spodoptera damage in green gram,spraying of chloripyriphos@ 2.5 ml/lt
asked about fertilizer management in greengram,"apply fertilizers basally before sowing.
   rainfed  : 12.5 kg n + 25 kg p2o5 + 12.5 kg k2o +10 kg s*/ha
   irrigated : 25 kg n + 50 kg p2o5 + 25 kg k2o + 20 kg s*/ha
  b)   soil application of 25 kg znso4/ha under irrigated condition"
asked about helicoverpa,suggested to spray spinosad
control of caterpillar in green gram,spraying of monocrotophas 1.6 ml/lit water
asked about fruit borer,quinolphos 2ml/lt
asked about intercrop in greengram,suggest to sow cotton redgram
asked about control of leaf eating cater pillar in greengram,suggested to apply carbofuran granules@3kg per acre
asked about floweringin greengram,suggest to spray borax
asked about  weedicide in greengram,suggest to spray  phenaxaprop ethyle
asked about fertilizers in greengram,given information asper data
asked about fruitborer,suggest to spray spinosad
control of weeds in green grams,spraying of quizalophas ethyle 400 ml/acre
asked about yellow mosaic,acephate 1gm/lt
spodoptera damage in greengram,spraying of thiodicarb@  1 gm/lt
asked about bacterial blight,spray coc+plantomycin
nutrient management in greengram,information provided as per panchangam
powdery mildew in green,kerathane or wettable sulphur@ 3 gm/lt
mosaic in greengram,dimethoate@2ml/lit
control of pod borer,propinophos 2ml/l
asked about control of leaf eating caterpillar,chloripyriphos 500ml/ac   / propinophos 400ml/ac
fruit and flower drop,spraying of planofix 2 ml/10 lit water
control of powdery mildew in green gram,spray systene  ( micro butanil )100  gr/ acre
green gram wilting,1gr acephate
black spot in gram,recomended coc 30gm + 1gm plantomycin in 10lit water
sucking pest in green gram,recommended spray of rogor 2ml/ litre in green gram
green gram leaf eating c p,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
asked about greengram pest,recommended to spray chloriphriphos@2.5ml/lit
plant growth in green gram,recommended for multi-k 5 gr/ltr
green garm powdery mildew,dinocap(kerathane) 400 ml per acre
mites in green gram,recomended dicofol 5ml/lit water
green gram info,the seed of previous crop can be used for the next season
vegetative growth in greengram,multi-k 1kg/acr
green gram leaf eating caterpillar,"recommended to spray thiodecarb (larvin, spirin, check) 300 grams per acre"
"caterpillars damage
in green gram",propinophos 400ml/acre
green gram growth,recommended to spray multi k @ 1kg/acre
helicoverpa in green gram,recommended spray of missile 100 gram/ acre in green gram
leaf eating catterpillar,recomended larvin 1.5gm/liter water
green gram leaf curl,"recommended to spray acephate (antaf, artin, lucid )  300 grams per acre"
asked about crcospora leaf spot,"recommended to spray chlorothalanil(kavach, daconil, bravo)  400 grams per acre"
green gram  cercospora leaf spot,recommended to mancozeb 2.5/lit
zink deficiency in green gram,spray zink sulfate 2g/l.
post emergence herbicide in green gram,recommonded spray of imazitapyr (pursuit ) 400 ml per acre in green gram
green gram pod rot,recommended to spray copper oxy chloride (blitox) 600 grams per acre
fertilizers use green gram,no recomendation for green gram in paddy field
asked about poor growth,recommended multi k one kg/acre
wilt in gren gram,recomended coc 3gm/liter water
yello mosaic virus,"dimethoate(rogar, rogarin) 400 ml per acre"
green gram caterpillar,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
green gram herbicide,recommended to spray imazitapyr (pursuit ) 400 ml per acre
caterpillar in green gram,recommended to spraying of proclaim@ 90g/acre
"root rot
in green gram",copper oxy chloride 3g/lit-2 times in 10 days interval-mokka modalu daggara poyyandi.
powdery mildew in gram,recomended kerathane 100ml/acre
powdery mildew in  pesara,recomended bavistin 1g/lit water
green gram blight,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
asked about weedicide in green gram,recommended no to spray any weedicide now aftter 8days
green gram powdery mildew,dinocap(kerathane) 400 ml per acre   ?????????? (??????)   ???????? 400 ?? ???  200 ??????? ?????? ????? ???????? ??????
green gram sowing time,green gram sowing time - jan
control of pachha puruguin green gram,spray larvin 300 gr / acre
mixing of two chemicals,recommended do not mix two chemicals
green gram sucking pest,"recommended to spray acephate (antaf, artin, lucid )  300 grams per acre"
preventive   for    diseases   in green gram,neem oil   5  ml / lit of water
white fly in greengram,recomended for oberan 180 ml/acr
maganilo green gram fertilizer,recommended application of 125 kg/ acre in green gram
in green gram weedicides,after 1 month no recomondations
green gram helicoverpa,procliam 100 gr/acre in 200 lt water
leaf curling in green gram,spray di methoate 2 ml/lt water  rogar  and rogarin
powdery mildew  in   green gram,systene 100 gr / acre
sowing time in paddy field,sowing time in paddy field -dec
for helicoverpa in greengram,spraying of proclaim 100gms/200lt
leaf eating and fruit borer,spraying of chloropyriphas 2.5 ml/lit water
greengram powdery mildew,"hexaconazole(contaf, anvil)  400 ml per acre"
asked about maruka machhala purugu,recommended quinophos 2 ml/lit of water
varieties of greengram,"l.g.g-460,407,450; 
minumu-l.b.g-623,20"
green gram aphids,confider super 0.4ml/lt water
gren gram wedicide,terga super 400mi/acre in 200 lt water
asked about powdery mildew in greengram,recommended to spray kerathane@100ml/acre
varieties in greengram,"lgg-410,wgg 37"
control ofpallaku tegulu in green gram,spray    oberan 250 ml / acre
green gram flowering,recommended to multi k 1kg/acre
sowing time of green gram,sowing time of green gram- nov-dec.
mgmt of g gram,contact to 1800 425 4440
green gram  borer,"chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
green gram fruitandshoot borer,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
control of pachha purugu in green gram,proclaim 90 gr / acre
green gram rabi season,recommended sowing in nov - dec
asked about seed availability of greengram,0863-2524017 call this
green gram seed rate,green gram seed rate  :10-12 kg/acre
green gram helicoverpa damage,mono crotophos 1.6ml/lit.
greengram sercospora leaf spot,mancozeb m 45 2.5 gm/lit.
for good growth,multy -k 5 gm /ltr
asked about flowering pest in greengram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
small holes on leaves in green gram,recommended to chloropyriphos 2.5ml/lt water
control of   putha purugu in green gram,quinalphos     2  ml / lit of watetr
green gram growthing,multi 1kg/acre
neem  based pesticides,"neemoil(azadi,nimbicidin, rakshak) 1 litre"
asked about fertliser management,"recommended ssp 100 kg,20 kg potash,200 kg cow dung/acre"
time period of lgg460,spraying of nustar 80ml/200lt
green gram powder mildew,"recommended to spray carbendazim (bavistin, derosal, carbendazim) 200 grams per acre"
pachapurughu green gram,"chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre  ??????????????(???????? , ?????????, ????? , ????????, ?????? ) ??????? 500 ??????  200 ??????? ?????? ????? ???????? ??????"
green-gram sheath rot and powdery mildew,"spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres 
kerathi 400mi/acre in 200 lt water"
leaf folder in green gram,recomended chloripyriphos 2.5ml/lit water
green gram variety,l.g.g 407.
green gram flower,recommended spraying of agrominmax@1kg/acre
leaf eating caterpillar in green gram,recommended for quinalphous 2 ml/ltr
green gram pod borer,recommended to spray fame 20-40ml/acre
powdery mildew in green gram,recomended saff 2g/lit water
mixing the psudomonas with neem oil,not mixing psudomonas with neem oil
green gram good flowering,multi k 1kg/acre
green gram  wilt,recomonded to xolon 400ml/1acre
anthracnose in green gram,recommended spray of mancozeb 2.5 grams/ litre in green gram
green gram plant protection,recommended spraying of calixin@200ml/acre
catter piller in greem gram,recomended spraying of  chloripyriphos 2ml/lit water
asked about greengram  market rate,rate is on average of 6000 rs /quintol
green gram powdrey mildew,recommemnded to wettable sulphur or kerathane 2ml/lit
helicoverpa in gram,"quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
greengram seed treatment,recommended to 30gm/carbo sulphan
micronutrient deficiency in gram,recomended agromin max 1kg/acre
greeen gram sowing time,greeen gram sowing time: feb to march.
grren gram varieties,"lgg-450,410,295,407,460 grren gram varieties"
green gram steam borer,spraying of chloropyriphas 2.5 ml/lit water
ground nut leaf curf,dimethoate 2ml/lit water
red gram market information,4000
for yellowing of leaves in green gram,spraying of agrominmax 1kg/200lt
weedicids in pulses,recommended to spray imazitapyr (pursuit ) 300 ml per acre
pod borer in greengram,recommended spray of tracer 75 ml/ acre in green gram
green gram leaf spot,recomended bavistin 1gr/1lt water
zn defficiency in green gram,recommended for zinc sulphate 2 g/ltr
gren gram variety,lgg407  and lgg460
