QueryText,KccAns
asked about the fertilizer application.,"recommended to apply 12kg nitrogen,16 kg ssp,20 kg mop"
asked about the control of gram caterpillers,recommended to spray monocrotophos 1.6ml/lit
asked about the control of tobacco caterpillar,recommended to spray monocrotophos1.6ml/lit
asked about the control of sucking pests,recommended to spray monochrtophos 1.6ml/lit
asked about the control of tobaccocaterpillar.,recommended to spray quinolphos 2ml/lit
asked about the control of gram catterpillars in ground nut,recommended to spray quinolphos 2ml/lit
weed management in groundnut after 35 days of sowing,suggested to do intercultural practices with gorruu
asked about control of sucking pest in groundnut,groundnut-sucking pest control-monochrotophos 320ml+neem oil 1lit+i kilo soap powder in 200lit of water
asked about control of leaf folder in groundnut,suggested to spray monochrotophos 320ml+neem oil 1lit per acre
asked about aphids damage in groundnut,suggest him to spray dimethoate @ 400ml per acre
asked about  management of sucking pest in groundnut,suggested to spray dimethoate 2ml/lit water
asked about fertilizer management in groundnut,suggested fertilizers are nitrozen 8kg+phosphorus 16 kg+potash 20kg.nitrozen should be applied in 2 split doses
asked about sucking pest in groundnut,suggest him  to spray acephate 1.5g per lit
asked about castor sowing season,suggested to sow by july ending
pest damage in ground nut,suggested to spray monocrotophos @ 1.6 ml/lt of water
asked about control of spodoptera in groundnut,suggested to spray monocrotophos + neem oil ratio 1.6 ml and 5 ml respectively
leaf borer damage in ground nut,monochrotophos 1.6ml/ltr
asking for fertilizer recommendation in ground nut?,"recomended 100kg ssp, 33kg mop,18 kg urea."
asked about management of leaf folding and thrips in groundnut,"suggested to spray monocrotophos @320ml/200lit water for leaf folding						
and dimethoate 400ml/200 lit water for thrips"
asked about control of helicoverpa in groundnut,groundnut-control of helicoverpa-suggested to spray monochrotophos@320ml per acre
asked about ground nut cultivation,given as per data
asked about fertilizer dosage in groundnut,recommended as per the dose
asked about sowing  time of  groundnut in rabi,suggest him sow in november firstweek
asked about control of root rot in groundnut,suggested to spray 1gm carbendizam or 3gm mancozeb per liter water
asked about weed management in groundnut,weed management in groundnut-suggested to spray allachlor@1lit or pendimethalin@1.3 to 1.6 lit per acre immediately after sowing
leaf folding in ground nut,monocrotophos @1.6 ml/lt of water
asked about weedicide in groundnut,suggest topendimethalin 21.3-1.6 lit / acre after sowing
spodoptera management in groundnut,spray chloropyriphos 2ml/lit water 500ml/acre
asked about weed management in groundnut  after 48 days,suggested not to spray any weedicicdes and do intercultivation  with gorru
asked about root grub in groundnut,suggest him to apply 6kg of phorate capsules while sowing
fertilizer recommendation in ground nut,"recommended dosage as 100kg ssp, 33kg mop,18 kg urea"
asked about control of leaf eating caterpillar in groundnut,suggested to spray kwinolphos@400ml or monochrotophos@320ml and 1000ml neem oil per acre
asked about rot in groundnut,suggested to spay mancozeb @ 3 g/lt of water
irrigation inter vel in ground nut,suggested him that irrigation is to be given at critical stages of crop development
weed management in groundnut after one month,suggested not to spray weedicde and do intercultural operations with gorruu
asked about disease in ground nut,suggested to spray carbendazim @ 1g/lt of water
asked about control of groundnut leaf folder,suggested to spray kwinolphos@400ml or monochrotophos @320ml or chloropyriphos @500ml in 200 lit of water
asked about herbicides in ground nut,suggested to spray butachlor @ 1.25-1.5 lt/acre
asked about weed control in groundnut,suggested to spray fluchloralin 1lit per acre at the time of land preparation and pendimethalin @1.2 lit immediately after sowing
asked about control of spodoptera in ground nut,suggested kwinolphos 400 ml or neem oil 1000ml per acre
asked about the control of gram caterpillers in ground nut,recommended to spray chlorpyriphos 2ml/lit
asked about sucking pests in ground nut,application of imidachloprid @ o.3 ml/lt
asked about the control of leaf folders in ground nut,recommended to spray chlorpyriphos 2ml/lit
asked about zypsum doosage for groundnut,suggested to apply 200kilos zypsum per acre
asked about control of weed in groundnut,"suggested to spray pendimethalin@1.3 lit or butachlor@1.5 lit in 200lit of water
with in two days after sowing"
asked about control for yellowing of leaves in groundnut,suggested for application of 400gm znso4 per acre and spraying of multi-k
asked about the gipsum dosage and time of application,recommended to apply 200kg/acer at the time of flowering
asked about control of thrips in groundnut,suggested to apply monochrotophos@320ml+i lit neem oil+1 kilo soap powder per 200 lit of water
"control of tobacco cater filler,leaf spot",spraying of cloripyripos 2ml/lit water.mancojeb 2.5gr/lit water
"asked about control of tobacco cater pillar,leaf spot",suggested for spraying of cloripyripos 2ml/lit water.mancojeb 2.5gr/lit water
asked about helicoverpa in ground nut,recommended to spray endosulfon 2ml
control of rust in ground nut,spraying of mancojeb 400gr/200 lit of water
asked about fertilizer application in grount nut,suggested for application 27:100:33 urea:ssp:mop
asked about fertilizer management  in groundnut,zn deficiency in groundnut-suggested to spray 400gm znso4 per acre
asked about the control of flys,recommended to spray dimethoate 2ml/lit
asked about fertilizer application in ground nut,"suggested for application of 100 kg ssp,33 kg mop,and 18 kg urea at the time of sowing"
asked about crop duration of groun nut variety tag-24,suggested that thecrop duration is from 95-100 days
asked about herbicide application in ground nut,suggested for spraying of pendimethalin @ 1.3-1.6 lt/acre
asked management  of spodoptera in groundnut,suggested to spray quinolphos @ 400ml/200 lit water
"asked about the pest management in  goundnut	
specially spodoptera excuva",suggested to spray acephate 1gm/ lit water
asked about   the suitable crops for crop roation after planting of groundnut for 4 years,"suggested redgram, castor, jowar and bajra  and also suggested paddy if water availability is present .it can reduce the incidence of nematodes in groundnut"
asked about ground nut sowing season,suggested to sow from july-august
asked about control of spodptera in groundnut,suggested to spray monochrotophos@1.6ml per liter
asked about management of spodeptera in groundnut,suggested to spray quinolophos @400ml/200lit water/acre
asked about rot inground nut,suggeted to spray mancozeb @ 2.5 g/lt of water
asked about leaf folding in ground nut,suggested to spray chloropyriphos @ 500 ml/acre
asked about control of suking pest in groundnut,suggested to spray monochrotophos@1.6ml per liter
groundnut spoiling and pest,suggested to  apply  copper oxy chloride  3gm  and quinolphos 2ml/lit water for leaf folder
asked about control of groundnut leafminer,suggested to spray monochrophos @500ml or chloropyriphos@500ml per acre
control of cater pillar in ground nut,spraying of indoxycarb 200ml/acre
asked about control of leaf curling,recommended to spray znso4 2gm/lit
asked about fertilizer dosage in ground nut,information is given as per panchangam
control of tobacco cater pillar in ground nut,spraying of indoxycarb 200ml/acre
control of leaf eating caterpillar in ground nut,information is given as per panchangam
control of weeds in ground nut,information is given as per panchangam
leaf folder damage,spraying of quinolphos 2.0 ml per one lit of water
micronutrient defeciency in ground nut,spraying of zinc and iron sulphate 2 and 5  gm per one lit of water
control of leaf folder in groundnut,spraying chlorpyriphos 2ml/1 lit water
control of aphids in groundnut,spraying mithial dematan 2ml/1 lit wataer
asked about control of tobacco caterpillar,recommended to spray thiodicarb 200gm/acre
asked about control of g.nut leaf miner,recommended to spray monocrotophose 1.6ml/lit
asked about control of redmites,recommended to spray dicofol 3ml+phasalone 1.5ml/lit
asked about control of red caterpiller,spray monocrotophose 320ml in200lit
asked about control of gramcatter pillar,recommended to spray cloripyriphose 2ml/lit
sucking pests controle,dimethoate 2 ml/lt water
control of tobaco catterpillar  in groundnut,applying 5kg paedy husk+1 kg jaggari+1lit  chloropyriphos
fertilizer doseage in groundnut,"n-8kg,p-20kg,k-16kg,zipsam-200kg/1 acer"
asked about control of grountnut leaf folder,"suggested to spray chloropyriphos 500ml or monochotophos 320 ml
per acre"
control of gram caterpillar in ground nut,spraying of indoxycarb 200ml/acre
asked about dosage of zypsum,suggested to apply 200kg of zypsum per acre
succking pest attack in ground nut,monocrotophos 400ml/ acre
asked about groundnut  sowing season,recommended for june sowing
asked about bud necrosis in ground nut,recommended monochrotophos 320ml per 200 liters of water per acre
askeda about zinc deficiency in groundnut,suggested 400gm znso4 per acre
asked about sucking pest in ground nut,spraying of monocrotophos 1.6 ml/lt+acephate 1.5 g/lt
asked about control of groundnut sucking pest,suggested to spray monochrotophos 320ml+neem oil 1lit per acre
asked about zypsum dosage in groundnut,suggested 200 kilos zypsum per acre at the time of flowering
asked about the ave yield in groundnut,given infermation is 600kg/acer
leaf eating catterpiller in gronund nut,sugested to go for dimethoiate 400ml/acre
asked about  dosage of urea in groundnut,suggested to apply recommended doses only i.e.18kg urea at the time of sowing and 9kg urea after 30 days of sowing.
ferilizers after 45 days,given information as per the data
asked about fertilizer doses in groundnut,recommended from panchangam
asked about control of tobacco catterpillar,recommended to spray quinalphose 400ml/acre
informatoin reg weed control in ground nut,information is given as per panchangam
crop duration period,given informationas per the data
leaf curling controle,monochrotophos 1.6 ml/lt water
leaf folder in g.nut,spraying of chloripyriphos@ 2.5 ml/lt
control of sucking pest in green gram,spraying of dimethioate 2ml/lit water
control of spodoptera in ground nut,spraying of monocrotophas 1.6 ml/lit water
spodoptera damage in g.nut,spraying of quinolphos@ 2 ml/lt
asked about control of leaf eating cater pillar in groundnut,suggested to spray kwinolphos@400ml per acre
asked about ground nut pest,spinosad
asked about leaf curling,suggested to spray pegasis 300g/acre
asked about ground nut seed treatment,recommended manco zeb
sucking pest in groundnut,spraying of acephate@ 1.5 gm/lt
asked about chemical combintion for spraying,suggested not to mix
asked about herbicide in groundnut at 20 days,suggest to spray quisalophos ethyl
asked about spodoptera,suggest to spray thiodicarb
asked about sucking pest,"suggest to spray acephate,monocrotophos"
asked fertiliser dosage,recomended fertiliser schedule
control of sucking pest in ground nut,spraying of monocrotophos 1.6ml/lit water
asked about white flies,suggested tizophos
g.nut tobacco c.piller,quinolphos 400ml/ac
fertiliser dosae in g.nut,recomended as per schedule
asked about overdose of profinophos,suggest to spray water
asked about seed availability,given him information as per data
fertilizers dosage time and quantity,given as per data
asked about herbicide in groundnut at 45 days,suggest him to do inter cultivation
leaf folder in ground nut,spraying of chloripyriphos@ 2.5 ml/lt
spodoptera damage in gnut,spraying of thiodicarb@ 1 gm/lt
leaf folder in gnut,spraying of chloripyriphos@ 2.5 ml/lt
weedicide in g.nut,spraying of pursuit@ 2 ml/lt
asked about seed treatment in ground nut,spraying of captan 3g/ liter water
asked about whitefly in ground nut,neem oil/monocrotophos +acephate
asked about ground nut,spinosad
helicoverpa in groundnut,given the procedure for bait preparation
asked about fertilizers in groundnut,given him information as per data
black spots on stem,spray monocrotophos
asked about herbicide in groundnut,suggest to spray imazithapyre
asked about leaf folder in groundnut,suggest to spray chloripyriphos
leaf folder in groundnut,spraying of chloripyriphos@ 2.5 ml/lt
weedicide in groundnut,spraying of parsuit @ 2 ml/lt
availability of groundnut seeds,given ap seeds corpn contact num
asked about leaf folding,suggested to spray monocrotophos 1.6 ml/lit
asked about control of leaf eating pillar in groundnut,suggested to spray quinolphos@400ml per acre
asked about control of leaf eating caterpillar groundnut,suggeste dto spray kwinolphos@400ml per acre
asked about groundnut shelling machine,told that the value is rs.45000 to rs.75000/-
asked for good growth,suggested 19
g.nut zn deficiency,2g/l of znso4
asked about leaf folding in groundnut,suggest t0 spray chloripyriphos
holes to leaf,quinolphos 2ml
asked about control of leaf folder in goundnut,suggested to spray quinolphos@2.5ml per liter water
control of ground nut leaf minar,spraying of dichlorovas 250 ml/acre
control of aphids in ground nut,spraying of monocrotophas 1.6 ml/lit water
asked  about herbicide in groundnut,suggest to spray quisalophos ethyl
asked about  spodoptera in groundnut,suggest to spry thiodicarb
asked about irrigation interval,suggest him 15 days interval
asked about zypsum dosage for groundnut,suggested to apply 200 kilos per acre at flowering stage
asked about rodents n fertilizer dosage,recommended zn phosphide n fertilizer as per panchangam
asked about over dose of pesticide,suggest to spray water
asked about spodoptera in groundnut,suggest to spray spinosad
tikka leaf in gnut,spraying of hexaconazole@ 1 gm/lt
asked about rootborer,suggest to apply carbofuran capsules
iron defeciency in groundnut,spraying of 1 kg annabedhi+ 200 gm citric acid/ acre
asked about  herbicide  in groundnut at 21 days,suggest to spray imaithapyre 300ml per acre
control of tikka leaf spot in ground nut,sprying of mancozeb 3 grm/lit water
ground nut fertilizer dosage,"given as per panchamgam,"
ground nut varieties,kadiri6
control of ground nut leaf minor,spraying of monocrotophas 1.6 ml/lit water
asked about control of leaf spot in groundnut,suggested to spray mancozeb@400gm per acre
spodoptera damage in groundnut,spraying ofnovaluran@ 1 ml/lt
asked about high rainfall in groundnut,suggest to spray urea 2g per lit
asked about pest damage,suggested as per data
asked about groundnut  cultivation in black soils,suggest him  dont cultivate
control of gram cater pillar in ground nut,spraying of indoxycarb 200 ml/acre
asked about herbiside spraying,suggested as per data
crops in rabi,ground nut sunflower
asked about fertilizer dosage in gruond nut,information is given as per panchangam
asked about goodgrowth of groundnut,suggest to spray 19
asked about control of leafspot in groundnut,suggested to spray mancozeb@3gm per liter water
asked about spodoptera in  groundnut,suggest to spray thiodicarb
asked about flies in groundnut,suggest to spray acephate
control of fertilizer dosage in ground nut,information is given as per panchangam
