QueryText,KccAns
asked about the control of gram caterpillar.,recommended to spray quinolphos 2.0ml/lit
asked about the control of gramcaterpillar.,recommended to spray spinosad 0.3ml/lit
asked about recommended varities for sterility mosaic,"recommended to sow icpl 87119, iepl 85069, bsmr 853"
asked about the control of gram caterpillar,recommended to spray chloripyriphos 2.5ml/lit
asking short duration redgram variety,wrg 27
asked about weedicide in redgram at 40 days age,suggest to do intercultural operations
asked about helicoverpa in red gram,suggested for spraying of quinolphos @ 2ml/lt
asked about weed management in redgram,suggested to spray pendimethalin@1 to 1.5 lit per acre immediately after sowing
asked about fertilizer management in redgram,fertilizer management in redgram-recommended dose of fertilizers are 8kilos nitrozen and 20kilos phosphorus per acre
maruka spotted worm damage,spraying of mono or quinolphos 2.5 ml per one lit of water.
asked about fertilisers,provided informatiopn as per data
asked about control of fruitborer,recommended to spray cloripyriphose 2.5ml/lit
asked about agril.officer contact details,contacts details of agril.officer-radravaram-8096697377
cntrol of caterpillar in red gram,spraying of monocrotophas 2 ml/liy water
asked about control of leaf eating cater pillar in redgram,suggested to spray quinolphos@2.5ml per liter water
control of spodoptera in red gram,spraying of indoxycarb 200 ml/acre
control of pod borer in red gram,spraying of quinolphas 2 ml/lit water
asked about red gram cultivation details,given as per data
control of pod borer in red grams,spraying of carbaryle 3 grms/lit water
asked about pest in red gram,suggested to spray indaxacardb @ 1g/lt of water
asked about red gram flower drop,planofix @ 2 ml/lt of water
control of caterpillar in red grm,spraying of quinolphas 2 ml/lit water
control pod borer in red grams,spraying of prophinophas 2 ml/lit water
asked about thrips in red gram,acephate @ 1.5 g/lt of water
asked about flower drop in red gram,recomended planofix
control of root rot in red gram,spraying of coc 3 grms/lit water
asked about control of flower drop in redgram,suggested to spray planofix@2ml per 10 lit water
asked about red gram pest,suggested to spray quinalphos @ 2ml/lt of water
asked about contact number,8632524017
asked about control of leaf eating caterpillar in redgram,suggested to spray quinolphos@2ml per liter water
maruka spoted worm,spraying of quinolphos 2.5 ml/ lit of water
redgram leaf webber,"recommended to spray monocrotophos(nuvacron, phoskil, luphos) 300 ml per acre    ?????????????? (?????????, ???????, ??????) ????? 400 ?????? 200 ??????? ?????? ????? ???????? ??????"
flower drop in red gram,recommended for planofix 2.5 ml/10 ltr of water
borers in red gram,"thiodecarb (????????, ????????, ????) 300 ml per acre"
redgram sheath rot,recomended blitox 600gr/acre in 200lt water
helicoverpa in redgram,"quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
red gram flowering,spray multi-k 1kg/ac.
red gram wilt,recommended drenching blue copper 3gram/ litre in wilt
control of     yellowfly in   cowpea,spray actara    70 gr / acre
red gram grow thing,spray 19:19:19 1kg/ac.
red gram helicoverpa,chloripiphos 2.5ml/lit or acephate 1.5ml/lit
red gram sucking pests,acephate 300gr/acre in 200lt water
pod borer in red gram,proclaim 100 gr/acr
spodoptera in redgram,"recommended to spray novaluran (reman, nova, sicissors )200 ml per acre"
red gram pod borer,recommended to quinolpos 2ml/lit
