QueryText,KccAns,Language
asked the contrl of shoot flys in black gram,recommended to spray monocrotophos 1.6ml/lit,en
asked about the control of tobacco caterpillar.,recommended to spray chloripyriphos 2.5ml/lit,en
asked about control of leaf folder,recommended to spray monochrtophos 1.6ml/lit,en
asked about fertilizer management in blackgram,suggested to apply 8kilos nitrozen 20kilos phosphorus per acre,en
asked about control of sucking pest in blackgram,suggested to spray monochrotophos@1.6ml/lit water,en
asked about control of afids,recommended to spray dimethoate 2ml/lit,en
askede about fertilizers,provided information as per data,en
asked about control weed,spray pendimethaline 1lit/acre,en
asked about control of fruit borer,recommended to spray thiodicarb 1gm+ dichlorovas 1ml/lit water,en
herbicide in black gram,spraying of quizalo-pop-ethyl @ 2 ml/lt,en
maruka pest in black gram,spraying of chloripyriphos@ 2.5 ml/lt,en
control of sucking pest in black gram,spraying of dimethioate 2ml/li water,en
control of yellow mosaic in black gram,spraying of dimthioate 2 ml/lit water,en
control of weeds in green gram,spraying of phenoxypras ethyle 250 ml/acre,en
asked about   complaint on damaged seeds of blackgram,given him controll room number,en
asked about herbicide in blackgram,suggest to spray imazithapyre,en
control of weeds in black grms,spraying of quizalophas ethyle 400 ml/acre,en
weedicide in black gram,spraying of quizalopop ethyl@ 2 ml/lt,en
asked about  helicoverpa inblackgram,suggest to thiodicarb,en
asked about helicoverpa in blackgram,suggest to spray thiodicarb,en
maruka pest in blackgram,spraying of chloripyriphos@ 2.5 ml/lt,en
asked about weed management in blackgram,suggested for manual weeding,en
control of aphids in black gram,spraying of dimthioate 2 ml/lit water,en
asked about yellowing in black gram,suggested to spray coc,en
asked about leaf folding in blackgram,suggest to spay acephate,en
asked about control of leaf eating cater pillar in blackgram,suggested to spray prophinophos@2.5ml per liter water,en
control of yellow mosaic in black grm,spraying of methyle dematon 2 ml/litre water,en
asked about drying of leaves in blackgram,suggest him to spray mancozeb,en
asked about spodptera,suggest to spray thiodicarb,en
control of hoppers in black gram,spraying of dimthiote 2ml/litwater,en
asked about spotted bollwarm,suggest to spray thiodicarb,en
asked about control of leaf eating caterpillar in blackgranm,suggested to spray quinolphos@2.5ml per liter water,en
maruca pest in black gram,spraying of spinosad@ 60 ml/lt,en
asked about  maruca pest in blackgram,recemmended cloripyriphos 2.5ml/lit,en
