QueryText,KccAns,Language
control of leaf spot in chilli,spraying of mancozeb 3 grm/litre water,en
fruit borer in chilli,spraying of chloropyriphas 2.5 ml/lit water,en
asked about rootrot,spraying copar oxychloride 3grms/ltr,en
seed treatment in chilli,suggested to treat with captan 3g/kg seed,en
fruit borer in ghilli,spraying of carbaryle 3 grms/lit water,en
askd about leaf spot in chilli,suggest to spray mancozeb,en
asked about leaf spot in chilli,suggest to spray carbandizm 200g per acre,en
chilli leaf curling,"spray spinosad(tracer spinter , charge  ) 75 ml per acre",en
chilli midge fly,recommended for trizophas 300 ml/ac and after one week to spray chloripyriphas 500 ml/ac,en
chilli cercospora leaf spot,coc 30 gr+2gr steptocyclin/10lit water,en
chilli root rot,recommended to spray bltax@30 and 1gm streptocycline in 10lit,en
chilli bactria leaf spots,spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres,en
poweder form on fruit,recomended for tilt or rador 200ml/acre,en
chilli fruit borer,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
chilli flower drop,"triazophos (hostathion, titan, sutathion) 300 ml per acre",en
chilli leaf blight,blitox 600 gr/acre  and  streptocyclin 1 gr/10 lt water,en
chilli gall midge,trizophos 400 ml/acre (hostathion  titan),en
asked about chilli curling,recommended to spray pegasis@300gm/lit,en
asked about mango growth,recommended to spray multi k@5gm/lit,en
chilli leaf curl,tryzopus 2ml/lit water,en
chili flower drop,agrominmax 1kg/acr,en
asked about chilli wilt,recommended to spray bltax@30 and 1gm streptocycline in 10lit,en
asked about chilli viral disease,recommended to uproot the affected plant,en
asked about neem oil  dosage,recommended neem oil 5 ml/lit of water,en
chilli bactiriel leaf blight,recommended to coc 30gm +streptocyclin 1gm +10lit water,en
control   of  leaf curl in chilli,pegasus   3  gr / lit of water,en
chille tobaco caterpillar,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
chille leaf curl,"recomended in zolone400ml/acer,carathine 200ml/acer",en
curling  in chilli,recomended oberan 1ml/lit water,en
powdery mildew in chilli,recomended kerathin 1ml/lit water,en
grwoth in chilli,recomended for agrominmax 5grms/lt water+ borax 3grms/ lt water,en
virus disease in chilli,"no recommended for virus,  fipronil 400ml/acre, agrominmax 5grms/lt water",en
chilly powdery mildew,recommended to weteble sulphur 600gm/acre,en
chilli  sucking pests,"recommended to spray monocrotophos(nuvacron, phoskil, luphos) 300 ml per acre",en
white flies in chilli,recommended to spray spiromecifin (oberon) 150ml/litre,en
chili to control flower drop,recommended to spray planofix 4.5 ml/20 litre,en
white flies in chilly,recommended to spray spiromecifin (oberon) 400ml/litre,en
folding of leavs in chilli,"recomended for dichopal 1 lt /acre, neem oil 1lt/acre",en
yelow leaf in chili,recomended coc 30gm and 1gm streptocyclin in 10 lit water,en
powdery mildew in chillies,recommanded for carathane 1 ml/liter,en
yellowing in chillie,"triazophos (hostathion, titan, sutathion) 300 ml per acre",en
curling in chilli,recommended prid 40g/acre,en
