QueryText,KccAns,Language
asked about control of sucking pests in cotton,recommended to spray rogar 2ml/lt,en
asked about control for weeds in cotton field,recommended to spray pendimithalin 1.3lit/acre,en
asked about control of weeds in cotton,recommended to spray peraquat 1lt/200lt water,en
asked about control of white flies damage in cotton,recommended to spray roghar 2ml/lt water,en
asked about the weed control in cotton.,recommended to spray paraquat 24% @1.0 lit/acre.,en
asked about control of flies damage in cotton,recommended to spray rogar 2ml/lt,en
asked about fertilizer dosage in cotton,"recommended fertilizer dosage is n-48,p-24,k-24 kg/acre",en
asked about the control of weeds in cotton,suggested to spray pluchloralin45%@1lit/acre.,en
asked for the reclamation of magnesium deficiency in cotton,suggested to spray magnesium sulphate @ 10ml per lit of water,en
fertilizer application in cotton bt,suggested application of 100 150 30  kgs of urea ssp and mop,en
asked about controlof sucking ests in cotton,recommended to spray roghar 3gm/lt,en
fertilizer application in  bt cotton,suggested application of  100 150 and 35 kgs of urea  ssp and mop  per acre of  land,en
asked about the control of sucking pests.,recommended to spray methyl dematon @ 2ml/lit of water.,en
asked about the control of weeds,recommended for the application of pendimithalin 1.5ltr/acre,en
asked about control of cotton fetilizer dosage,"recommended to apply n-48,p-24,k-24",en
asked about the control of sucking pest.,recommended to spray methyldematon 2ml/lit,en
asked about the control of sucking pest,recommended to spray methyldematon 2ml/lit,en
asked about the weed control.,recommended to spray fluchloralin 1lit/acre.,en
asked about the control of suckingpest.,recommended to spray methyldematon 2ml/lit,en
asked about the control of sucking pest in cotton,recommended to spray imidacloprid@2ml/liter,en
asked about the control of cotton boll worm,recommended to spray quinolphas 2 ml/ltr,en
asked about curling and rolling of leafs in cotton,recommanded spray contaf@1.5ml/ltr of water apply,en
asked about control of sucking pest in cotton,control of sucking pest in cotton-spraying of monocrotophas 1.6 ml/lit water or acephate@1.5gm per liter water,en
"asked about management of mites in cotton		
and management of thrips in greengram","suggested to  provide immediately after soil application of urea						
suggested to spray prophinophos",en
cotton sucking pest,acephate @ 1.5g/lt of waetr,en
asked about weed management in cotton,suggested tio spray quizalophaphythyl@ 400ml/200 lit water,en
asked about control of helicoverpa in cotton,suggested to spray prophinophos@2ml/lit,en
asked about fertilizer management in cotton,"suggested that for cotton hybrids 105kg urea+150kg super phosphate+40kg potash should be apllied.150kg super phosphate should be applied at the time of last ploughing,urea+potash should be applied in 3split doses 35kg urea+15kg potash in each dose at 30,60,90 days after sowing",en
yvmv in cotton,controlling of sucking seed acephate 1.5g/lt,en
asked about leaf folding in cotton,suggested to spray borax @1.5 gm/lit water,en
herbicide in cotton,30 das quizalophous ethyl 400ml and 200 lit of water,en
spodoptera management in cotton,suggested to spray chloripyriphos 2 2.5 ml/lit water,en
asked about sucking pest in cotton,suggested to spray dimethoate @ 2ml/lt of water,en
asked about control of heicoverpa in cotton,suggested to spray prophoniphos@2ml per liter water,en
cost of weeder in cotton and subsidy,suggested to contact ao and given cost details around 1200 rs,en
asked about herbicide in cotton,suggested to spray turga super @ 400mlit/acre,en
sucking pest management in cotton,suggested to spray imidachloprid,en
asked about yellowing of leaves in cotton,suggested to spray mgs04 @ 10g/lt of water,en
asked about control of pandaku tegulu in cotton,suggested to spray 1%mgso4+2%urea or 1% diammonoum phosphate,en
asked about  non flowering in cotton,suggested to apply potash and phosphorous,en
