QueryText,KccAns,Language
asked about spodoptera in greengram,suggest him to spray monocrotophos,en
nutrient defficiency in mung bean,suggested to spray agropmax 5 g/liter of water,en
asked about spraying of larvin in greengram for helicoverpa management,suggested to spray,en
asked about management of spodoptera in greengram,suggested to spray chloropyriphos @ 2.5 ml/lit water,en
asked about control of spodoptera in greengram,greengram- contro of spodoptera-spraying of monochrotophos 500ml or chloropyriphos 500ml per acre,en
asked about control of sucking pest in green gram,suggestedto spray monochrotophos @1.6ml per liter water,en
asked about control of sucking pest in greengram,suhggested to spray monochrotophos@1.6ml/lit water,en
asked about weed management in greengram,suggested for manual weeding instead of chemical control,en
asked about control of thrips,recommended to spray aciphate 1gm/lit,en
asked about control of aphids,recommended to spray di methoate 2ml/lit,en
control of the sucking pest in green gram,spraying chloropyriphos 2ml/1 lit water,en
asked about ymv control,spraying of dymithoate 2ml/lit water,en
asked for control of spodoptera in green gram,suggested chloropyriphos 500ml or monochrotophos 500ml per acre,en
control of flodding in greengram,spraying quekinalphos 2ml/1 lit water,en
spodoptera damage in green gram,spraying of chloripyriphos@ 2.5 ml/lt,en
asked about fertilizer management in greengram,"apply fertilizers basally before sowing.
   rainfed  : 12.5 kg n + 25 kg p2o5 + 12.5 kg k2o +10 kg s*/ha
   irrigated : 25 kg n + 50 kg p2o5 + 25 kg k2o + 20 kg s*/ha
  b)   soil application of 25 kg znso4/ha under irrigated condition",en
asked about helicoverpa,suggested to spray spinosad,en
control of caterpillar in green gram,spraying of monocrotophas 1.6 ml/lit water,en
asked about intercrop in greengram,suggest to sow cotton redgram,en
asked about control of leaf eating cater pillar in greengram,suggested to apply carbofuran granules@3kg per acre,en
asked about floweringin greengram,suggest to spray borax,en
asked about  weedicide in greengram,suggest to spray  phenaxaprop ethyle,en
asked about fertilizers in greengram,given information asper data,en
control of weeds in green grams,spraying of quizalophas ethyle 400 ml/acre,en
spodoptera damage in greengram,spraying of thiodicarb@  1 gm/lt,en
asked about bacterial blight,spray coc+plantomycin,en
nutrient management in greengram,information provided as per panchangam,en
powdery mildew in green,kerathane or wettable sulphur@ 3 gm/lt,en
