QueryText,KccAns,Language
powder mildew in green gram recommended ,"recommended to spray dinocap  (karathane) 200 ml /200 litres of water / acre   
డైనోక్యాప్ 200  మిల్లి లీటర్లు  /200 లీటర్ల నీటికి చొప్పున కలిపి  ఎకరాకు పిచికారి చేయాలి
 ",te
green gram yellow mosaic management ,"అసిటామిప్రైడ్   40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
ఇమిడాక్లోప్రిడ్  60 మిల్లి లీటర్లు /150 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
no remedial measure for viral disease    వైరస్ వ్యాది కి మందు లేదు దోమల  ద్వారా  వ్యాప్తి చెందకుండా చూడాలి 
",te
green gram yellow mosaic virus management ,"థయోమిథాక్జొమ్ 40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
green gram powdery mildew management ,"థయోమిథాక్జొమ్ 40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
bacterial leaf spot management in green gram,"recommended to spray propiconazole  (tilt)  200 ml / 200 litres of water /acre  
ప్రొపికొనజోల్  200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
",te
bacterial leaf blight in green gram ," recommended  to spray copper oxy chloride  600 grams +streptocycline   20 gram  / 200 litres of water /acre  
కాపర్ ఆక్సీక్లోరైడ్   600  గ్రాములు + స్టెఫ్టోసైక్లిన్ 20  గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
",te
green gram  post emergence weed management ,"క్విజలోఫాప్-పి -ఇథైల్ 400  మిల్లి లీటర్లు (టర్గా సూపర్)/200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
",te
green gram yellow mosaic:management ,"recommended to spray agromin max 3 gr/1 liter of water
recommended to spray formula -4  3 gr/1 liter of water
ambition @250 ml per acre
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి క లిపి ఎకరాకు పిచికారీ చేయండి 
",te
powdery mildew  in green gram ,"recommended to spray metalaxyl   (ridomil) 200 grams / 200 litres of water /acre   
మెటలాక్సిల్  మే  200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
",te
green  gram leaf eating caterpillar management,"recommended to spray agrimycin 0.4 grams liter of water recommended to spray azadirachtin 5 ml / 1 liter of water
  వేప నూనె 5 మిల్లి లీటర్లు / 1  లీటర్ నీటికి  చొప్పున   కలిపి   పిచికారి చేయాలి  
",te
