QueryText,KccAns,Language
asked about the fertilizer application.,"recommended to apply 12kg nitrogen,16 kg ssp,20 kg mop",en
asked about the control of gram caterpillers,recommended to spray monocrotophos 1.6ml/lit,en
asked about the control of tobacco caterpillar,recommended to spray monocrotophos1.6ml/lit,en
asked about the control of sucking pests,recommended to spray monochrtophos 1.6ml/lit,en
asked about the control of tobaccocaterpillar.,recommended to spray quinolphos 2ml/lit,en
asked about the control of gram catterpillars in ground nut,recommended to spray quinolphos 2ml/lit,en
weed management in groundnut after 35 days of sowing,suggested to do intercultural practices with gorruu,en
asked about control of sucking pest in groundnut,groundnut-sucking pest control-monochrotophos 320ml+neem oil 1lit+i kilo soap powder in 200lit of water,en
asked about control of leaf folder in groundnut,suggested to spray monochrotophos 320ml+neem oil 1lit per acre,en
asked about aphids damage in groundnut,suggest him to spray dimethoate @ 400ml per acre,en
asked about  management of sucking pest in groundnut,suggested to spray dimethoate 2ml/lit water,en
asked about fertilizer management in groundnut,suggested fertilizers are nitrozen 8kg+phosphorus 16 kg+potash 20kg.nitrozen should be applied in 2 split doses,en
asked about sucking pest in groundnut,suggest him  to spray acephate 1.5g per lit,en
asked about castor sowing season,suggested to sow by july ending,en
pest damage in ground nut,suggested to spray monocrotophos @ 1.6 ml/lt of water,en
asked about control of spodoptera in groundnut,suggested to spray monocrotophos + neem oil ratio 1.6 ml and 5 ml respectively,en
asking for fertilizer recommendation in ground nut?,"recomended 100kg ssp, 33kg mop,18 kg urea.",en
asked about management of leaf folding and thrips in groundnut,"suggested to spray monocrotophos @320ml/200lit water for leaf folding						
and dimethoate 400ml/200 lit water for thrips",en
asked about control of helicoverpa in groundnut,groundnut-control of helicoverpa-suggested to spray monochrotophos@320ml per acre,en
asked about fertilizer dosage in groundnut,recommended as per the dose,en
asked about sowing  time of  groundnut in rabi,suggest him sow in november firstweek,en
asked about control of root rot in groundnut,suggested to spray 1gm carbendizam or 3gm mancozeb per liter water,en
asked about weed management in groundnut,weed management in groundnut-suggested to spray allachlor@1lit or pendimethalin@1.3 to 1.6 lit per acre immediately after sowing,en
leaf folding in ground nut,monocrotophos @1.6 ml/lt of water,en
asked about weedicide in groundnut,suggest topendimethalin 21.3-1.6 lit / acre after sowing,en
spodoptera management in groundnut,spray chloropyriphos 2ml/lit water 500ml/acre,en
asked about weed management in groundnut  after 48 days,suggested not to spray any weedicicdes and do intercultivation  with gorru,en
asked about root grub in groundnut,suggest him to apply 6kg of phorate capsules while sowing,en
asked about control of leaf eating caterpillar in groundnut,suggested to spray kwinolphos@400ml or monochrotophos@320ml and 1000ml neem oil per acre,en
asked about rot in groundnut,suggested to spay mancozeb @ 3 g/lt of water,en
irrigation inter vel in ground nut,suggested him that irrigation is to be given at critical stages of crop development,en
weed management in groundnut after one month,suggested not to spray weedicde and do intercultural operations with gorruu,en
asked about disease in ground nut,suggested to spray carbendazim @ 1g/lt of water,en
asked about control of groundnut leaf folder,suggested to spray kwinolphos@400ml or monochrotophos @320ml or chloropyriphos @500ml in 200 lit of water,en
asked about herbicides in ground nut,suggested to spray butachlor @ 1.25-1.5 lt/acre,en
asked about weed control in groundnut,suggested to spray fluchloralin 1lit per acre at the time of land preparation and pendimethalin @1.2 lit immediately after sowing,en
asked about control of spodoptera in ground nut,suggested kwinolphos 400 ml or neem oil 1000ml per acre,en
asked about the control of gram caterpillers in ground nut,recommended to spray chlorpyriphos 2ml/lit,en
asked about sucking pests in ground nut,application of imidachloprid @ o.3 ml/lt,en
asked about the control of leaf folders in ground nut,recommended to spray chlorpyriphos 2ml/lit,en
asked about zypsum doosage for groundnut,suggested to apply 200kilos zypsum per acre,en
asked about control of weed in groundnut,"suggested to spray pendimethalin@1.3 lit or butachlor@1.5 lit in 200lit of water
with in two days after sowing",en
asked about control for yellowing of leaves in groundnut,suggested for application of 400gm znso4 per acre and spraying of multi-k,en
asked about the gipsum dosage and time of application,recommended to apply 200kg/acer at the time of flowering,en
asked about control of thrips in groundnut,suggested to apply monochrotophos@320ml+i lit neem oil+1 kilo soap powder per 200 lit of water,en
"control of tobacco cater filler,leaf spot",spraying of cloripyripos 2ml/lit water.mancojeb 2.5gr/lit water,en
"asked about control of tobacco cater pillar,leaf spot",suggested for spraying of cloripyripos 2ml/lit water.mancojeb 2.5gr/lit water,en
asked about helicoverpa in ground nut,recommended to spray endosulfon 2ml,en
control of rust in ground nut,spraying of mancojeb 400gr/200 lit of water,en
asked about fertilizer application in grount nut,suggested for application 27:100:33 urea:ssp:mop,en
asked about fertilizer management  in groundnut,zn deficiency in groundnut-suggested to spray 400gm znso4 per acre,en
asked about the control of flys,recommended to spray dimethoate 2ml/lit,en
asked about fertilizer application in ground nut,"suggested for application of 100 kg ssp,33 kg mop,and 18 kg urea at the time of sowing",en
asked about crop duration of groun nut variety tag-24,suggested that thecrop duration is from 95-100 days,en
asked about herbicide application in ground nut,suggested for spraying of pendimethalin @ 1.3-1.6 lt/acre,en
asked management  of spodoptera in groundnut,suggested to spray quinolphos @ 400ml/200 lit water,en
"asked about the pest management in  goundnut	
specially spodoptera excuva",suggested to spray acephate 1gm/ lit water,en
asked about   the suitable crops for crop roation after planting of groundnut for 4 years,"suggested redgram, castor, jowar and bajra  and also suggested paddy if water availability is present .it can reduce the incidence of nematodes in groundnut",en
asked about ground nut sowing season,suggested to sow from july-august,en
asked about control of spodptera in groundnut,suggested to spray monochrotophos@1.6ml per liter,en
asked about management of spodeptera in groundnut,suggested to spray quinolophos @400ml/200lit water/acre,en
asked about rot inground nut,suggeted to spray mancozeb @ 2.5 g/lt of water,en
asked about leaf folding in ground nut,suggested to spray chloropyriphos @ 500 ml/acre,en
asked about control of suking pest in groundnut,suggested to spray monochrotophos@1.6ml per liter,en
groundnut spoiling and pest,suggested to  apply  copper oxy chloride  3gm  and quinolphos 2ml/lit water for leaf folder,en
asked about control of groundnut leafminer,suggested to spray monochrophos @500ml or chloropyriphos@500ml per acre,en
control of cater pillar in ground nut,spraying of indoxycarb 200ml/acre,en
asked about control of leaf curling,recommended to spray znso4 2gm/lit,en
asked about fertilizer dosage in ground nut,information is given as per panchangam,en
control of tobacco cater pillar in ground nut,spraying of indoxycarb 200ml/acre,en
control of leaf eating caterpillar in ground nut,information is given as per panchangam,en
control of weeds in ground nut,information is given as per panchangam,en
leaf folder damage,spraying of quinolphos 2.0 ml per one lit of water,en
micronutrient defeciency in ground nut,spraying of zinc and iron sulphate 2 and 5  gm per one lit of water,en
control of leaf folder in groundnut,spraying chlorpyriphos 2ml/1 lit water,en
asked about control of tobacco caterpillar,recommended to spray thiodicarb 200gm/acre,en
asked about control of g.nut leaf miner,recommended to spray monocrotophose 1.6ml/lit,en
asked about control of redmites,recommended to spray dicofol 3ml+phasalone 1.5ml/lit,en
asked about control of red caterpiller,spray monocrotophose 320ml in200lit,en
asked about control of gramcatter pillar,recommended to spray cloripyriphose 2ml/lit,en
asked about control of grountnut leaf folder,"suggested to spray chloropyriphos 500ml or monochotophos 320 ml
per acre",en
control of gram caterpillar in ground nut,spraying of indoxycarb 200ml/acre,en
asked about dosage of zypsum,suggested to apply 200kg of zypsum per acre,en
asked about groundnut  sowing season,recommended for june sowing,en
asked about bud necrosis in ground nut,recommended monochrotophos 320ml per 200 liters of water per acre,en
asked about sucking pest in ground nut,spraying of monocrotophos 1.6 ml/lt+acephate 1.5 g/lt,en
asked about control of groundnut sucking pest,suggested to spray monochrotophos 320ml+neem oil 1lit per acre,en
asked about zypsum dosage in groundnut,suggested 200 kilos zypsum per acre at the time of flowering,en
asked about the ave yield in groundnut,given infermation is 600kg/acer,en
leaf eating catterpiller in gronund nut,sugested to go for dimethoiate 400ml/acre,en
asked about  dosage of urea in groundnut,suggested to apply recommended doses only i.e.18kg urea at the time of sowing and 9kg urea after 30 days of sowing.,en
ferilizers after 45 days,given information as per the data,en
asked about fertilizer doses in groundnut,recommended from panchangam,en
asked about control of tobacco catterpillar,recommended to spray quinalphose 400ml/acre,en
informatoin reg weed control in ground nut,information is given as per panchangam,en
crop duration period,given informationas per the data,en
leaf curling controle,monochrotophos 1.6 ml/lt water,en
leaf folder in g.nut,spraying of chloripyriphos@ 2.5 ml/lt,en
control of sucking pest in green gram,spraying of dimethioate 2ml/lit water,en
control of spodoptera in ground nut,spraying of monocrotophas 1.6 ml/lit water,en
spodoptera damage in g.nut,spraying of quinolphos@ 2 ml/lt,en
asked about control of leaf eating cater pillar in groundnut,suggested to spray kwinolphos@400ml per acre,en
asked about leaf curling,suggested to spray pegasis 300g/acre,en
sucking pest in groundnut,spraying of acephate@ 1.5 gm/lt,en
asked about chemical combintion for spraying,suggested not to mix,en
asked about spodoptera,suggest to spray thiodicarb,en
asked about sucking pest,"suggest to spray acephate,monocrotophos",en
asked fertiliser dosage,recomended fertiliser schedule,en
control of sucking pest in ground nut,spraying of monocrotophos 1.6ml/lit water,en
asked about white flies,suggested tizophos,en
fertiliser dosae in g.nut,recomended as per schedule,en
asked about overdose of profinophos,suggest to spray water,en
asked about seed availability,given him information as per data,en
asked about herbicide in groundnut at 45 days,suggest him to do inter cultivation,en
leaf folder in ground nut,spraying of chloripyriphos@ 2.5 ml/lt,en
spodoptera damage in gnut,spraying of thiodicarb@ 1 gm/lt,en
leaf folder in gnut,spraying of chloripyriphos@ 2.5 ml/lt,en
weedicide in g.nut,spraying of pursuit@ 2 ml/lt,en
asked about seed treatment in ground nut,spraying of captan 3g/ liter water,en
asked about whitefly in ground nut,neem oil/monocrotophos +acephate,en
helicoverpa in groundnut,given the procedure for bait preparation,en
asked about fertilizers in groundnut,given him information as per data,en
black spots on stem,spray monocrotophos,en
asked about herbicide in groundnut,suggest to spray imazithapyre,en
asked about leaf folder in groundnut,suggest to spray chloripyriphos,en
leaf folder in groundnut,spraying of chloripyriphos@ 2.5 ml/lt,en
weedicide in groundnut,spraying of parsuit @ 2 ml/lt,en
availability of groundnut seeds,given ap seeds corpn contact num,en
asked about leaf folding,suggested to spray monocrotophos 1.6 ml/lit,en
asked about control of leaf eating pillar in groundnut,suggested to spray quinolphos@400ml per acre,en
asked about groundnut shelling machine,told that the value is rs.45000 to rs.75000/-,en
g.nut zn deficiency,2g/l of znso4,en
asked about leaf folding in groundnut,suggest t0 spray chloripyriphos,en
asked about control of leaf folder in goundnut,suggested to spray quinolphos@2.5ml per liter water,en
control of ground nut leaf minar,spraying of dichlorovas 250 ml/acre,en
control of aphids in ground nut,spraying of monocrotophas 1.6 ml/lit water,en
asked about  spodoptera in groundnut,suggest to spry thiodicarb,en
asked about zypsum dosage for groundnut,suggested to apply 200 kilos per acre at flowering stage,en
asked about rodents n fertilizer dosage,recommended zn phosphide n fertilizer as per panchangam,en
asked about over dose of pesticide,suggest to spray water,en
tikka leaf in gnut,spraying of hexaconazole@ 1 gm/lt,en
asked about rootborer,suggest to apply carbofuran capsules,en
iron defeciency in groundnut,spraying of 1 kg annabedhi+ 200 gm citric acid/ acre,en
asked about  herbicide  in groundnut at 21 days,suggest to spray imaithapyre 300ml per acre,en
control of tikka leaf spot in ground nut,sprying of mancozeb 3 grm/lit water,en
ground nut fertilizer dosage,"given as per panchamgam,",en
control of ground nut leaf minor,spraying of monocrotophas 1.6 ml/lit water,en
asked about control of leaf spot in groundnut,suggested to spray mancozeb@400gm per acre,en
spodoptera damage in groundnut,spraying ofnovaluran@ 1 ml/lt,en
asked about high rainfall in groundnut,suggest to spray urea 2g per lit,en
control of gram cater pillar in ground nut,spraying of indoxycarb 200 ml/acre,en
crops in rabi,ground nut sunflower,en
asked about fertilizer dosage in gruond nut,information is given as per panchangam,en
asked about goodgrowth of groundnut,suggest to spray 19,en
asked about control of leafspot in groundnut,suggested to spray mancozeb@3gm per liter water,en
asked about spodoptera in  groundnut,suggest to spray thiodicarb,en
asked about flies in groundnut,suggest to spray acephate,en
control of fertilizer dosage in ground nut,information is given as per panchangam,en
control of spodoptera in groud nut,spraying of monocrotophas 1.6 ml/lit water,en
asked about fertilizer apllication at 30das,suggested to apply 200 kg of gypsum per acre,en
observed black spots on leafs,suggested to spray mancozeb,en
dosge time and methods,suggested as per information,en
ground nut tobacco c.p,prohinophos 400ml/ac,en
asked about micronutrient deficiency,suggest to spray micromax,en
herbicide in groundnut,spraying of imazithafir@ 2 ml/lt,en
asked about biofertilers,information is given as per data,en
asked about herbicide in  groundnut,suggest to spray imazithapyre,en
asked about zypsum application,appliation of zypsum@ 200 kg/acre,en
zinc defeciency in groundnut,spraying of zinc sulphate@ 2 gm/lt,en
asked about  leaf webber,suggest to spray chloripyriphos,en
spodoptera damage in ground nut,spraying of quinolphos@ 2 ml/lt,en
asked about pest during flowering,suggest to spray profinophosafter one week spry chloripyriphos,en
asked about fertilizers  in groundnut,recommended as per data,en
sucking pest in g.nut,spraying of monocrotophos 2 ml+ acephate 1.5 gm/lt,en
control of caterpillar in ground nut,spraying of monocrotophas 1.6ml/litre water,en
control of stem borer in ground nut,information is given as per panchangam,en
control of ground nut leaf minor in ground nut,spraying of monocrotophas 1.6ml/litre water,en
asked about dosage of coc,suggested to spray 3g/lt of water,en
asked about ground nut fertilizer dosage,suggestednto apply 100 kg ssp per acre and 33 kg urea,en
asked about root borer,suggest to apply carbofuran capsules,en
asked  about rootborer in groundnut,suggest to apply carbofuran capsule,en
availability of seed,provided contact details of ap seeds corpn,en
zinc defeciency in g.nut,spraying of zinc sulphate @ 2 gm/lt,en
asked about control of weed management in groundnut,suggested for manual weeding,en
sucking pest in ground nut,spraying of acephate@ 1.5 gm/lt,en
g.nut fertilizers management,"1 bag urea, 1bag ssp and 1/2bag mop, gypsum 200kg for one acre",en
zinc def in gnut,spraying of zinc sulphate @ 2 gm/lt,en
asked about spodoptera in groudnut,suggest to spray thiodicarb,en
asked about helicoverma,suggested to spray quinolphos,en
pest in groundnut,spraying of quinolphos@ 2 ml/lt,en
fertiliser dose in g.nut,explained as per fertiliser schedule,en
asked about   irrigation in groundnut,suggest him to irrigate before starting flowering,en
asked about control of sucking pest in gropundnut,suggested to spray monochrotophos@320ml per acre,en
asked about irrigation,suggesst him give irrigation before flowering,en
asked about  zypsum dosege,suggest to apply 200kgs per acre,en
leaf  folder in g nut,spraying of chloripyriphos @ 2.5 ml/lt,en
control of spodoptera leaf spot in ground nut,spraying of monocrotophas 1.6 ml/lit water,en
asked about rootb0rer in  groungnut,suggest to apply carbofuran 3g capsules,en
fertilizer management in ground nut after sowing,suggested to apply gypsum 200 kg per acre,en
ground nut tobacoo c.p,prophinophos 400ml/ac,en
control of ground nut leaf minor minor,spraying of monocrotophas 1.6 ml/lit water,en
asked about fe deficiency,suggest to spray feso4,en
aphid in groundnut,spraying of dimethoate@ 2 ml/lt,en
asked about control of groundnut leaf maner,recommended to spray monocrotophose 1.6ml/lit,en
asked about control of leaf webber,recommended to spray quinalphose 400ml/acre,en
asked about fertilizer in groud nut,recommended according to panchangam,en
asked about control of jassids,recommended to spray monocrotophose 320ml+neem oil 1lit + 1kg ditergent powder,en
asked about the control of leaf folders,recommended to spray monocrotophos 1.6ml/lit,en
control of weed in groundnut,spraying imajithaphir 2ml/1 lit water,en
contol of leaaf folder in ground nut,spraying of quinolphos 2 ml per one liter of water,en
root grub damage,apply carbofuron 10 g grnules per one acare,en
dosage of zipsum in groundnut,200kg/acer,en
asked about rootrottening,spray coc,en
asked about flies,spray acephate,en
asked about spodopera,spray thiodicarb,en
black leaf spot,spraying copar oxychloride 3grms/ltr,en
asked about zypsum dosage,suggest him 200kgs acre,en
bud necrosis in g.nut,seed treatment with imidachlorpid@ 2 ml/ kg seed and mancozeb@ 2.5 gm/kg seed,en
how to get good yield in groundnut,gypsum 200kg per acre,en
asked about leaf spot in groundnut,suggest to spray mancozeb,en
seed treatment in groundnut,seed tratment with carbondizem 3 gm per litre,en
seed treatment in g.nut,with mancozeb@ 2.5 gm/lt,en
asked about dosage of  zypsum,suggest to apply zypsum 200kgs,en
wilt in gnut,recomended 30gm coc and 1gm streptocuclin in 10 lit water,en
for spodoptera in groundnut,spraying of larvin 300gms or rimon 200ml/200lt,en
asked ground nut sucking pests,"recommended to spray dimethoate(rogar, rogarin) 400 ml per acre",en
tikka in ground nut,"recommended to spray hexaconazole(contaf, anvil)  400 ml per acre",en
ground nut tobacco caterpillaer,"recommended to chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
bihary hairy caterpillar in ground nut,recommended spray of tracer 75ml/ acre in groundnut,en
caterpillar in ground nut,recommended to spray plethora @ 350ml/acre,en
asked about grund nute leaf folder,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre",en
caterpillar in groundnut,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
control of pachha purugu in ground nut,spray   lamdachalothrin 400 ml / acre,en
ground nut sucking pest,"recommended to spray dimethoate(rogar, rogarin) 400 ml per acre",en
root rot in ground nut `,recommended blitex 3g/lit water,en
flower drop in gnut,recomended planofix 5ml/20lit water,en
for leaf hoppers in groundnut,recommendation of acephate 300gms/200lt,en
tikka leaf spots,"recommended to spray chlorothalanil(kavach, daconil, bravo)  400 grams per acre",en
weedicide in gnut,spraying of pendimethalin 1.2lt/ac,en
for helicoverpa in groundnut,spraying of larvin 300gms/200lt,en
"nutrient deficiency
in groundnut","marshal 300ml/acre
gypsum 200kg/acre
muilti k-1kg/acre (13-0-45)
agromin max 1kg/acre",en
ground nut leaf spot,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre ??o?????? (?????? m -45, ???????? m-45, ???????)  ?????? 500-600 ????????  200 ??????? ?????? ????? ???????? ??????",en
control of   pachhapurugu in ground nut,quinalphos   2 ml / lit of water,en
ground nut black spots,recommended for  mancozeb  gr/ltr and coc 1 gr/ltr,en
want farmer call center,recommended 1800-425-1110,en
for leaf eating catterpillar,spraying of larvin 300gms/200lt,en
ground nut rust,recommended to tridimorph 400gm/acrer,en
asked about tcp,"recommended to spray thiodecarb (larvin, spirin, check) 300 grams per acre",en
ground nut root rot,spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres,en
ground nut stem rot,recommeded to score 100ml/acre,en
ground nut  aphids,recommended for blitax 3 gr/ltr and acephate 1.5 g/ltr,en
ground nut helicoverpa,"thiodecarb (????????, ????????, ????) 300 ml per acre  ???????????? (????????,????????, ????) ????? 300 ?????? 200 ??????? ?????? ????? ?????? ??????",en
stem rot in ground nut,recomended mancozeb 2g/lit water,en
ground nut borer,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre",en
yelow leaf drop,recommended to spray spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres    10 ??????? ?????? 30 ???????? ????????? ????? ?? ???? ??????????????????,en
small caterpillar in ground,recomended for neemoil 5ml/lt water,en
discolouration of ground nut leaves,recommended for multi k 5grms/lt water,en
ground nut mgmt.,20 kgs murate of potash and 12 kg/urea /acre,en
ground nut leaf floder,"recommended to spray chlofenpyrphos  (intraprid, lepido) 300 ml per acre",en
groundnut shoot borer,plithora 75grm/acre,en
white fly in groundnut,"recommended to spray acephate (antaf, artin, lucid )  300 grams per acre  in groundnut",en
"thanks for calling
please call again","thanks for calling
please call again",en
weed management in ground nut,recomended stomp 1liter /acre,en
tikka leaf spots in ground nut,"recommended to spray chlorothalanil(kavach, daconil, bravo)  400 grams per acre",en
ground nut gypsum,recomended to use gypsum at flowering stage @200kg/acre,en
ground nut sheath rot and helicoverpa,recommended to spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres,en
leaf eating catarpillar,"spinosad(tracer spinter , charge  ) 75 grams  per acre",en
ground nut growth,recomended in multi k 1kg/acer,en
ground nut sowing time,recomended nov to dec 15 is the sowing time,en
ground nut yellow leaf spot,copper oxy chloride (blitox) 600 grams per acre,en
market information purchased by government,recommended for no data about market,en
for yellowing of leaves in gnut,spraying of agrominmax 1kg/200lt,en
helicoverpa in ground nut,"spinosad(tracer spinter , charge  ) 75 grams  per acre   ?????????? (???????, ????????, ??????) ???????? 75???????? 200 ??????? ?????? ????? ???????? ??????",en
for control of sucking pest in gnut,spraying of trizophos 400ml/200lt[2ml/1lt],en
leafhoppers in groundnut,"spraying of acephate 300gms/200lt+agromin max 1kg/200lt,urea1kg/200lt",en
asked about ground nut leaf folder,recommended quinolphos 2 ml/lit of water,en
fertilizer applied at 30days,"recommended gypsum, potash application",en
griund nut growth,19  19   19  1kg / acre + agromin max 1 kg / acre,en
for yellowing of leaves in groundnut,spraying of kavach 400gms/200lt+agrominmax 1kg/200lt,en
asked groundnut leafcurl,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
tikka leaf spot in ground nut,recommended mancozeb 2.5g/lit water,en
ground nut root grub,"chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
g nut leaf folder,"chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
"weedicide
in groundnut",recommended to spray imazitapyr (pursuit ) 400 ml per acre,en
asked market rate ground nut,activated,en
ground nut early bligt,"mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre",en
"tikka leaf spot, sigatoka leaf spot",spraying of chlorothalonil 2 grms/lit water,en
ground nut thruppu tegulu,"recommended to spray chlorothalanil(kavach, daconil, bravo)  400 grams per acre   ????????????? (?????, ???????,  ??????)  ?????? 400 ???????? 200 ??????? ?????? ????? ???????? ??????",en
for control of helicoverpa in gnut,spraying of proclaim 100gms/200lt,en
ground nut damping off,recommended application ridomil mz 2.5 gram/ litre in groundnut,en
ground nut sucking pests,procliam 100gr/acre in 200 lt water,en
g nut borer,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre",en
seed treatment in gruond nut,recomended for mancozeb 3grms/1 kg seed or carbendism 1grms/ 1 kg seeds,en
ground nut tobocco caterpiller,recommended to takumi 120gm/acre,en
asked about pest in groun nut,recommended to spray chlorophriphos@2.5ml/lit,en
block spots on gruond nut leavs,recomended for mancozeb 400grms/acre,en
ground nut pachapurughu,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
tobbaco catter piller,recomended quinolphos 2ml/lit water,en
white leavs in ground nut,recomended for annabedhi 1kg/acre+citric acid 200ml/ acre,en
ground nut herbicide 30 days,not recommended.,en
catter piller in ground nut,recomended chloripyriphos 2.5ml/lit water,en
tikaa leaf spot in ground nut,recomended bavistin 1g/lit water,en
white fly in gnut,recomended oberon 2ml/lit water,en
curling of leaves and presence of insect in ground nut,recommended for chloripyripos 500ml+acephate 300grms/ acre,en
tikka in groundnut,recomended saaf 400gm/acre,en
root rot in ground nut,recommended to spray copper oxy chloride (blitox) 600 grams per acre,en
