QueryText,KccAns,Language
rats management in groundnut,"తెరిచి ఉన్నటు వంటి ఎలుకల కన్నలలో బ్రోమోడయోలోన్ మందు, వరి నూక మరియు వంట నునే కలిపిన ఎరను కన్ననికి 10 గ్రా చొప్పున పెట్టవలెను.",te
leaf borer management ,"recommended to spray emamectin benzoate  (proclaim) 90 grams /150 litres of water / acre  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
",te
groundnut leaf spot management ,"ప్రొపికొనజోల్  200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
",te
"groundnut leaf miner management 
","టిబ్యుకొనజొల్   +  ట్రైప్లోక్సిస్త్రోబిన్ 160  గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
  ( హెక్సాకొనజోల్   +కాప్టాన్ )  400 గ్రాములు /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
",te
tikka in ground nut recommended,"recommended to spray carbendazim   (bavistin) 200  grams/  200 litres of water /acre   
కార్బెండజిం  200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray  hexaconazole  (contaf) 400 ml /200 litres of water / acre  
హెక్సాకొనజోల్   400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
",te
groundnut  sucking pest   management ,"  థయోమిథాక్జొమ్ 40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray thiamethoxam (12.6%) + lambda cyhalothrin(alika) 80ml/200 liter of water/ acre
",te
 leaf spot and fruit rot  management in groundnut ,"recommended to spray azoxystrobin+tebuconazole(custodia) 240 ml/200 litres of water / acre  
 అజాక్సిస్త్రోబిన్ +టెబ్యుకొనజోల్  240 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
",te
tikka disease in groundnut ,"recommended to spray chlorothalonil (kavach) 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
groundnut late tikka management ,"--ప్రొపికొనజోల్  200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
  ( హెక్సాకొనజోల్   + జినెబ్)  500 గ్రాములు /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
",te
black leaf spot in groundnut ,"recommended to spray ( carbendazim +mancozeb ) (saaf) 400gm / 200 lit of water /acre
( కార్బెండజిం + మాంకోజెబ్ ) 400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాల
",te
rodent management in groundnut: ,జింక్ ఫోస్ఫిడే  ఎరా ని వాడాలి విషం లేని ఎరా ని 2౦గ్రాములు అంటే తొంభయి ఎనిమిది పళ్ళు నూకలు రెండు పళ్ళు నూనె పొట్లాలుగా కట్టి కన్నానికి ఒకటి చొప్పున పెట్టి రెండు రోజులు ఎలుక లను మచ్చిక చేసుకోవాలి మూడవ రోజు జింక్ ఫోస్ఫఇదే ఎరా ను పది గ్రాములు పొట్లాలు కట్టి కన్నం లో ఒకటి చొప్పున వేయాలి ,te
tobacco cater filler in groundnut ,"recommended to spray emamectin benzoate  (proclaim) 90 grams /150 litres of water / acre  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
",te
tobacco cater pillar management ,"recommended to spray chlorothalonil (kavach) 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
tikka leaf spot management in groundnut?,19-19-19 @ 5 గ్రాములు లీటరు నీటికి కలిపి పిచికారీ చేయండి లేదా యూరియా @ 5 గ్రాములు లీటరు నీటికి కలిపి పిచికారీ చేయండి.,te
farmer asked about the how to use gypsum in groundnut recommended ,ఎకరాకు వచ్చేసి వేరుశెనగ పంటలో జిప్సం రెండు వందల కిలోలు పూత సమయంలో వేసుకోవాలి ....,te
tikka in ground nut recommended ,"recommended to spray  hexaconazole  (contaf) 400 ml /200 litres of water / acre  
హెక్సాకొనజోల్   400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray tebuconazole   (folicur) 400 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   400గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
tikka leaf spot in groundnut ,"recommended to spray chlorothalonil (kavach) 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
root rot in groundnut ,"recommended to spray copper oxy chloride  (blue copper) 600  gm /200 litres of water / acre  
కాపర్ ఆక్సీక్లోరైడ్  600 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి ",te
tikka disease    in groundnut ,"recommended to spray chlorothalonil (kavach) 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray tebuconazole   (folicur,raxil) 40 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   40గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
borers  and  caterpillars  management,"recommended to spray  hexaconazole  (contaf) 400 ml /200 litres of water / acre  
హెక్సాకొనజోల్   400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray tebuconazole   (folicur) 400 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   400గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
tikka disease   in ground nut ,"recommended to spray chlorothalonil 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
"tikka leaf spot in ground nut 
","recommended to spray  thiophanate methyl (topsin-m) 200  grams/200 litres of water / acre 
థయోఫానైట్  మిథైల్ (రోకో)200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray tebuconazole   (folicur) 400 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   400గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray potassium nitrate 13-0-45 @ 5 grams/1 liter of water/ acre 
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
recommended to spray ambition 250 ml/acre",te
dosage of chlorpyrifos and cypermethrin ," recommended to spray  chlorpyrifos  (corabon/predator) 500 ml/200 litres of water / acre
 క్లోరోఫైరిఫాస్   500 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray cypermethrin (rifcard) 300 ml /200 litres of water / acre 
సైపర్ మెత్రిన్  300 మిల్లి లీటర్లు  /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",te
weed management in  groundnut     ,"recmmended to spray imazitapyr (pursuit) 300- 400 ml/200 litres of water per acre 
ఇమాజితాపైర్ ( పర్ సూట్  ) 300-400 మిల్లి లీటర్లు     /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి	
",te
