QueryText,KccAns,Language
asked about the control of gram caterpillar.,recommended to spray quinolphos 2.0ml/lit,en
asked about the control of gramcaterpillar.,recommended to spray spinosad 0.3ml/lit,en
asked about recommended varities for sterility mosaic,"recommended to sow icpl 87119, iepl 85069, bsmr 853",en
asked about the control of gram caterpillar,recommended to spray chloripyriphos 2.5ml/lit,en
asked about helicoverpa in red gram,suggested for spraying of quinolphos @ 2ml/lt,en
asked about weed management in redgram,suggested to spray pendimethalin@1 to 1.5 lit per acre immediately after sowing,en
asked about fertilizer management in redgram,fertilizer management in redgram-recommended dose of fertilizers are 8kilos nitrozen and 20kilos phosphorus per acre,en
maruka spotted worm damage,spraying of mono or quinolphos 2.5 ml per one lit of water.,en
asked about fertilisers,provided informatiopn as per data,en
asked about control of fruitborer,recommended to spray cloripyriphose 2.5ml/lit,en
asked about agril.officer contact details,contacts details of agril.officer-radravaram-8096697377,en
cntrol of caterpillar in red gram,spraying of monocrotophas 2 ml/liy water,en
asked about control of leaf eating cater pillar in redgram,suggested to spray quinolphos@2.5ml per liter water,en
control of spodoptera in red gram,spraying of indoxycarb 200 ml/acre,en
control of pod borer in red gram,spraying of quinolphas 2 ml/lit water,en
control of pod borer in red grams,spraying of carbaryle 3 grms/lit water,en
asked about pest in red gram,suggested to spray indaxacardb @ 1g/lt of water,en
asked about red gram flower drop,planofix @ 2 ml/lt of water,en
control of caterpillar in red grm,spraying of quinolphas 2 ml/lit water,en
control pod borer in red grams,spraying of prophinophas 2 ml/lit water,en
asked about thrips in red gram,acephate @ 1.5 g/lt of water,en
asked about flower drop in red gram,recomended planofix,en
control of root rot in red gram,spraying of coc 3 grms/lit water,en
asked about control of flower drop in redgram,suggested to spray planofix@2ml per 10 lit water,en
asked about red gram pest,suggested to spray quinalphos @ 2ml/lt of water,en
asked about control of leaf eating caterpillar in redgram,suggested to spray quinolphos@2ml per liter water,en
maruka spoted worm,spraying of quinolphos 2.5 ml/ lit of water,en
redgram leaf webber,"recommended to spray monocrotophos(nuvacron, phoskil, luphos) 300 ml per acre    ?????????????? (?????????, ???????, ??????) ????? 400 ?????? 200 ??????? ?????? ????? ???????? ??????",en
flower drop in red gram,recommended for planofix 2.5 ml/10 ltr of water,en
borers in red gram,"thiodecarb (????????, ????????, ????) 300 ml per acre",en
redgram sheath rot,recomended blitox 600gr/acre in 200lt water,en
red gram wilt,recommended drenching blue copper 3gram/ litre in wilt,en
red gram sucking pests,acephate 300gr/acre in 200lt water,en
spodoptera in redgram,"recommended to spray novaluran (reman, nova, sicissors )200 ml per acre",en
larva in flower,recomended larvin 1.5gm/lit water,en
larva in flower bud,recomended nem oil 5ml/lit water,en
control of pachha purugu in red gram,proclaim   90     gr /  200 lit of water,en
multi nutrient in red gram,recomended mulik 1kg/acre,en
red gram redgram,recommended to spray planofix @50ml/acre,en
red gram growth,recomended mulit-k 1kg/acre in 200lt water,en
catter piler in red gram,"recommended recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
red gram flower drop,spray plano fix 5ml/20l water.,en
maruka in redgram,recommended spray of tracer 75ml/ acre in redgram,en
leaffolder in redgram,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre",en
flower drop control in red gram,recommonded spray of planofix 2ml/ 10 litre of water in redgram,en
