QueryText,KccAns,Language
asked about the control of bph in rice,recommended to spray acephate 1.5gm/lt,en
asked about the control of leaf folder in rice,recommended to spray acephate 1.5gm/lt,en
asked about the control of hispa in rice,recommended to spray monocrotophos 1.6ml/lt,en
asked about the control of blast in rice,recommended to spray tricyclozole 0.06gm/lt,en
asked about the control of weeds in rice,recommended to spray benthiocarb 1.6lt/acre,en
asked about zn deficiency in rice,recommended to apply znso4 20kg/acre,en
asked about thew control of weeds in rice,recommended to spray 2-4-d sodium salt 400gm/200lt of water,en
asked about the fe defieciency in rice,recommended to spray 20gm annabhedi churnam+2gm lemon salt in 1 lt of water,en
asked about the control of stem borer in rice,recommended to spray cartop hydrochloride 4g capsules 8kg/acre,en
asked about the control of gallmidge in rice,recommended to spray phorate 10g granules 5kg/acre,en
asked about the fertiliser recommendation in rice,recommended to spray n-p-k @ 48-24-16kg/acre,en
asked about control for rice blast,recommended to spray beam 120gr/200 litres,en
asked about the zn defieciency in rice,recommneded to spray znso4 2gm/lt,en
asked about the zn deficiency in rice,recommended to spray znso4 2gm/lt,en
asked about the control of zn defieciency in rice,recommended to spray znso4 2gm/lt,en
asked about the fertiliser recommendation in rabi rice,recommended n-p-k fertilisers are 48-24-16kg/acre,en
asked about the control of gall midge in rice,recommended to spray phorate 10g granules 5 kg/acre,en
asked about the control of rice blast,recommended for the application of tricyclozole 0.6 gm/ltr,en
asked about seed treatment in rice,seed treatment with carbondazim 2.5gm/kg seed,en
asked about control of stem borer in rice,recommended to spray chlorpyriphos 2ml/lt,en
asked about control of rice stem borer in paddy,recommended to apply carbofuran granules 10kg/acre,en
asked about control of rice stem borer,recommended to spray carbofuran 3g granules 160gm /cent area,en
asked about control of rice stem bore,recommended to spray carbofuran granules 10kg /acre,en
asked about control for broad leaved plants with monocot weeds in rice field,"recommended to spray 4kgs butachlor mixed with 4kgs 2,4-d and ethyl ester 4%.",en
asked about the control of gundhi bug in rice,recommended to spray monocrotophos 1.6ml/lt,en
asked about the mg recommendation in rice,recommended to spray mgso4 10gm/lt,en
asked about control of rice stem borrer,recomended to spray cartaphydrochloride 2 gm/ltr,en
asked about the control of rice stem borer,recommended for the application of cartaphydrochloride 2 gm/ltr,en
