StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,NIZAMABAD,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT THE WEATHER REPORT,GIVEN THE WEATHER REPORT TO THE FARMER.,2009-07-27T19:25:09,2009,7
TELANGANA,ADILABAD,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY METRIBUZINE 600GR/450 LITRES,2009-07-28T06:45:22,2009,7
TELANGANA,NIZAMABAD,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT THE CONTROL OF WEEDS.,RECOMMENDED TO SPRAY ALACHLOR50% @ 1.0lit/acre.,2009-07-28T07:03:19,2009,7
TELANGANA,KARIMNAGAR,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT INFORMATION ON CROP INSURENCE,ESC TO ATIC,2009-07-25T19:29:49,2009,7
TELANGANA,ADILABAD,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR GALLMIDGE DAMAGE,RECOMMENDED TO SPRAY CARBOFURON GRANULES 10KGS PER ACRE,2009-07-18T16:40:46,2009,7
TELANGANA,RANGAREDDY,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT THE CONTROL OF FRUIT BORER.,RECOMMENDED TO SPRAY PROPHENOPHOS @ 2 ml/lit OF WATER.,2009-07-22T17:00:44,2009,7
TELANGANA,MEDAK,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO EPRAY BENTHIOCORP 1.5 LIT/ACRE,2009-07-18T10:57:46,2009,7
TELANGANA,RANGAREDDY,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT THE CONTROL OF BLAST.,RECOMMENDED TO SPRAY TRICYCLOZLE @ 0.6g/lit OF WATER.,2009-07-28T12:29:05,2009,7
TELANGANA,ADILABAD,0   ,JAYAD,9999,0,9999,9999,REMIDY FOR SASLINE SOILS,ESC TO COA,2009-07-28T15:27:02,2009,7
TELANGANA,WARANGAL,0   ,JAYAD,HORTICULTURE,0,Ber,29,ASKED ABOUT HORTICULTURE TOLL FREE NUMBER,GIVEN THE NUMBER 1800-425-0040 OR -0080,2009-07-29T18:26:53,2009,7
TELANGANA,ADILABAD,0   ,JAYAD,AGRICULTURE,0,Cotton (Kapas),3,ASKED ABOUT CONTROL OF SUCKING PESTS IN COTTON,RECOMMENDED TO SPRAY ROGAR 2ML/LT,2009-07-29T19:25:52,2009,7
TELANGANA,WARANGAL,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL OF STEM BORER,RECOMMENDED TO APPLY CRBOFURAN GRANULES,2009-07-29T20:28:25,2009,7
TELANGANA,WARANGAL,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT WEATHER DATA,ANSWER GIVEN AS PER DATA,2009-07-29T20:59:08,2009,7
TELANGANA,ADILABAD,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR ZINC DEFFICIENCY,RECOMMENDED TO SPRAY ZINC SULPHATE 2GM/LIT,2009-07-28T21:16:31,2009,7
TELANGANA,MAHABOOBNAGAR,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR STEM BORER,RECOMMENDED TO SPRAY CARTOPHYDROCLORIDE 2GM/LIT,2009-07-21T13:10:45,2009,7
TELANGANA,MAHABOOBNAGAR,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY BENTHIOCORP 1.5ML/LITRE,2009-07-21T14:24:41,2009,7
TELANGANA,KHAMMAM,0   ,JAYAD,9999,0,9999,9999,ASKED ABOPUT THE CONTROL OF REGERMINATION OF GRASS,RECOMMENDED TO SPRAY SALT WATER OVER IT,2009-07-15T10:59:29,2009,7
