StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,NIZAMABAD,0,NA,HORTICULTURE,0,1280,76,ASKED ABOUT THE CONTROL OF MITES.,RECOMMENDED TO SPRAY PHOSOLON 3ML/LIT,2009-12-07T14:53:46,2009,12
TELANGANA,KARIMNAGAR,0,NA,HORTICULTURE,0,1279,76,ASKED ABOUT THE CONTROL OF WHITE FLIES.,RECOMMENDED TO SPRAY TRIZOPHOS 2.5ML/LIT,2009-12-05T14:41:26,2009,12
TELANGANA,MAHABOOBNAGAR,0,KHARIF,AGRICULTURE,0,Pigeon pea (red gram/arhar/tur),,Water Management,,ASKED ABOUT WATER MANAGEMENT,INFORMED TO IRRIGATE TWO TIMES,2009-12-31T11:13:57
TELANGANA,RANGAREDDY,0,KHARIF,AGRICULTURE,0,Others,Fertilizer Use and Availability,ASKED ABOUT GYPSUM DOSAGE FOR IRRIGATED GROUND-NUT,RECOMMENDED TO APPLY GYPSUM 200 KGS/ACRE AT FLOWERING STAGE,2009-12-11T00:00:00,2009,12
TELANGANA,MAHABOOBNAGAR,0,NA,AGRICULTURE,0,Cotton (Kapas),3,ASKED ABOUT THE CONTROL OF SUCKING PEST.,RECOMMENDED TO SPRAY METHYLDEMATON 2ML/LIT,2009-12-11T15:08:15,2009,12
TELANGANA,WARANGAL,0,NA,AGRICULTURE,0,Cotton (Kapas),3,ASKED ABOUT THE CONTROL OF SUCKING PEST,RECOMMENDED TO SPRAY METHYLDEMATON 2ML/LIT,2009-12-13T15:20:52,2009,12
TELANGANA,KHAMMAM,0,NA,HORTICULTURE,0,Others,76,ASKED ABOUT THE CONTROL OF THRIPS.,RECOMMENDED TO SPRAY CARBORYL @ 3g/lit OF WATER.,2009-12-03T13:00:39,2009,12
TELANGANA,KHAMMAM,0,NA,AGRICULTURE,0,Cotton (Kapas),3,ASKED ABOUT THE CONTROL OF SUCKING PESTS.,RECOMMENDED TO APPLY ACEPHARE 1.5 GR/LIT.,2009-12-03T13:04:53,2009,12
TELANGANA,WARANGAL,0,KHARIF,HORTICULTURE,0,1280,76,ASKED ABOUT THE SUCKINGPEST.,RECOMMENDED FOR THE APPLICATION OF THIOMETHOXOM 0.2gm/LIT,2009-12-03T13:11:03,2009,12
TELANGANA,WARANGAL,0,KHARIF,HORTICULTURE,0,2114,85,ASKED ABOUT PLANTING TIME,RECOMMENDED TO SOW AT THE TIME OF DEC 15 TO JAN 15,2009-12-24T13:05:13,2009,12
