StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,MEDAK,0   ,KHARIF,AGRICULTURE,0,1576,2,ASKED ABOUT THE CONTROL OF LOOSE SMUT OF SORGHUM,RECOMMENDED TO SPRAY20GM CAPTON+2GM AURIOFUNGIN IN 10LT OF WATER,2009-01-24T11:49:20,2009,1
TELANGANA,RANGAREDDY,0   ,KHARIF,AGRICULTURE,0,1653,29,ASKED ABOUT VARIETIES FOR GROUNDNUT,RECOMMENDED TO CHOOSE KADIRI 3 OR 4 OR TIRUPATHI 4,2009-01-20T13:32:51,2009,1
TELANGANA,ADILABAD,0   ,KHARIF,9999,0,9999,9999,ASKED ABOUT THE FARMING MASHINARY,RECOMMENDAED TO CONTACT FARMING MACHINARY OR MEET LOCAL A.O OFFICER,2009-01-20T14:13:20,2009,1
TELANGANA,ADILABAD,0   ,KHARIF,9999,0,9999,9999,ASKED ABOUT THE VARIETIES IN GROUND NUT,"RECOMMENDED VARIETIES ARE TIRUPATHI-123,KADIRI,VEMANA..",2009-01-20T14:21:14,2009,1
TELANGANA,KARIMNAGAR,0   ,KHARIF,AGRICULTURE,0,1037,2,ASKED ABOUT THE CONTROL OF POWDERY MILDEW IN BLACKGRAM,RECOMMENDED TO SPRAY KARATHANE 1ML/LT,2009-01-20T15:57:42,2009,1
TELANGANA,MAHABOOBNAGAR,0   ,KHARIF,HORTICULTURE,0,Citrus,29,ASKED ABOUT THE CONTROL OF CITRUS FRIUT SUCKING MOTHS,RECOMMENDED TO SPRAY DIMETHOATE@2ML/LIT,2009-01-20T20:17:03,2009,1
TELANGANA,MEDAK,0   ,KHARIF,9999,0,9999,9999,ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY ATRAZINE 1.5KGS/ACRE,2009-01-19T10:27:02,2009,1
TELANGANA,RANGAREDDY,0   ,KHARIF,9999,0,9999,9999,ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMENDED TO SPRAY PLANOPHIX 1ML/5LTR,2009-01-19T11:06:35,2009,1
TELANGANA,MEDAK,0   ,KHARIF,AGRICULTURE,0,Peas (field peas/ garden peas/matar),1,ASKED ABOUT THE SEED RATE IN CHICK PEA,RECOMMENDED SEED RATE IS 20-26 KG/ACRE,2009-01-19T12:45:47,2009,1
TELANGANA,NIZAMABAD,0   ,KHARIF,9999,0,9999,9999,ASKED ABOUT THE CONTROL OF WEEDS IN PADDY,RECOMMENDED TO SPRAY BUTACHLOR@1.5LTR/ACRE,2009-01-27T10:27:04,2009,1
