StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,WARANGAL,0   ,RABI,9999,0,9999,9999,ASKED ABOUT SEED TREATMENT,RECOMMENDED TO TREAT THE SEED WITH BAVISTIN 2.5GR/KG SEED,2009-06-02T15:40:01,2009,6
TELANGANA,MAHABOOBNAGAR,0   ,RABI,9999,0,9999,9999,ASKED ABOUT WEATHER,THERE IS NO CHANCE OF RAIN,2009-06-02T18:58:57,2009,6
TELANGANA,MAHABOOBNAGAR,0   ,JAYAD,AGRICULTURE,0,1137,5,ASKEDABOUT VARIETIES OF RICE,RECOMMENDED VARITIES ARE IMPROVED SONAMASOORI,2009-06-13T19:51:18,2009,6
TELANGANA,NALGONDA,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR WEED,RECOMMENDED TO SPRAY BUTACHLORE 1.5ML/LT,2009-06-20T21:10:19,2009,6
TELANGANA,ADILABAD,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT THE WEATHER REPORT,INFORMATION HAS BEEN PROVIDED AS PER THE REPORTS PROVIDED THAT THERE IS A CHANCE OF RAIN TODAY,2009-06-20T21:19:56,2009,6
TELANGANA,MEDAK,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR POWDERY MILDEW,RECOMMENDED TO SPRAY DINOCAB 1ML/LT,2009-06-23T18:22:35,2009,6
TELANGANA,ADILABAD,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT VARITIES,RECOMMENDED VARITIES ARE BPT-5204,2009-06-21T18:36:14,2009,6
TELANGANA,NALGONDA,0   ,JAYAD,AGRICULTURE,0,1137,1,ASKED ABOUT SEED TREATMENT OF RICE,TRET THE SEED THE WITH MANCOZEB 4GM /KG SEED,2009-06-28T18:44:04,2009,6
TELANGANA,ADILABAD,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT THE DOSAGE OF ZYPSUM,RECOMMENDED THE DOSAGE OF ZYPSUM @ 1.5t/acre.,2009-06-26T12:08:05,2009,6
TELANGANA,MEDAK,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR WEED,RECOMMENDED TO APPLY PENDIMETHALIN 1.3ML/LT,2009-06-29T09:14:57,2009,6
TELANGANA,RANGAREDDY,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR MEALYBUG,RECOMMENDED TO SPRAY DIMETHOATE 2ML/LT,2009-06-29T11:39:14,2009,6
TELANGANA,WARANGAL,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT CONTROL FOR WEED,RECOMMENDED TO APPLY BUTACHLORE 1.5ML/LT,2009-06-25T18:47:20,2009,6
TELANGANA,KARIMNAGAR,0   ,JAYAD,AGRICULTURE,0,1137,5,ASKED ABOUT VARITIES OF RICE,RECOMMENDED VARITIES ARE IMPROVED SONAMASOORI IS SUITABLE,2009-06-12T19:54:39,2009,6
TELANGANA,MAHABOOBNAGAR,0   ,JAYAD,9999,0,9999,9999,ASKED ABOUT THE CONTROL OF THRIPS,RECOMMENDED TO APPLY DIMITHOATE 2ML/LTR,2009-06-16T12:00:01,2009,6
