StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,SURYAPET,MUNAGALA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు. 
",2023-07-15T11:21:57.48,2023,7
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"
WEATHER REPORT
THERE IS A CHANCE OF CLOUDY WEATHER AND RAINS IN YOUR AREA
",2023-07-15T11:47:35.97,2023,7
TELANGANA,MAHABUBABAD,NALLIKUDUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weed Management,"FARMER ASKED QUERY ON WEED MANAGEMENT IN COTTON
","ప్రత్తి సమగ్ర కలుపు యాజమాన్యం

ప్రత్తి మొలకెత్తిన నెల రోజులకు చేనులో వచ్చు లేత గడ్డి మరియు వెడల్పాకు గల కలుపు నివారణకు – ప్రోపాక్విజాఓఫాస్ (ఎజిల్) 250 మి.లీ. మరియు పైరిథయోబ్యాక్ సోడియం (హిట్ వీడ్/థీమ్/ రైఫ్) 250 మి.లీ. 200 లీటర్ల నీటిలో కలిరి రిచికారి చేయాలి",2023-07-14T19:27:06.85,2023,7
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"    CLOUDY WEATHER , CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది. జల్లులు పడే అవకాశం ఉంటుంది
",2023-07-14T20:35:09.43,2023,7
TELANGANA,RAJANNA SIRCILLA,SIRCILLA,NA,HORTICULTURE,Vegetables,Ash Gourd (Petha),Vegetative Propagation and Tissue Culture,SPACING IN ASH GOURD,SPACING IN ASH GOURD IS 9M BETWEEN ROWS AND 0.9M IN PLANTS ,2023-07-14T20:47:34.827,2023,7
TELANGANA,NIZAMABAD,SIRIKONDA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"WEATHER REPORT:
THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది జల్లులు పడే 
అవకాశం ఉంది",2023-07-14T21:06:31.503,2023,7
TELANGANA,KARIMNAGAR,SAIDAPUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weed Management,FARMER ASKED QUERY ON WEED MANAGEMENT IN COTTON?,RECOMMENDED TO SPRAY PROPAQUIZAFOP (AZIL) 250 ML/200 LITRES OF WATER /ACRE+RECOMMENDED TO SPRAY PYRITHIOBAC SODIUM (HIT WEED/THEAM) 250 ML /200 LITRES OF WATER PER ACRE ,2023-07-15T06:16:31.03,2023,7
TELANGANA,NIRMAL,BHAINSA,NA,AGRICULTURE,Oilseeds,Soybean (bhat),Weed Management,WEED MANAGEMENT IN SOYA BEAN  ,RECMMENDED TO SPRAY IMAZITAPYR (PURSUIT) 300- 400 ML/200 LITRES OF WATER PER ACRE ,2023-07-15T13:40:04.713,2023,7
TELANGANA,WARANGAL RURAL,NARASARAOPETA,NA,AGRICULTURE,Oilseeds,Soybean (bhat),Weed Management,FARMER ASKED QUERY ON WEED MANAGEMENT IN SOYABEAN,"RECMMENDED TO SPRAY IMAZITAPYR +IMAZAMAX - 40 GR /200 LITRES OF WATER PER ACRE 
",2023-07-15T13:55:09.83,2023,7
TELANGANA,NIRMAL,TANUR,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"మీ  ప్రాంతం లో ఈ రోజు తేలిక పాటి నుంచీ మొస్తారు వర్షం పడే అవకాశం కలదు. 
",2023-07-15T14:02:31.95,2023,7
TELANGANA,NIRMAL,BHAINSA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,వాతావరణం మబ్బులుగా ఉంటుంది . జల్లులు పడే అవకాశం కలదు .,2023-07-15T14:07:08.227,2023,7
TELANGANA,SIDDIPET,MADDUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weed Management,"FARMER ASKED QUERY ON WEED MANAGEMENT IN COTTON
","ప్రత్తి సమగ్ర కలుపు యాజమాన్యం

ప్రత్తి మొలకెత్తిన నెల రోజులకు చేనులో వచ్చు లేత గడ్డి మరియు వెడల్పాకు గల కలుపు నివారణకు – ప్రోపాక్విజాఓఫాస్ (ఎజిల్) 250 మి.లీ. మరియు పైరిథయోబ్యాక్ సోడియం (హిట్ వీడ్/థీమ్/ రైఫ్) 250 మి.లీ. 200 లీటర్ల నీటిలో కలిరి రిచికారి చేయాలి.",2023-07-15T14:10:29.827,2023,7
TELANGANA,YADADRI BHUVANAGIRI,BHONGIR,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEED MANAGEMENT IN PADDY CROP,RECOMMENDED TO SPRAY(  DuPont Vivaya ) -Penoxsulam + cyhalofop-butyl 800 ML PER ACRE ,2023-07-15T14:10:49.733,2023,7
TELANGANA,BHADRADRI KOTHAGUDEM,TEKULAPALLY,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,"FARMER ASKED QUERY ON DISEASE MANAGEMENT IN  CHILLI
","RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  (BLITOX)(BLUE COPPER) 3GM /LITRES OF WATER 
కాపర్ ఆక్సీక్లోరైడ్  3గ్రాములు   / 1లీటర్ల నీటికి చొప్పున కలిపి  పిచికారి చేయాలి ",2023-07-15T14:23:13.95,2023,7
TELANGANA,KUMARAMBHEEM ASIFABAD,KAGAZNAGAR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weed Management,COTTON  WEED MANAGEMENT ;-,RECOMMENDED TO SPRAY PYRITHIOBAC SODIUM 250 ML + PROPAQUIZAFOP 250 ML/200 LITRES OF WATER  PER  ACRE,2023-07-15T14:43:39.49,2023,7
