StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,NIRMAL,PEMBI,NA,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,MAIZE FALL ARMY WORM MANAGEMENT ;-,POISION BAIT : RICE BRAN 10 Kg + MOLASES (JAGGERY) 2 KG + THIODICARB 300 GRAMS   WATER  2 LITRES MIX THE INGREDIENTS WELL &  KEPT THE BAIT AROUND THE FIELD IN THE EVENING HOURS ,2024-04-01T08:21:28.087,2024,4
TELANGANA,NIRMAL,LAXMANCHANDA,NA,AGRICULTURE,Cereals,Paddy (Dhan),Sowing Time and Weather,SOWING TIME OF PADDY,"జూన్ నుండి జూలై 15 వరకు విత్తుకోవాలి. స్వల్పకాలిక రకాలను జూలై చివరి వరకు విత్తుకోవచ్చు. 

",2024-04-01T12:55:33.537,2024,4
TELANGANA,NIRMAL,LAXMANCHANDA,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy,RECOMMENDED TO SPRAY CHLORANTRANILIPROLE (CORAGIN) 60 ML/150 LITRES OF WATER / ACRE    క్లోరాంత్రనిలిప్రోల్ (కోరాజిన్) 60 మిల్లి లీటర్లు /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి,2024-04-01T16:58:08.67,2024,4
TELANGANA,NIRMAL,BHAINSA,NA,HORTICULTURE,Fruits,Melon,Market Information,MARKET PRICE OF WATERMELON ,"Warangal	31-03-2024 
MAXIMUM PRICE :1,200Rs/ QUINTAL  	MINIMUM PRICE500Rs/ QUINTAL  	AVERAGE PRICE:900Rs/ QUINTAL  	Private Traders
",2024-04-02T08:22:06.56,2024,4
TELANGANA,NIRMAL,KHANAPUR,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,	Plant Protection	,ORGANIC CULTIVATION IN SESAMUM ,"BRAHMASTHRA PREPARATION : 
కావాల్సిన పదార్ధాలు :
2 కిలోల మెత్తగా నూరిన వేపాకు ముద్ద, 2 కిలోల సీతాఫలం ఆకుల ముద్ద, 2 కిలోల పల్లేరు (Tribulus Terrestris) / మారేడు (Aegle Marmelos) ఆకుల ముద్ద, 2 కిలోల ఉమ్మెత్త ఆకుల ముద్ద, 20 లీటర్ల నాటు ఆవు మూత్రం.
తయారీ: 
ముందుగా వేప, సీతాఫలం, పల్లేరు, ఉమ్మెత్త ఆకులను ముద్దగా నూరి సిద్ధం చేసుకోవాలి. నూరిన ఆకు ముద్దను 20 లీటర్ల ఆవు మూత్రంలో బాగా ఉడికించాలి. 4 పొంగు వచ్చే వరకూ కాచి 24 గంటలపాటు చల్లారనివ్వాలి. తర్వాత ఆ ద్రవాన్ని పల్చటి గుడ్డతో వడబోసుకోవాలి. ఇదే బ్రహ్మాస్త్రం. దీన్ని ప్లాస్టిక్ డబ్బాల్లో 6 నెలల వరకూ నిల్వచేసుకోవచ్చు.
ఎకరానికి 2 నుండి 2.5 లీటర్ల బ్రహ్మాస్త్రాన్ని 100 లీటర్ల నీళ్ళతో కలిపి పంటకు పిచికారీ చేసుకోవచ్చు.

NEEMASTHRA PREPARATION :
కావాల్సిన పదార్ధాలు : 
200 లీటర్ల తాజా బోరు/బావి నీరు,
2 కేజీ నాటు ఆవు పేడ,
10 లీటర్ల నాటు ఆవు మూత్రం,
10 కేజీల వేప గింజల పిండి లేదా 5 కేజీల వేప చెక్క పొడి లేదా 5 కేజీల వేప ఆకులు.

తయారీ: 
ఈ పదార్ధాలన్నింటినీ ఒక తొట్టెలో లేదా డ్రమ్ములో వేసి బాగా కలియ త్రిప్పాలి. తర్వాత 48 గంటలపాటు నీడలో పులియబెట్టాలి. గోనె సంచి కప్పివుంచాలి. రోజుకు రెండుసార్లు చొప్పున ఉదయం, సాయంత్రం 2 నిముషాలపాటు కుడివైపునకు కలియతిప్పాలి. 48 గంటల తర్వాత పల్చటి గుడ్డలో వడపోసుకోవాలి. ఇదే నీమాస్త్రం. ఇలా తయారైన నీమాస్త్రాన్ని ఒక డ్రమ్ములో నిల్వచేసుకోవాలి. నిమస్త్రాన్ని తాయారు చేసిన వారము లోపు ఉపయోగించాలి.

ఉపయోగించే విధానం : 
నీమాస్త్రం ను 2 నుండి ౩ సార్లు పంట కాలం లో పిచికారీ చేసుకోవచ్చు పంట విత్తిన 20 రోజులకు, 45 రోజులకు , 60 రోజులకు చల్లుకోవచ్చు . అన్ని రకాల పురుగు గుడ్లను చంపుతుంది. రసం పీల్చే పురుగుల, ఇతర చిన్న చిన్న పురుగులను నివారిస్తుంది ఈ ద్రావణాన్ని నీటిలో కలుపకుండా నేరుగా పంటలపై సాయంత్రం పూట పిచికారి చేసుకోవాలి.

",2024-04-02T10:27:37.137,2024,4
TELANGANA,NIRMAL,MAMDA,NA,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Weather,FARMER ASKED QUERY ABOUT SOWING TIME  OF BHINDI?,RECOMMENDED TO SOW FROM JANUARY TO FEBRUARY,2024-04-02T11:25:06.96,2024,4
TELANGANA,NIRMAL,MAMDA,NA,HORTICULTURE,Vegetables,Leafy Vegetable,Weather,FARMER ASKED QUERY ABOUT SOWING TIME  OF LEAFY VEGETABLES?,RECOMMENDED TO SOW THROUGHOUT YEAR IF IRRIGATION FACILITY IS THERE.,2024-04-02T11:27:48.937,2024,4
TELANGANA,NIRMAL,BHAINSA,NA,HORTICULTURE,Vegetables,Watermelon,Market Information,WATERMELON MARKET INFORMATION IN GADDIANNARAMU MARKET,"గడ్డిఅన్నారం మార్కెట్ లో 01/04/2023 తేదీ నాటి  పుచ్చకాయ పంట మార్కెట్ ధరలు (రూపాయలు/క్వింటాల్) :

కనిష్ట ధర: రూ. 400 /- ,

గరిష్ట ధర: రూ. 1200 /- ,

సరాసరి ధర: రూ. 800 /- .",2024-04-02T14:19:17.623,2024,4
TELANGANA,NIRMAL,NIRMAL,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.",2024-04-03T09:27:12.56,2024,4
TELANGANA,NIRMAL,LAXMANCHANDA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.,2024-04-03T10:12:01.737,2024,4
TELANGANA,NIRMAL,KUNTALA,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,	Plant Protection	,POWDER MILDEW MANAGMENT IN SESAME CROP,"RECOMMENDED TO SPRAY PROPICONAZOLE  (TILT)  200 ML / 200 LITRES OF WATER /ACRE  
ప్రొపికొనజోల్  200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి",2024-04-03T16:15:22.687,2024,4
TELANGANA,NIRMAL,BHAINSA,NA,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	," FARMER ASKED QUERY ON FALL ARMYWORM MANAGEMENT IN MAIZE
","RECOMMENDED TO SPRAY EMAMECTIN BENZOATE (PROCLAIM) 90 GRAMS /200 LITRES OF WATER / ACRE  
ఎమామెక్టిన్  బెంజోయేట్ (ప్రొక్లైమ్) 90 గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
",2024-04-04T15:40:43.15,2024,4
TELANGANA,NIRMAL,TANUR,NA,AGRICULTURE,Millets,Sorghum (Jowar/Great Millet),Market Information,market rate of jowar,"Zaheerabad	04-04-2024	Maximum price Rs.	2,253/quintal, minimum price Rs1,552/quintal",2024-04-05T08:38:52.973,2024,4
TELANGANA,NIRMAL,BHAINSA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది ",2024-04-06T17:54:49.08,2024,4
TELANGANA,NIRMAL,NIRMAL,NA,AGRICULTURE,Others,Others,Government Schemes,TEST CALL,TEST CALL,2024-04-07T06:56:56.607,2024,4
TELANGANA,NIRMAL,TANUR,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది.వర్షం పడే అవకాశం లేదు.,2024-04-07T08:24:15.403,2024,4
TELANGANA,NIRMAL,TANUR,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"ఈరోజు మీ ప్రాంతం లో వాతావరణం ఎండా  మబ్బులుగా ఉంటుంది వర్షము పడే అవకాశం లేదు.
Today Weather in your area is sunny and cloudy with no chance of rain.
",2024-04-07T16:10:12.007,2024,4
