StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weed Management,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.,2024-08-01T06:19:39,2024,8
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,"WEED MANAGEMENT IN PADDY CROP
( POST EMERGENCE )","RECOMMENDED TO SPRAY BISPYRIBAC SODIUM (NOMINI GOLD) 80-100 ML/200 LITRES OF WATER PER ACRE 
బిస్ పైరిబాక్ సోడియం (నామినీ గోల్డ్) 80-100  మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
",2024-08-01T14:45:37.69,2024,8
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Nutrient Management,BORAN DOSAGE INFORMATION ,ఎకరానికి 200 లీటర్ల నీటిలో బోరాన్ 600 గ్రాములు  కలిపి పిచికారీ చేయండి,2024-08-02T10:42:19.82,2024,8
TELANGANA,MAHABUBABAD,DORNAKAL,NA,AGRICULTURE,Millets,Sorghum (Jowar/Great Millet),Market Information,SORGHUM MARKET INFORMATION ?,వరంగల్ మార్కెట్ లో జొన్నలు గరిష్ట ధర: రూ. 3303 /- .,2024-08-02T14:01:55.483,2024,8
TELANGANA,MAHABUBABAD,DORNAKAL,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,"FARMER ASKED QUERY ON DAMPINGOFF MANAGEMENT IN CHILLI NURSERY
","
RECOMMENDED TO SPRAY METALAXYL+MANCOZEB (INDFIL - MATCO) 800 GRAMS / 200 LITRES OF WATER /ACRE
మెటలాక్సీల్ + మాంకోజెబ్ (ఇండీఫైల్  - మాట్కో) 400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి   
",2024-08-02T16:12:14.867,2024,8
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,HORTICULTURE,Vegetables,Chillies,	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA 
 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది",2024-08-03T18:39:53.547,2024,8
TELANGANA,MAHABUBABAD,NARSIMHULAPET,NA,AGRICULTURE,Cereals,Paddy (Dhan),Storage,FARMER ASKED QUERY ON PADDY STORAGE,"డెల్టామెత్రిన్ 2.5% WP మరియు మలాథియాన్ 50% EC వంటి క్రిమిసంహారకాలను గోడలు, నేల, సందులు మరియు ఉపరితల ధాన్యపు సంచులపై సిఫార్సు చేసిన మోతాదులో కౌలింగ్ కీటకాల దశలను చంపడానికి ఉపయోగిస్తారు. మలాథియాన్ 50% ఇసిని 1 : 100 నిష్పత్తిలో నీటితో కరిగించి, 3 లీటర్ల ఎమల్షన్‌ను 100 చ.మీ.లో పిచికారీ చేయాలి. 15 రోజుల విరామం తర్వాత ఉపరితల వైశాల్యం. అదేవిధంగా 40 గ్రా. డెల్టామెత్రిన్ 2.5% WP 1 లీటరు నీటిలో కరిగించబడుతుంది మరియు 3 లీటర్ల ఎమల్షన్ 100 చ.మీ.లో స్ప్రే చేయబడుతుంది. 90 రోజుల తర్వాత ఉపరితల వైశాల్యం.
ఎండిన వేప ఆకులను ఆహార ధాన్యాలతో కలిపి గోనె సంచుల్లో నిల్వ చేసుకోవచ్చు",2024-08-03T18:55:38.617,2024,8
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు",2024-08-04T08:10:41.667,2024,8
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది. ,2024-08-04T15:10:29.787,2024,8
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA 
 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది",2024-08-04T15:13:04.447,2024,8
TELANGANA,MAHABUBABAD,PEDDAVADUGUR,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Water Management	,QUERY ON WEATHER FOR WATER MANAGEMENT IN PADDY, మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది. వర్షం  పడే అవకాశం   లేదు.,2024-08-04T16:41:29.57,2024,8
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.
",2024-08-04T17:35:30.373,2024,8
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Vegetables,Chillies,Fertilizer Use and Availability,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
",2024-08-05T13:20:28.833,2024,8
