StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,HORTICULTURE,Vegetables,Others,Cultural Practices,QUERY ON SOWING TIME OF FRECH BEAN AND SPINE GOURD,"SOWING TIME OF FRECH BEAN IS NOVEMBER - DECEMBER

SOWING TIME OF SPINE GOURD IS JUNE - JULY",2024-05-01T10:07:04.45,2024,5
TELANGANA,MAHABUBABAD,NALLIKUDUR,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.,2024-05-01T14:41:12.003,2024,5
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"
మీ ప్రాంతములో  వాతావరణం ఎండగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.",2024-05-02T09:36:31.647,2024,5
TELANGANA,MAHABUBABAD,MARIPEDA,NA,HORTICULTURE,Vegetables,Others,Cultural Practices,"QUERY ON SOWING TIME OF VEGETABLES TOMATO, CHILLI, BRINJAL AND OKRA","TOMATO - JUNE - JULY
BRINJAL - JULY - AUGUST
CHILLI - JULY - AUGUST
OKRA - JUNE  - JULY",2024-05-02T11:01:08.74,2024,5
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది 
",2024-05-02T18:03:07.523,2024,5
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది 
",2024-05-02T20:53:48.843,2024,5
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది.వర్షం పడే అవకాశం లేదు.,2024-05-02T20:58:13.687,2024,5
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.",2024-05-02T21:13:09.96,2024,5
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Cereals,Paddy (Dhan),Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
",2024-05-02T21:21:14.33,2024,5
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather, మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది. వర్షం  పడే అవకాశం లేదు.,2024-05-03T13:54:29.967,2024,5
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"WEATHER REPORT: 
DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
43°C°
Precipitation: 0%
Humidity: 35%
Wind: 11 km/",2024-05-03T21:25:48.02,2024,5
TELANGANA,MAHABUBABAD,NALLIKUDUR,NA,AGRICULTURE,Millets,Italian Millet (Thenai/Navane/Foxtail Millet/Kang),Sowing Time and Weather,FARMER ASKED QUERY ABOUT SOWING TIME  OF FOXTAIL MILLET?,ఖరిఫ్ లో జూన్ రెండవ వారం నుండి జూలై చివరి వారం వరకు విత్తుకోవచ్చు. ,2024-05-05T10:51:42.603,2024,5
