StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,SANGAREDDY,RAIKODE,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Water Management	,FARMER ASKED QUERY ON WATER MANAGEMENT IN PADDY,"--కోతకు 10 రోజుల ముందుగా నీటిని నెమ్మదిగా తగ్గించి ఆరబెట్టాలి
-వరి కోతకోయటానికి ఇంకా సమయం ఉంటె,వరి పొలం లో కింద పడిన కర్రలను నిలబెట్టుకోండి.
",2024-11-01T10:01:25.113,2024,11
TELANGANA,SANGAREDDY,SADASIVPET,NA,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,"FARMER ASKED QUERY ABOUT CATERPILLAR/BORER MANAGEMENT IN BRINJAL?
",RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  (PROCLAIM) 90 GRAMS /200 LITRES OF WATER / ACRE.+  వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి  ,2024-11-02T11:42:00.42,2024,11
TELANGANA,SANGAREDDY,KANDI,NA,HORTICULTURE,Vegetables,Greater Yam,	Plant Protection	,"FARMER ASKED QUERY ON LEAF SPOTS/BLIGHT MANAGEMENT IN ONION
","RECOMMENDED TO SPRAY CARBENDAZIM +MANCOZEB (SAAF) 400GM / 200 LIT OF WATER /ACRE
కార్బెండజిమ్ + మాంకోజెబ్ (సాఫ్)  400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి.",2024-11-02T16:45:16.26,2024,11
TELANGANA,SANGAREDDY,ZAHIRABAD,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"RECOMMENDED TO SPRAY HEXACONAZOLE (CONTAF , HEXAFINE) 400 ML /200 LITRES OF WATER / ACRE 
హెక్సాకొనజోల్ (కాంటాఫ్) 400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
",2024-11-03T14:19:22.383,2024,11
TELANGANA,SANGAREDDY,PULKAL,NA,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,FARMER ASKED QUERY ON PADDY VARIETIES ,Paddy variety rnr-28361 Ramakrishna (farmer) 9490146142,2024-11-03T15:07:16.7,2024,11
TELANGANA,SANGAREDDY,GUMMADIDALA,NA,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,PM KISAN beneficiary status,"Please contact District nodal Officer of Sangareddy, Ramya AO (Technical) @ 7288894442
దయచేసి సంగారెడ్డి జిల్లా నోడల్ అధికారిణి, రమ్య AO (టెక్నికల్) @ 7288894442",2024-11-05T15:27:09.507,2024,11
TELANGANA,SANGAREDDY,SANGAREDDY,NA,HORTICULTURE,Flowers,Rose,Seeds and Planting Material,HORTICULTURAL OFFICER CONTACT NUMBER ,"SANGAREDDY HORTICULTURAL OFFICER  : 7997725266
",2024-11-11T15:44:21.07,2024,11
TELANGANA,SANGAREDDY,MANOOR,NA,AGRICULTURE,Millets,Kodo Millet (Kodara/Varagu),Seeds,MILLETS RESEARCH STATION NUMBER INFORMATION ,RECOMMENDED TO CONTACT FOLLOWING NUMBER ;  8008404874,2024-11-12T08:31:15.897,2024,11
TELANGANA,SANGAREDDY,MANOOR,NA,AGRICULTURE,Millets,Italian Millet (Thenai/Navane/Foxtail Millet/Kang),Seeds,Availability of Korra seeds,"Advised farmer to contact RARS Palem @ 8008311779 or DAATC Jogipet @ 9989623819 for korra seeds
కొర్ర విత్తనాల కోసం రైతు RARS పాలెం @ 8008311779 లేదా DAATC జోగిపేట @ 9989623819 ను సంప్రదించాలని సూచించారు.",2024-11-12T15:30:39.78,2024,11
TELANGANA,SANGAREDDY,KANGTI,NA,AGRICULTURE,Millets,Sorghum (Jowar/Great Millet),Cultural Practices,SORGHUM SSPACING ?,"విత్తే దూరం :

ఎద్దులు సహాయంతో నడిచే గొర్రుతో వరుసల మద్య 45 సెం.మీ మరియు వరుసల్లో మొక్కల మద్య 12-15 సెం.మీ. దూరంలో విత్తాలి. ఎకరాకు 60,000-74,000 మొక్కలు ఉండాలి.

",2024-11-14T10:10:25.453,2024,11
TELANGANA,SANGAREDDY,SANGAREDDY,NA,AGRICULTURE,Others,Others,Government Schemes,pm kisan e kyc issue,You have not completed Ekyc. Please complete the Ekyc process.,2024-11-14T14:49:35.087,2024,11
TELANGANA,SANGAREDDY,SANGAREDDY,NA,AGRICULTURE,Others,Others,Government Schemes,pm kisan issue ,3 Sangareddy Ramya AO(Technical) 7288894442,2024-11-14T14:53:38.44,2024,11
TELANGANA,SANGAREDDY,MUNPALLE,NA,AGRICULTURE,Oilseeds,Safflower (kusum/kardi),Cultural Practices,QUERY ON WEATHER FOR SOWING OF SAFFLOWER,"ప్రస్తుత వాతావరణం 29 డిగ్రీల సెల్సియస్, ఎక్కువగా మేఘావృతమైన పరిస్థితులు ఉన్నాయి. 20 శాతం వర్షపాతం, 56 శాతం తేమ మరియు గంటకు 11 కిమీ వేగంతో గాలులు వీచే అవకాశం ఉంది.",2024-11-14T16:37:14.423,2024,11
TELANGANA,SANGAREDDY,SADASIVPET,NA,HORTICULTURE,Vegetables,Brinjal,Fertilizer Use and Availability,"FARMER ASKED QUERY ON FERTILIZER MANAGEMENT IN BRINJAL
","BRINJAL :
ఆఖరి దుక్కిలో : పశువుల ఎరువు : 6 - 8 ట / ఏ
                             సింగిల్ సూపర్ ఫాస్ఫేట్ : 150 కే/ఏ
                                     మ్యూరేట్ ఆఫ్ పొటాష్  : 40 కే/ఏ 
                          యూరియా : 28 -  30 కే/ఏ (30 , 60 , 75 రోజులకు)
. సంకర జాతి రకాలకు ఈ ఎరువుల మోతాదు 50%అధికం చేసి వేయాల్సి ఉంటుంది
",2024-11-15T10:23:29.6,2024,11
