StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,NALGONDA,DINDI (GUNDLAPALLI),NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Farmer asked to spray fertilizer and pesticide at a time?,General information,2025-01-01T10:15:45.26,2025,1
TELANGANA,NALGONDA,KATTANGOOR,NA,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,QUERY ON FERTILIZER APPLICATION IN PADDY,RECOMMENDED TO APPLY 15 KG UREA PER ACRE,2025-01-05T12:15:57.85,2025,1
TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,NA,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,PADDY ZINC DEFICIENCY MANAGEMENT ?,చమత్కర్ జింక్  గ్రాములు / 10 లీటర్ల నీటిలో కలిపి పిచికారీ చేసుకోవాలి.,2025-01-06T13:56:39.887,2025,1
TELANGANA,NALGONDA,VEMULA PALLY,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,STEM BORER MANAGEMENT IN PADDY ,"CORABAN/PREDATOR) 500 ML/200 LITRES OF WATER క్లోరోఫైరిఫాస్ (కోరబాన్) 500 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 

RECOMMENDED TO SPRAY ACEPHATE (ARTHIN) 300 GRAMS/ 200 LITRES OF WATER / ACRE 
అసిపేట్ (ఆర్తిన్) 300 గ్రాములు / 200 లీటర్ల నీటికి కలిపి ఒక ఎకరాకు పిచికారి చేయాలి",2025-01-06T16:43:33.517,2025,1
TELANGANA,NALGONDA,MUNUGODE,NA,AGRICULTURE,Millets,Maize (Makka),Nutrient Management,maize nutrient management ,recommended to spray 19-19-19   1 kg/ acre in 200 liter of water ,2025-01-07T16:02:20.807,2025,1
TELANGANA,NALGONDA,MIRYALAGUDA,NA,AGRICULTURE,Others,Others,Government Schemes,pm kisan information ,contact your area mandala agriculture officer  ,2025-01-07T19:48:24.167,2025,1
TELANGANA,NALGONDA,GURRAMPODE,NA,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),Weed Management,WEED MANAGEMENT IN GREEN GRAM CROP ,"RECOMMENDED TO SPRAY PROPAQUIZAFOP (AZIL) 250 ML/200 LITRES OF WATER /ACRE
 ప్రోపక్విజఫాప్(అజిల్ ) 250 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి.
RECOMMENDED TO SPRAY QUIZALOFOP-P-ETHYL (TARGA SUPER) 400 ML/200 LITRES OF WATER
క్విజలోఫాప్-పి -ఇథైల్ 400  మిల్లి లీటర్లు (టర్గా సూపర్)/200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
",2025-01-08T08:09:18.283,2025,1
TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Fertilizer Use and Availability,FARMER ASKED QUERY ON FERTLIZERS APPLICATION IN GROUNDNUT?,ఎకరానికి 200 కిలోల జిప్సమ్ ను పూత దశ పూర్తియి ఊడలు దిగే సమయంలో మొదళ్ళ దగ్గర వేసి మట్టిని ఎగదోయాలి. ,2025-01-08T11:07:00.56,2025,1
TELANGANA,NALGONDA,VEMULA PALLY,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,"FARMER ASKED QUERY ON STEM BORER MANAGEMENT IN PADDY 
","RECOMMENDED TO SPRAY CARTAP HYDROCHLORIDE (CALDAN,PADAN) 400 GRAMS/ 200 LITRES OF WATER / ACRE 
కార్టాప్ హైడ్రోక్లోరైడ్ (కాల్డన్,పాడన్)400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి",2025-01-08T15:11:39.87,2025,1
TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,no rain your area and cloudy weather occur ,2025-01-09T16:19:52.1,2025,1
TELANGANA,NALGONDA,CHINTALAPUDI,NA,AGRICULTURE,Others,Others,Market Information,Farmer asked query on Mandi details,"MARKET INFORMATION OF COTTON
MAXIMUM PRICE - 7100 /- Rs/ QUINTAL  
MINIMUM PRICE -  6900 /- Rs/ QUINTAL       
MODEL PRICE -  7000 /- Rs/ QUINTAL ",2025-01-10T07:39:28.33,2025,1
TELANGANA,NALGONDA,MIRYALAGUDA,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,FARMER ASKED QUERY ON STEMBORER MANAGEMENT IN PADDY?,"RECOMMENDED TO APPLY CARBOFURAN 3G GRANULES 8-10 KG/ACRE
(OR)
కార్టాప్ హైడ్రోక్లోరైడ్ 4 జి గుళికలు   8 కిలోలు  / ఒక ఎకరాకు వేసుకోవాలి ",2025-01-10T09:00:42.223,2025,1
TELANGANA,NALGONDA,KANAGAL,NA,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,"FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN PADDY 
","RECOMMENDED TO SPRAY NPK 19-19-19 MIXTURE 5 GRAMS/ LITRE OF WATER 
RECOMMENDED TO SPRAY AGROMINIMAX 600 GRAMS / 200 LITER OF WATER ",2025-01-10T13:42:15.84,2025,1
TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,NA,HORTICULTURE,Vegetables,Chillies,Nutrient Management,NUTRIENT MANAGEMENT IN CHILIN CROP ,"RECOMMENDED TO SPRAY BORON 600 GRAMS IN 200 LITER WATER PER ACRE
ఎకరానికి 200 లీటర్ల నీటిలో బోరాన్ 600 గ్రాములు  కలిపి పిచికారీ చేయండి
RECOMMENDED TO SPRAY 13-0-45 1 KG IN 200 LITER WATER PER ACRE
ఎకరానికి 200 లీటర్ల నీటిలో 13-0-45 1 కేజీ కలిపి పిచికారీ చేయండి",2025-01-10T14:27:51.28,2025,1
TELANGANA,NALGONDA,GURRAMPODE,NA,HORTICULTURE,Vegetables,Drum Stick,Seeds and Planting Material,DRUMSTICK PLANTING MATERIAL AVAILABILITY ?,హార్టికల్చర్   ఆఫీసర్ ని   సంప్రదించండి - 8977714153 .,2025-01-10T15:20:36.72,2025,1
TELANGANA,NALGONDA,GURRAMPODE,NA,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,nutrient management in paddy crop -,"Recommendations of Chamatkar(12% chelated zinc )
*Soil application: Mix 500g of Chamatkar with 10 kg soil and apply uniformly on one acre.
Foliar Applicaton: Dissolve 100 g of Chamatkar in 150-200 litres of water and spray over one acre of standing crop.",2025-01-10T19:23:36.687,2025,1
TELANGANA,NALGONDA,NIDAMANOOR,NA,HORTICULTURE,Vegetables,Brinjal,Seeds and Planting Material,Sowing time of Brinjal?,January last week to feb  first week,2025-01-11T09:58:50.843,2025,1
TELANGANA,NALGONDA,KANAGAL,NA,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,"FARMER ASKED QUERY ABOUT WEED MANAGEMENT IN PADDY
",కలుపు లేకుండా కలుపు మందు వాడకండి సార్ ,2025-01-12T13:29:53.747,2025,1
TELANGANA,NALGONDA,DEVARAKONDA,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Fertilizer Use and Availability,QUERY ON GYPSUM APPLICATION IN GROUNDNUT,"ఎకరానికి 200 కిలోల జిప్సమ్ ను పూత దశ పూర్తియి ఊడలు దిగే సమయంలో మొదళ్ళ దగ్గర వేసి మట్టిని ఎగదోయాలి. విత్తిని 45 రోజుల తర్వాత ఎట్టువంటి అంతర సేద్యం చేయరాదు.

",2025-01-14T11:07:09.303,2025,1
TELANGANA,NALGONDA,MIRYALAGUDA,NA,HORTICULTURE,Fruits,Papaya,Cultural Practices,"FARMER ASKED QUERY ABOUT PAPAYA PACKAGE OF PRACTICES
","పాపయ రకాలు : రెడ్ లేడీ 786  ,సన్ రైజ్ సోలో , సూర్య ,CO-3,CO-4
విత్తడం
ఒక హెక్టారు నాటడానికి 500 గ్రాముల విత్తనాలు అవసరం. జూన్-సెప్టెంబర్ మొక్కలు నాటడానికి ఉత్తమ సీజన్.  వర్షాకాలంలో నాటడం మానుకోండి.

నర్సరీ
విత్తనాలను క్యాప్టాన్ @ 2 గ్రా/కేజీ విత్తనాలతో శుద్ధి చేయండి. ఒక సెంటీమీటర్ మించకుండా లోతులో నాలుగు విత్తనాలను పాలిథిన్ సంచుల్లో వేయండి.  పాలిథిన్ సంచులను పాక్షిక నీడలో ఉంచండి. రోజ్ క్యాన్ సహాయంతో నీరు త్రాగుట చేయవచ్చు. సుమారు 60 రోజుల్లో మొక్కలు సిద్ధంగా ఉంటాయి. 

నాటడం
45 సెం.మీ x 45 సెం.మీ x 45 సెం.మీ సైజులో గుంతల్లో 1.8 మీటర్ల ఎత్తులో మొక్కలు నాటండి.

నీటిపారుదల
నాటిన తర్వాత సమృద్ధిగా నీరు పెట్టండి. వారానికి ఒకసారి పొలానికి నీరు పెట్టండి.


బిందు సేద్యం
ఎరువుల దరఖాస్తు
మొక్కలకు 10 కిలోల FYMను బేసల్‌గా మరియు ప్రతి మొక్కకు 50 గ్రా N, P మరియు K చొప్పున నాటిన మూడవ నెల నుండి రెండు నెలల వ్యవధిలో అవాంఛిత లైంగిక రూపాలను తొలగించిన తర్వాత వేయండి. నాటిన ఆరు నెలల తర్వాత మళ్లీ నాటేటప్పుడు అజోస్పైరిల్లమ్ మరియు ఫాస్ఫోబాక్టీరియం ఒక్కొక్కటి 20 గ్రా.",2025-01-15T08:01:31.14,2025,1
TELANGANA,NALGONDA,THIPPARTHI,NA,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,WEED MANAGEMENT IN PADDY ,"RECOMMENDED TO SPRAY 2, 4 D SODIUM SALT 500  GRAMS /200 LITRES OF WATER PER ACRE  
2,4 డి సోడియం సాల్ట్ 500 గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరా కు పిచికారి చేయాలి
",2025-01-15T15:39:07.97,2025,1
TELANGANA,NALGONDA,TRIPURARAM,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,MEALY BUG MANAGEMENT IN PADDY?,డైమిథోయేట్ (రోగర్) 400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి  కలిపి ఒక ఎకరాకు పిచికారి చేయాలి.,2025-01-17T11:36:49.617,2025,1
TELANGANA,NALGONDA,NAKREKAL,NA,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,QUERY ON FERTILIZER APPLICATION IN PADDY,RECOMMENDED TO APPLY 25 KG OF UREA PER ACRE,2025-01-17T16:14:21.82,2025,1
TELANGANA,NALGONDA,ANUMULA,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,QUERY ON LEAF FOLDER MANAGEMENT IN PADDY,"RECOMMENDED TO SPRAY CARTAP HYDROCHLORIDE (CALDAN,PADAN) 400 GRAMS/ 200 LITRES OF WATER / ACRE 
కార్టాప్ హైడ్రోక్లోరైడ్ (కాల్డన్,పాడన్)400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి",2025-01-17T19:02:49.043,2025,1
TELANGANA,NALGONDA,ANUMULA,NA,HORTICULTURE,Fruits,Mosambi,Nutrient Management,QUERY ON NUTRIENT MANAGEMENT IN MOSAMBI,పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు +  అగ్రోమిం మాక్స్ @ 3 గ్రాములు లీటరు నీటికి లలిపి  పిచికారీ చేయండి.,2025-01-17T19:03:56.143,2025,1
TELANGANA,NALGONDA,NALGONDA,NA,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,zinc deficiency in paddy management , జింక్ సల్ఫేట్  2 గ్రాములు  / లీటర్ నీటిలో కలిపి పిచికారీ చేయాలి ,2025-01-18T08:01:53.697,2025,1
TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,"Farmer asked that, application of both insecticide and fertilizer at a time?",Not recommended to spray both insecticide and fertilizer at a time.,2025-01-18T13:19:11.223,2025,1
TELANGANA,NALGONDA,THIPPARTHI,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,FARMER ASKED QUERY ON DOSAGE OF BIFENTRIN 10% EC IN PADDY," Bifenthrin 10% EC
Dose: 200 ml Per Acre
Target Pest : Stem Borer, Leaf Folder & Green Leaf hopper in Paddy",2025-01-18T13:52:47.8,2025,1
