StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,WARANGAL,DHARMASAGAR,NA,HORTICULTURE,Vegetables,Ridge Gourd,	Plant Protection	,BORERS MANAGEMENT IN  RIDGE GOURD CROP ,"RECOMMENDED TO SPRAY EMAMECTIN BENZOATE (PROCLAIM) 90 GRAMS /150 LITRES OF WATER / ACRE  
ఎమామెక్టిన్  బెంజోయేట్ (ప్రొక్లైమ్) 90 గ్రాములు /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
",2025-03-01T09:54:12.72,2025,3
TELANGANA,MAHABOOBNAGAR,UTKOOR,NA,HORTICULTURE,Flowers,Jasmine,	Plant Protection	,"FARMER ASKED QUERY ON SUCKINGPEST MANAGEMENT IN JASMINE
","RECOMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  /200 LITRES OF WATER /ACRE 
అసిటామిప్రైడ్   40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి .
",2025-03-01T07:15:01.4,2025,3
TELANGANA,MAHABOOBNAGAR,MAHABOOBNAGAR RURAL,NA,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),Sowing Time and Weather,GREEN GRAM SOWINMG TIME ?,వేసవి లో పెసర మరియు మినుము పంటలను ఫెబ్రవరి నుండి మార్చ్ 15 వరకు విత్తుకోవచ్చును.,2025-03-01T14:38:45.71,2025,3
TELANGANA,NALGONDA,PEDDAVURA,NA,HORTICULTURE,Vegetables,Cucumber,Cultural Practices,SOWING TIME OF CUCUMBER ,Time of sowing: It is sown in the month of February-March. Spacing: Sow two seeds per place of bed which is 2.5m wide and use spacing of 60cm between seeds.,2025-03-01T08:11:04.907,2025,3
TELANGANA,NALGONDA,GURRAMPODE,NA,AGRICULTURE,Others,Others,Government Schemes,Abandoned out call from kisan call centre,"ప్రియమైన రైతు మీరు కిసాన్ కాల్ సెంటర్ కాల్ చేయడం గమనించడం జరిగింది. అందుకే మీకు కాల్ చేయడం జరిగింది,మీకు ఏదైనా సమస్య ఉంటే మల్లి తిరిగి 1800-180-1551 కి కాల్ చేయండి.
",2025-03-01T13:39:54.17,2025,3
TELANGANA,NALGONDA,MARRIGUDA,NA,HORTICULTURE,Vegetables,Watermelon,Nutrient Management,WATER MELON NUTRIENT MANAGEMENT ?,19-19-19 @ 5 గ్రాములు +  అగ్రోమిం మాక్స్ @ 3 గ్రాములు లీటరు నీటికి కలిపి ఎకరాకు పిచికారీ చేయండి. ,2025-03-01T17:52:09.097,2025,3
TELANGANA,MEDAK,KOWDIPALLI,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI STATUS
","Aadhaar Bank Account Seeding Status:-  No
",2025-03-01T10:29:17.1,2025,3
TELANGANA,MEDAK,KOWDIPALLI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI SCHEME EKYC ISSUE?,RECOMMENDED TO CONTACT MAO.,2025-03-01T12:45:07.683,2025,3
TELANGANA,MEDAK,SHANKARAMPET[R],NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy,RECOMMENDED TO SPRAY CHLORANTRANILIPROLE (CORAGIN) 60 ML/200 LITRES OF WATER / ACRE    క్లోరాంత్రనిలిప్రోల్  60 మిల్లి లీటర్లు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి .,2025-03-01T13:51:42.71,2025,3
TELANGANA,NIZAMABAD,DICHPALLE,NA,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,LEAF BLIGHT MANAGEMENT IN BRINJAL CROP,"RECOMMENDED TO SPRAY METALAXYL+MANCOZEB (INDFIL - MATCO) 800 GRAMS / 200 LITRES OF WATER /ACRE
మెటలాక్సీల్ + మాంకోజెబ్ (ఇండీఫైల్  - మాట్కో) 400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి   
",2025-03-01T10:25:44.28,2025,3
