StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,VIZIANAGARM,0   ,KHARIF,AGRICULTURE,0,1137,6,ASKED ABOUT THE MARKET INFEMATION,GIVEN INFERMATION AS PER THE DATA,2010-04-27T15:47:00,2010,4
ANDHRA PRADESH,EAST GODAVARI,0   ,KHARIF,AGRICULTURE,0,1137,Weather,ASKED ABOUT THE WEATHER REPORT,GIVEN INFERMATION ASPER THE DATA,2010-04-27T17:14:00,2010,4
ANDHRA PRADESH,ANANTPUR,0   ,NA,AGRICULTURE,0,Others,0,ASKED ABOUT SUBSIDY,NA,2010-04-27T17:29:00,2010,4
ANDHRA PRADESH,ANANTPUR,0   ,NA,HORTICULTURE,0,1279,0,ASKED ABOUT THE CONTROL OF BRINJAL SHOOT BORER,ENDOSULFON 1.6 ML  /LITRE,2010-04-28T07:34:00,2010,4
ANDHRA PRADESH,ANANTPUR,0   ,NA,AGRICULTURE,0,Others,0,ASKED ABOUT THE RAINS,GIVEN AS PER THE Data,2010-04-28T10:55:00,2010,4
ANDHRA PRADESH,WEST GODAVARI,0   ,KHARIF,AGRICULTURE,0,Groundnut (pea nut/mung phalli),	Water Management	,ASKED ABOUT THE WATER MANAGEMENT IN GROUND NUT,"RECOMMENDED TO IRRIGATE 8TO 9TIMES IN LIGHT SOILS, STOP THE WATERING 15 DAYS BEFORE THE HARVESTING",2010-04-28T16:14:00,2010,4
ANDHRA PRADESH,SRIKAKULAM,0   ,NA,AGRICULTURE,0,1137,0,ASKED ABOUT THE CONTROL OF STEM BORER,MONOCROTOPHOS 1.6 ML /LITRE,2010-04-24T18:30:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,NA,AGRICULTURE,0,Groundnut (pea nut/mung phalli),0,ASKED ABOUT LEAF FOLDER DAMAGE,RECOMMENDED TO SPRY QINOLPHOS 2ML/LIT,2010-04-25T10:03:00,2010,4
ANDHRA PRADESH,Y S R ,0   ,NA,AGRICULTURE,0,Groundnut (pea nut/mung phalli),0,ASKED ABOUT MARKET RATS,INFORMATION GIVEN AS PER DATA,2010-04-23T09:14:00,2010,4
ANDHRA PRADESH,KRISHNA,0   ,KHARIF,HORTICULTURE,0,2113,75,ASKED ABOUT THE CONTROL OF ANTRAKARNAS,RECOMMENDED TO SPERAY CAPAROXY CLORIDE 3Gr/1 LIT WATER,2010-04-26T16:09:00,2010,4
ANDHRA PRADESH,WEST GODAVARI,0   ,NA,AGRICULTURE,0,1075,6,AKED ABOUT MARKET INFORMATION,GIVEN INFORMATION AS PER THE DATA,2010-04-26T16:09:00,2010,4
ANDHRA PRADESH,SRIKAKULAM,0   ,KHARIF,AGRICULTURE,0,Black Gram (urd bean),3,ASKED ABOUT THE CONTROL OF LEAF HOPPER,RECOMMENDED TO SPERAY ENDOSALPHAN 2Gr/1 LIT WATER,2010-04-26T16:09:00,2010,4
ANDHRA PRADESH,KRISHNA,0   ,KHARIF,HORTICULTURE,0,1279,99,ASKED ABOUT THE CONTROL OF FLOWER DROPING,RECOMMENDED TO SPERAY PLANOPIX  2.5Gr/10 LIT  WATER,2010-04-26T16:09:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,KHARIF,HORTICULTURE,0,1280,76,ASKED ABOUT THE CONTROL OF APHIDS,RECOMMENDED TO SPEREY MITHILDEMITAN 2ML/1 LIT WATER,2010-04-20T11:16:00,2010,4
ANDHRA PRADESH,KRISHNA,0   ,KHARIF,HORTICULTURE,0,Watermelon,92,ASKED ABOUT THE SEED RATE,RECOMMENDED TO 500-600 Gr/1 ACER,2010-04-20T11:16:00,2010,4
ANDHRA PRADESH,PRAKASAM,0   ,KHARIF,AGRICULTURE,0,2767,22,ASKED ABOUT WEED MANAGEMENT,PROVIDED DETAILS AS PER DATA,2010-04-20T14:09:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,NA,AGRICULTURE,0,Others,0,ASKED ABOUT SUITABLE CROPS FOR SUMMER,INFORMATION GIVEN AS PER DATA,2010-04-20T14:40:00,2010,4
ANDHRA PRADESH,GUNTUR,0   ,NA,ANIMAL HUSBANDRY,0,Others,0,ASKED ABOUT POULTRY,INFORMATION GIVEN AS PER DATA,2010-04-20T17:09:00,2010,4
ANDHRA PRADESH,KRISHNA,0   ,NA,AGRICULTURE,0,1137,0,asked about new varieties,information given as per data,2010-04-20T18:00:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,KHARIF,HORTICULTURE,0,2108,78,ASKED ABOUT THE VARIETIES,RECOMMENDED TO SOW PUSA EARLY DWARFF,2010-04-26T11:30:00,2010,4
ANDHRA PRADESH,GUNTUR,0   ,KHARIF,HORTICULTURE,0,1280,Market Information,ASKED ABOUT THE MARKET RATES,GIVEN INFERMATION AS PER THE DATA,2010-04-26T11:30:00,2010,4
ANDHRA PRADESH,KRISHNA,0   ,NA,AGRICULTURE,0,1137,0,ASKED ABOUT THE SEED TREATMENT,2.5 GM  /KG SEED,2010-04-26T12:13:00,2010,4
ANDHRA PRADESH,NELLORE,0   ,KHARIF,AGRICULTURE,0,1137,2,ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDED TO SPEREY EDIFENPHAS 1ML/1 LIT WATER,2010-04-23T17:38:00,2010,4
ANDHRA PRADESH,KURNOOL,0   ,NA,AGRICULTURE,0,1075,0,ASKED ABOUT THE MARKET RATES,GIVEN AS PER DATA,2010-04-22T13:34:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,KHARIF,AGRICULTURE,0,Groundnut (pea nut/mung phalli),3,ASKED ABOUT THE CONTROL OF GRAM CATERPILLERS,NA,2010-04-22T15:03:00,2010,4
ANDHRA PRADESH,VISAKHAPATNAM,0   ,KHARIF,AGRICULTURE,0,Sunnhemp (Patua),2,ASKED ABOUT THE CONTROL OF BLACK RUST,RECOMMENDED TO SPRAY PROPICONAZOLE 0.5ML/LIT,2010-04-24T06:34:00,2010,4
ANDHRA PRADESH,GUNTUR,0   ,KHARIF,AGRICULTURE,0,1137,Weather,ASKED ABOUT THE WEATHER REPORT,GIVEN INFERMATION AS PER THE DATA,2010-04-24T09:14:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,KHARIF,HORTICULTURE,0,1268,76,ASKED ABOUT THE CONTROL OF TERMITES IN MANGO,RECOMMENDED TO APPLY LINDEN POWDER 600-700GM MIXED WITH SOIL,2010-04-24T11:16:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,KHARIF,AGRICULTURE,0,Groundnut (pea nut/mung phalli),6,ASKED ABOUT MARKET INFORMATION,NA,2010-04-30T14:18:00,2010,4
ANDHRA PRADESH,ANANTPUR,0   ,KHARIF,HORTICULTURE,0,2113,74,ASKED ABOUT THE PLANTING TIME,RECOMMENDED TO SOW IN JUNE-JULY,2010-04-30T14:31:00,2010,4
ANDHRA PRADESH,ANANTPUR,0   ,KHARIF,AGRICULTURE,0,1137,Weather,ASKED ABOUT THE WEATHER REPORT,GIVEN INFERMATION AS PER THE DATA,2010-04-29T08:01:00,2010,4
ANDHRA PRADESH,NELLORE,0   ,NA,AGRICULTURE,0,1075,0,ASKED ABOUT THE VARIETIES,"DHM 103 , DHM 106 ,",2010-04-29T14:29:00,2010,4
ANDHRA PRADESH,VISAKHAPATNAM,0   ,KHARIF,AGRICULTURE,0,Sunnhemp (Patua),6,ASKED ABOUT THE MARKET INFORMATION,GIVEN INFORMATION AS PER THE DATA,2010-04-29T15:44:00,2010,4
ANDHRA PRADESH,VIZIANAGARM,0   ,KHARIF,AGRICULTURE,0,1137,22,ASKED ABOUT THE WEED CONTROL,NA,2010-04-29T15:44:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,KHARIF,AGRICULTURE,0,Groundnut (pea nut/mung phalli),18,ASKED ABOUT THE SEED TREATMENT IN GROUND NUT,RECOMMENDED TO MIX MANCOZEB 3GM WITH 1KG SEED,2010-04-30T15:36:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,KHARIF,HORTICULTURE,0,1268,99,ASKED ABOUT THE CONTROL OF FLOWER DROPING,RECOMMENDED TO SPRAY PLANOFIX 2.5ML/10LIT,2010-04-30T15:36:00,2010,4
ANDHRA PRADESH,VIZIANAGARM,0   ,NA,AGRICULTURE,0,Others,Weather,ASKED ABOUT THE WEATHER INFORMATION,GIVEN INFORMATION AS PER THE DATA,2010-04-30T05:47:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,KHARIF,HORTICULTURE,0,1268,76,ASKED ABOUT THE CONTROL OF STONE WEEVIL,RECOMMENDED TO SPERAY PENTHIYAN 1ML/1 LIT WATER,2010-04-30T05:47:00,2010,4
ANDHRA PRADESH,SRIKAKULAM,0   ,KHARIF,AGRICULTURE,0,Cotton (Kapas),6,ASKED ABOUT  MARKET INFORMATION,PROVIDED DETAILS AS PER DATA,2010-04-09T15:16:00,2010,4
ANDHRA PRADESH,WEST GODAVARI,0   ,KHARIF,HORTICULTURE,0,Coconut,78,ASKED ABOUT THE VARIETIES,"RECOMMENDED   GOUTHAMI GANGA,GODHAVARI GANGA",2010-04-01T11:10:00,2010,4
ANDHRA PRADESH,WEST GODAVARI,0   ,KHARIF,HORTICULTURE,0,2014,75,ASKED ABOUT CONTROL OF GANODARMA,RECOMMENDED SPEREY KARISKIN 100ML/1 LIT WATER,2010-04-01T05:39:00,2010,4
ANDHRA PRADESH,CHITTOOR,0   ,KHARIF,HORTICULTURE,0,1282,78,ASKED ABOUT THE VARIETIES,GIVEN INFORMATION AS PER DATA,2010-04-01T05:39:00,2010,4
