StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,ANANTPUR,0   ,NA,HORTICULTURE,0,1279,Agriculture Mechanization,WILT,COC,2010-12-08T06:30:00,2010,12
ANDHRA PRADESH,ANANTPUR,0   ,NA,AGRICULTURE,0,Groundnut (pea nut/mung phalli),Agriculture Mechanization,FERILIZER APPLICATION,GYPSUM,2010-12-08T06:30:00,2010,12
ANDHRA PRADESH,WEST GODAVARI,0   ,NA,HORTICULTURE,0,1280,Agriculture Mechanization,LODGING.......,RECOMENDED INFORMATION HAS GIVEN,2010-12-08T06:30:00,2010,12
ANDHRA PRADESH,KRISHNA,0   ,JAYAD,AGRICULTURE,0,Others,5,BENGALGRAM VARIETIES,L.B.E.G-7.K.A.K-2,2010-12-08T11:36:00,2010,12
ANDHRA PRADESH,GUNTUR,0   ,JAYAD,AGRICULTURE,0,1137,6,ASKED ABOUT THE MARKET RATES,GIVEN INFERMATION AS PER THE DATA,2010-12-08T19:22:00,2010,12
ANDHRA PRADESH,PRAKASAM,0   ,NA,AGRICULTURE,0,Others,Agriculture Mechanization,asked for the controll of maruca sataiva,recomended to spray dichlorovas 1ml/l,2010-12-09T09:57:00,2010,12
ANDHRA PRADESH,GUNTUR,0   ,JAYAD,HORTICULTURE,0,Onion,Agriculture Mechanization,ONION CULTIVATION INFORMATION,GIVEN INFORMATION as PER THE DATA,2010-12-15T14:43:00,2010,12
ANDHRA PRADESH,KRISHNA,0   ,JAYAD,AGRICULTURE,0,Groundnut (pea nut/mung phalli),3,CONTROL OF TOBACO CATERPILLAR GROUNDNUT,APPLYING 5kg PAEDY HUSK+1/2 kg JAGGARI+500ml  CHLOROPYRIPHOS,2010-12-15T14:43:00,2010,12
ANDHRA PRADESH,PRAKASAM,0   ,JAYAD,HORTICULTURE,0,Carrot,74,DATA OF SOWING IN CARROT,GIVEN INFORMATION as PER THE DATA,2010-12-15T14:43:00,2010,12
ANDHRA PRADESH,PRAKASAM,0   ,JAYAD,AGRICULTURE,0,1137,2,CONTROL OF RICE BLAST,SPRAYING TRYSICHLOJOL 2ml/1 lit WATER,2010-12-15T14:43:00,2010,12
ANDHRA PRADESH,CHITTOOR,0   ,NA,AGRICULTURE,0,1075,Agriculture Mechanization,verities,"DHM 103,DHM 105",2010-12-15T15:12:00,2010,12
ANDHRA PRADESH,ANANTPUR,0   ,NA,HORTICULTURE,0,Lilliums,Agriculture Mechanization,FLOWER PRODUCTION,PLANOFIX 2.5 ML / 10 LIT OF WATER,2010-12-15T15:12:00,2010,12
ANDHRA PRADESH,PRAKASAM,0   ,NA,AGRICULTURE,0,1137,Agriculture Mechanization,neck blast,"beem,",2010-12-14T15:41:00,2010,12
ANDHRA PRADESH,Y S R ,0   ,NA,AGRICULTURE,0,1818,Agriculture Mechanization,rice verities,"1001, 1010. tellahamsa",2010-12-06T12:14:00,2010,12
ANDHRA PRADESH,CHITTOOR,0   ,JAYAD,AGRICULTURE,0,Sunnhemp (Patua),3,CONTROL OF MITES IN SUGARCANE,SPRAYING OF DICOFOL 3ml/1 lit WATER,2010-12-06T16:45:00,2010,12
ANDHRA PRADESH,KRISHNA,0   ,JAYAD,HORTICULTURE,0,1280,Agriculture Mechanization,CONTROL OF THRIPS IN CHILLI,SPRAYING KARBALRIL 3gr/1 lit WATER.,2010-12-06T16:45:00,2010,12
ANDHRA PRADESH,Y S R ,0   ,JAYAD,AGRICULTURE,0,Others,Weather,WEATHER REPORT,GIVEN INFORMATION as PER THE DATA,2010-12-06T16:45:00,2010,12
ANDHRA PRADESH,CHITTOOR,0   ,JAYAD,AGRICULTURE,0,Black Gram (urd bean),26,CONTROL OF FLOWER DROPING IN BLACK GRAM,SPRAYING PLANOPIX 2.5ml/10 lit WATER,2010-12-06T16:45:00,2010,12
ANDHRA PRADESH,KURNOOL,0   ,JAYAD,AGRICULTURE,0,Sunflower (suryamukhi),Agriculture Mechanization,VARIETIES OF SUNFLOWER,"N.D.S.H-1,MODAN,D.R.S.F-108",2010-12-19T11:14:00,2010,12
