StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,PRAKASAM,0   ,NA,HORTICULTURE,0,1280,76,fruit fly damage in chilli,spraying of choloripyriphos 500 ml per one acare,2011-02-04T14:40:00,2011,2
ANDHRA PRADESH,WEST GODAVARI,0   ,NA,AGRICULTURE,0,1137,Fertilizer Use and Availability,FERTILIZER APPLICATION,RECOMMANDED DOSAGE HAS GIVEN,2011-02-04T16:05:00,2011,2
ANDHRA PRADESH,NELLORE,0   ,JAYAD,AGRICULTURE,0,1137,29,control of rats in rice,NA,2011-02-05T06:26:00,2011,2
ANDHRA PRADESH,KURNOOL,0   ,NA,HORTICULTURE,0,Onion,75,LEAF SPOT DISEASE,SPRAYING OF MACOZEB 3.0 G PER ONE LIT OF WATER,2011-02-05T07:36:00,2011,2
ANDHRA PRADESH,PRAKASAM,0   ,NA,HORTICULTURE,0,Citrus,76,meeli bug damage in citrus,spraying of mithylparathion 2.0 ml per one lit of water,2011-02-05T08:05:00,2011,2
ANDHRA PRADESH,PRAKASAM,0   ,NA,AGRICULTURE,0,1075,22,weed control in maize,spraying od atrazine 1200 g per one lit of water,2011-02-05T08:05:00,2011,2
ANDHRA PRADESH,KURNOOL,0   ,KHARIF,HORTICULTURE,0,1280,99,ASKED ABOUT THE CONTROL OF FLOWER DROPING,RECOMMENDED TO SPRAY PLANOFIX 2.5ML/10LIT,2011-02-06T17:32:00,2011,2
ANDHRA PRADESH,NELLORE,0   ,NA,HORTICULTURE,0,1280,Agriculture Mechanization,ASKED ABOUT THE MANAGEMENT,GIVEN INFORMATION AS PER THE DATA,2011-02-03T15:04:00,2011,2
ANDHRA PRADESH,GUNTUR,0   ,JAYAD,825,0,2825,	Others	,connect  to leval-2,given information as per  the data,2011-02-03T15:21:00,2011,2
ANDHRA PRADESH,KRISHNA,0   ,JAYAD,AGRICULTURE,0,1137,2,control of rice blast,spraying trysichlojol 2ml/1 lit water,2011-02-03T15:21:00,2011,2
ANDHRA PRADESH,ANANTPUR,0   ,JAYAD,HORTICULTURE,0,Curry Leaf,95,control of weed  in  curcurbit,sparying pendimithalin 1lit/ 1 acer,2011-02-03T15:21:00,2011,2
ANDHRA PRADESH,WEST GODAVARI,0   ,JAYAD,AGRICULTURE,0,1137,Fertilizer Use and Availability,control of znso4 in rice,spraying znso4 2gr/1 lit water,2011-02-03T15:21:00,2011,2
ANDHRA PRADESH,EAST GODAVARI,0   ,JAYAD,AGRICULTURE,0,1075,22,control of weed in maize,spraying atrajin 800gr/200 lit water,2011-02-04T06:29:00,2011,2
ANDHRA PRADESH,GUNTUR,0   ,JAYAD,ANIMAL HUSBANDRY,0,Others,45,connect  to leva-2,given information as per  the data,2011-02-04T06:29:00,2011,2
