StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,VISAKHAPATNAM,0   ,NA,AGRICULTURE,Sugar and Starch Crops,Sunnhemp (Patua),3,ASKED ABOUT CONTROL OF SHOOT BORER IN SUGARCANE,SUGGESTED TO SPRAY MONOCHROTOPHOS 1.6ml/lit,2012-05-06T14:38:00,2012,5
ANDHRA PRADESH,ANANTPUR,BRAHMASAMUDRAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),0,ASKED ABOUT SOWING SEASON FOR COTTON,SUGGESTED TO GO FOR JULY SOWING,2012-05-06T15:02:00,2012,5
ANDHRA PRADESH,PRAKASAM,GIDDALURU,NA,AGRICULTURE,Others,Others,Soil Testing,ASKED ABOUT DETAILS FOR SOIL TESTING,TOLD THE PROCEDURE FOR COLLECTION OF SOIL SAMPLE AND ALSO SUGGESTED TO CONSULT MANDAL AGRIL.OFFICER,2012-05-06T15:02:00,2012,5
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,HORTICULTURE,Flowers,Carnation,0,ASKED ABOUT CONTROL OF STEM ROT IN CROSSANDRA,SUGGESTED TO SPRAY MANCOZEB 3gm/lit,2012-05-07T15:02:00,2012,5
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,NA,HORTICULTURE,Vegetables,1279,76,ASKED ABOUT CONTROL OF  SHOOT BORER IN BRINJAL,SUGGESTED TO SPRAY PROPHINOPHOS 2ml/lit,2012-05-07T15:02:00,2012,5
ANDHRA PRADESH,GUNTUR,AMARAVATHI,NA,AGRICULTURE,Others,Others,20,ASKED ABOUT THE CONTROL OF TERMITES,SUGGESTED TO SPRAY CHLOROPYRIPHOS 5ml/lit,2012-05-07T15:02:00,2012,5
ANDHRA PRADESH,ANANTPUR,BATHALAPALLE,NA,HORTICULTURE,Fruits,Pomegranate,93,ASKED ABOUT THE CONTACT DETAILS OF POMEGRANATE RESEARCH STATION,"GIVEN CONTACT DETAILS AS PER DATA AVAILABLE
-08554201388",2012-05-07T15:02:00,2012,5
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,NA,ANIMAL HUSBANDRY,Animal,964,Dairy Production,DETAILS ABOUT ESTABLISHMENT OF DAIRY FARM,SUGGESTED TO CONTACT VETERINARY DEPARTMENT AND GIVEN CONTACT DETAILS,2012-05-07T15:02:00,2012,5
ANDHRA PRADESH,GUNTUR,TADIKONDA,NA,HORTICULTURE,Flowers,Anthurium,93,ASKED ABOUT WEATHER SUITABILITY ABOUT ASTERS,GIVEN CONTACT DETAILS OF HORTICULTURE DEPARTMENT,2012-05-07T15:02:00,2012,5
ANDHRA PRADESH,NELLORE,RAPUR,NA,HORTICULTURE,Fruits,Citrus,76,ASKED ABOUT THE CONTROL OF MEALY BUG  IN CITRUS,SUGGESTED TO SPRAY MONOCHROTOPHOS  1.5ml/lit,2012-05-07T15:02:00,2012,5
ANDHRA PRADESH,GUNTUR,GUNTUR,NA,AGRICULTURE,Sugar and Starch Crops,Sunnhemp (Patua),0,asked about sugarcane sowing time,recommended may june in late sowings,2012-05-03T14:18:00,2012,5
ANDHRA PRADESH,PRAKASAM,0   ,JAYAD,HORTICULTURE,Fruits,Citrus,	Plant Protection	,asking about root rot desiase in lemon,NA,2012-05-03T14:36:00,2012,5
ANDHRA PRADESH,KURNOOL,0   ,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Cultural Practices,asked about cultivation details of cotton,information is given as per panchangam,2012-05-04T17:42:00,2012,5
ANDHRA PRADESH,ANANTPUR,0   ,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),5,asked about cotton varieties,information is given as per panchangam,2012-05-05T12:31:00,2012,5
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,NA,AGRICULTURE,Others,Others,Soil Testing,asked about soil testing,information is given as per data,2012-05-05T12:31:00,2012,5
ANDHRA PRADESH,Y S R ,CHINTAKOMMA DINNE,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),2,ASKED ABOUT CONTROL MEASURES OF RUST IN GROUNDNUT,SUGGESTED SPRAYING OF CHOLOROTHALONIL  400gm/200lit WATER,2012-05-05T12:32:00,2012,5
ANDHRA PRADESH,CHITTOOR,0   ,NA,HORTICULTURE,Vegetables,1279,76,ASKED ABOUT CONTROL MEASURES OF FRUIT BORER IN BRINJAL,SUGGESTED SPARYING OF PROPHINOPHOS 2ml/lit,2012-05-05T12:32:00,2012,5
ANDHRA PRADESH,CHITTOOR,NAGARI,NA,AGRICULTURE,Millets,7530,5,"ASKED ABOUT THE TIME GAP BETWEEN EARLY AND LATE VARIETIES
OF RAGI",TOLD THE CROP DURATION depends on variety and it vary from 80 days to 125 days,2012-05-10T11:48:00,2012,5
ANDHRA PRADESH,NELLORE,NAIDUPETA,NA,AGRICULTURE,Cereals,1137,22,ASKED ABOUT THE DETAILS OF WEED CONTROL IN PADDY NURSERY,SUGGESTED TO SPRAY BUTACHLOR 1.5lit/200 lit,2012-05-10T13:22:00,2012,5
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),NA,HORTICULTURE,Vegetables,1282,Cultural Practices,ASKED ABOUT THE DETAILS OF SOWING TIME OF BHENDI,SUGGESTED TO GO FOR JUNE SOWINGS,2012-05-10T13:22:00,2012,5
ANDHRA PRADESH,KRISHNA,KANCHIKACHERLA,NA,AGRICULTURE,Cereals,1137,5,ASKED THE NUMBER FOR IMPROVED SAMBHA MASHURI,IMPROVED SAMBHA MASHURI-DRR RELEASED-RP Bio-226,2012-05-10T13:22:00,2012,5
ANDHRA PRADESH,KURNOOL,DORNIPADU,NA,ANIMAL HUSBANDRY,Animal,964,Dairy Production,ASKED ABOUT MEDICINE FOR BUFFALO,"SUGGESTED TO CONSULT NEAREST VETERINARY DOCTOR
-08518277137",2012-05-10T13:22:00,2012,5
ANDHRA PRADESH,GUNTUR,NAGARAM,NA,AGRICULTURE,Others,Others,0,aasked about farm implements availability number,I have given 040?24018277,2012-05-10T14:59:00,2012,5
ANDHRA PRADESH,NELLORE,0   ,JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),0,asking about cotton melybug,prophanophos 2ml/lit,2012-05-10T15:18:00,2012,5
ANDHRA PRADESH,ANANTPUR,PUTTAPARTHI,NA,AGRICULTURE,Cereals,1137,5,ASKED ABOUT RICE VARIETIES,"SUGGESTED RICE VARIETIES-sona mashuri (BPT3291),jagityal sannalu(JGL 1798),jagityal sambha(JGL 3844)sambha mashuri(BPT 5204)",2012-05-03T06:33:00,2012,5
ANDHRA PRADESH,PRAKASAM,MUNDLAMURU,NA,HORTICULTURE,Vegetables,Onion,74,ASKED ABOUT THE DETAILS OF WEATHER SUITABILITY FOR VEGETABLES,"SUGGESTED TO GO FOR BHENDI,TOMATO AND BRINJAL",2012-05-03T06:33:00,2012,5
