StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,PRAKASAM,BESTAVARIPETA,NA,AGRICULTURE,Others,Others,Nutrient Management,Reclamation of alkaline soils,Apply zypsum 200kg/ Acre field,2015-07-11T08:41:29.843,2015,7
ANDHRA PRADESH,Y S R ,VEERAPANAYANI PALLE,NA,HORTICULTURE,Vegetables,Onion,Nutrient Management,onion nutrient  deficiency,spray   agromin max    5gr /  lit of watrer,2015-07-11T08:49:59.303,2015,7
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Field Preparation	,pest attack on paddy,"Spray, chloropyriphos 2 ml/L water + SAAF 3 gr/ L water",2015-07-11T09:13:23.737,2015,7
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,NA,ANIMAL HUSBANDRY,Animal,Goat,Market Information,VETERNARY,9966208899,2015-07-11T09:25:26.107,2015,7
ANDHRA PRADESH,Y S R ,PULIVENDLA,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,CHILLY SUCKING PESTS,"RECOMMENDED TO SPRAY IMIDACHLOPRID(CONFIDOR, TATAMIDA , VICTOR ,ATOM  ) 100 ML PER ACRE",2015-07-11T09:30:27.153,2015,7
ANDHRA PRADESH,CHITTOOR,K.V.B.PURAM,KHARIF,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),	Plant Protection	,LEAF EATING CATTER PILLER IN GREEN GRAM,PROCLAIM  90 G/ACRE,2015-07-11T09:39:35.753,2015,7
ANDHRA PRADESH,SRIKAKULAM,KOTTURU,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,weather report,"mostly cloudy,thunder strom",2015-07-11T06:19:42.417,2015,7
ANDHRA PRADESH,PRAKASAM,VETAPALEM,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,asked about  APPLICATION OF CALCIUM SULPHATE (GYPSUM),"•Apply gypsum @ 400 kg/ha by the side of the plants on the 40th to 45th day of sowing.   Apply gypsum, hoe and incorporate in the soil and then earth up. 
•Avoid gypsum in calciferous soils.",2015-07-11T06:31:19.04,2015,7
ANDHRA PRADESH,ANANTPUR,BELUGUPPA,NA,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,CONTROL OF    FRUIT BORER  IN TOMATO,RECOMMENDED TO SPRAY IMAMECTIN BENZOATE   100 GR / ACRE,2015-07-11T07:59:13.79,2015,7
ANDHRA PRADESH,KURNOOL,ASPARI,KHARIF,HORTICULTURE,Vegetables,Tomato,Nutrient Management,growthing in tomato,multi k 1kg/acre,2015-07-11T13:36:13.88,2015,7
ANDHRA PRADESH,KURNOOL,ASPARI,NA,AGRICULTURE,Pulses,Black Gram (urd bean),Seeds,seed rate in  black gram,seed rate in  black gram  8-10 kg/acre,2015-07-11T13:38:56.56,2015,7
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,NA,AGRICULTURE,Others,Others,Weather,weather report,Today rain is not likely to occur in your area.,2015-07-11T14:05:14.277,2015,7
ANDHRA PRADESH,Y S R ,KHAJIPET,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,Today rain is not likely to occur in your area.,2015-07-11T14:46:06.153,2015,7
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,NA,AGRICULTURE,Cereals,Paddy (Dhan),Market Information,farm implemnets in paddy,"sri raghava agro engineering works ,r,puram",2015-07-11T15:00:25.55,2015,7
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,AGRICULTURE,Others,Others,Weather,weather report,The rain is not likely to occur in your area.,2015-07-11T15:14:26.377,2015,7
ANDHRA PRADESH,KURNOOL,C.BELAGAL,KHARIF,HORTICULTURE,Vegetables,Onion,	Plant Protection	,onion thrips,"RECOMMENDED TO SPRAY FIPRONIL(REGENT, BILLGRAN, SALVO) 400 ML PER ACRE",2015-07-11T15:19:26.58,2015,7
ANDHRA PRADESH,PRAKASAM,ONGOLE,KHARIF,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),Sowing Time and Weather,about sowing time in green gram,recommended june is the best in kharif,2015-07-11T15:26:54.77,2015,7
ANDHRA PRADESH,GUNTUR,KAKUMANU,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT OF NELLORE,CLOUDY WEATHER,2015-07-11T15:35:37.22,2015,7
ANDHRA PRADESH,GUNTUR,AMARAVATHI,KHARIF,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,Today  rain is not likely to occur in your area. The general level of air blow,2015-07-11T15:36:35.28,2015,7
ANDHRA PRADESH,KRISHNA,NUZVID,KHARIF,AGRICULTURE,Others,Others,Seeds,FORESTRY   NO;,FORESTRY	1800-425-5364,2015-07-11T15:39:43.527,2015,7
ANDHRA PRADESH,ANANTPUR,GUNTAKAL,NA,HORTICULTURE,Vegetables,Onion,	Plant Protection	,weed managaementin onion,recomneded tospray targa super 400 ml/acre,2015-07-10T17:18:03.603,2015,7
ANDHRA PRADESH,Y S R ,KODUR,KHARIF,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,tomato flower drop,recommended to use planofiks 5ml/ 20 liter water,2015-07-10T17:18:22.83,2015,7
ANDHRA PRADESH,VIZIANAGARM,DENKADA,KHARIF,HORTICULTURE,Fruits,Banana,Cultural Practices,weed management  in banana,atrazine 4-6 g/lit water,2015-07-10T17:20:32.957,2015,7
ANDHRA PRADESH,Y S R ,KAMALAPURAM,NA,HORTICULTURE,Vegetables,Onion,Cultural Practices,ONION WEED MANAGEMENT,RECOMMENDED TO SPRAY PENDIMETHALIN(STOMP) 1-1.25 LITRE/ACRE,2015-07-10T17:32:36.14,2015,7
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,NA,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Weed Management,weed control in sugar cane post emergency,METRIBUZIN 200-250 GRAMS PER ACRE,2015-07-10T17:40:00.303,2015,7
ANDHRA PRADESH,KURNOOL,CHAGALAMARRI,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,weather report,"mostly cloudy,thunder strom",2015-07-10T18:17:42.243,2015,7
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,NA,AGRICULTURE,Others,Others,Weather,WEATHER,Today  rain is not likely to occur in your area. The general level of air blow,2015-07-10T18:22:23.957,2015,7
ANDHRA PRADESH,Y S R ,CHINNAMANDEM,KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,WEATHER-REPORT,A moderate thunderstorm today  is likely to take place in your area.,2015-07-10T18:26:01.897,2015,7
ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,KHARIF,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,Today rain is not likely to occur in your area.,2015-07-10T18:51:19.703,2015,7
ANDHRA PRADESH,NELLORE,DORAVARISATRAM,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,Today  rain is not likely to occur in your area. The general level of air blow,2015-07-10T19:06:05.263,2015,7
ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton root rot,blitox 3 gr/lt water and plantomycin 1 gr/10 lt water,2015-07-11T17:44:26.653,2015,7
ANDHRA PRADESH,KURNOOL,TUGGALI,NA,AGRICULTURE,Others,Others,	Plant Protection	,weather report,Today rain is not likely to occur in your area.,2015-07-11T17:44:49.59,2015,7
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,A moderate thunderstorm is likely to take place in your area.,2015-07-11T17:52:36.68,2015,7
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,KHARIF,AGRICULTURE,Others,Others,Weather,weather report of Krishna,1. 	The rain is not likely to occur in your area. The general level of air blow,2015-07-11T17:54:23.52,2015,7
ANDHRA PRADESH,CHITTOOR,IRALA,NA,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,tomato early blight,"RECOMMENDED TO SPRAY MANCOZEB (DITHANE M-45, INDOFIL M-45, MANJET)  500-600 GRAMS  PER ACRE",2015-07-10T07:56:10.613,2015,7
ANDHRA PRADESH,Y S R ,KAMALAPURAM,KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,SUCKING PEST IN  NURSERY PADDY,"RECOMMENDED TO SPRAY ACEPHATE (ANTAF, ARTIN, LUCID )  300 GRAMS PER ACRE",2015-07-11T18:09:52.597,2015,7
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,chilli rot in nursery stage,copper oxi chloride 3gm /liter,2015-07-11T18:10:01.827,2015,7
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),Sowing Time and Weather,SOWING TIME IN COTTON,JUNE -JULY,2015-07-11T18:34:37.007,2015,7
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,NA,AGRICULTURE,Others,Others,Weather,weather report,Today rain is not likely to occur in your area. The general level of air blow,2015-07-11T18:36:21.577,2015,7
ANDHRA PRADESH,Y S R ,KAMALAPURAM,KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,SUCKING PEST IN  NURSERY PADDY,"RECOMMENDED TO SPRAY ACEPHATE (ANTAF, ARTIN, LUCID )  300 GRAMS PER ACRE",2015-07-11T18:45:05.47,2015,7
ANDHRA PRADESH,ANANTPUR,BRAHMASAMUDRAM,NA,HORTICULTURE,Vegetables,Onion,	Plant Protection	,onion leaf spot,"CARBENDAZIM (BAVISTIN, DEROSAL, CARBENDAZIM) 200 GRAMS PER ACRE",2015-07-11T19:05:23.63,2015,7
ANDHRA PRADESH,PRAKASAM,SANTHANUTHALA PADU,NA,AGRICULTURE,Others,Others,Weather,weather report,Today rain is not likely to occur in your area. The general level of air blow,2015-07-11T19:10:04.783,2015,7
ANDHRA PRADESH,VISAKHAPATNAM,G.MADUGULA,NA,AGRICULTURE,Others,Others,Market Information,asking ao contact number,"ADA, Chodavaram
8886614043",2015-07-11T19:21:13.877,2015,7
ANDHRA PRADESH,GUNTUR,MACHERLA,NA,AGRICULTURE,Others,Others,Weather,weather report,The rain is not likely to occur in your area.,2015-07-11T20:01:10.753,2015,7
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,NA,HORTICULTURE,Vegetables,Beans ,	Plant Protection	,flower drop in beans,recommended for planofix 5ml/20 lt water,2015-07-11T20:28:56.157,2015,7
ANDHRA PRADESH,KRISHNA,PAMARRU,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,Today rain is not likely to occur in your area.,2015-07-11T20:31:37.343,2015,7
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,NA,HORTICULTURE,Vegetables,Onion,	Plant Protection	,improve bulb size   in onion,spray  13  0  45   5 gr / lit of water,2015-07-12T07:07:36.403,2015,7
ANDHRA PRADESH,NELLORE,VENKATAGIRI,NA,AGRICULTURE,Cereals,Triticale,Fertilizer Use and Availability,drum seed poddy wed management,sprey rec. dosage of sadhi,2015-07-12T07:11:54.97,2015,7
ANDHRA PRADESH,KRISHNA,CHATRAI,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,zn deff. in rice,zn sulphate 2gr/lit water,2015-07-12T07:25:43.377,2015,7
ANDHRA PRADESH,Y S R ,PORUMAMILLA,NA,AGRICULTURE,Others,Others,Weather,weather report,2.	moderate A thunderstorm is likely to take place in your area.,2015-07-12T07:34:54.56,2015,7
ANDHRA PRADESH,KURNOOL,KOWTHALAM,NA,HORTICULTURE,Vegetables,Onion,Market Information,MARKET RATE ONION,1700-2300 RS / QUINTAL,2015-07-12T07:46:50.76,2015,7
