StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,ANANTPUR,YELLANUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton sucking pest,RECOMMENDED TO SPRAY FLUNICAMIDE (ULALA)75 GRAMS PER ACRE,2015-09-03T21:35:07.643,2015,9
ANDHRA PRADESH,GUNTUR,EDLAPADU,KHARIF,HORTICULTURE,Plantation Crops,Coconut,Seeds and Planting Material,coconut  plants,coconut  plants 08856`243847,2015-09-03T21:44:51.58,2015,9
ANDHRA PRADESH,NELLORE,KOTA,NA,HORTICULTURE,Flowers,Crossandra,"Water Management, Micro Irrigation",pre emergencence herbicide,RECOMMENDED TO SPRAY PENDIMETHALIN(STOMP) 1-1.25 LITRE/ACRE,2015-09-04T06:10:10.16,2015,9
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,NA,AGRICULTURE,Others,Others,Weed Management,weed controll in prea ration field,"RECOMMENDED TO SPRAY GLYPOSATE(GLYCEL, ROUNDUP) 2 LITRES PER ACRE",2015-09-04T06:49:42.647,2015,9
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,HORTICULTURE,Vegetables,Onion,	Plant Protection	,sucking pest,ACEPHATE 300 GR/ACRE IN  200 LT WATER,2015-09-04T07:01:18.01,2015,9
ANDHRA PRADESH,ANANTPUR,PEDDAVADUGUR,NA,AGRICULTURE,Others,Others,Weather,weather report,CHANCES OF RAINS,2015-09-04T07:10:07.023,2015,9
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,FISHERIES,Inland,Fresh Water,Fish  Marketing,FISHERIES SUPPORT INFORMATION,RECOMMENDED TO CONTACT 18004251660,2015-09-03T15:10:27.533,2015,9
ANDHRA PRADESH,GUNTUR,RAJUPALEM,NA,AGRICULTURE,Others,Others,Weather,weather report for kubadpuram,a moderate thunder storm occurs in your area,2015-09-03T15:57:42.163,2015,9
ANDHRA PRADESH,KURNOOL,PANYAM,NA,AGRICULTURE,Others,Others,Weather,weather report of Kurnool dist,The rain is not likely to occur in your area.,2015-09-03T16:26:57.257,2015,9
ANDHRA PRADESH,KURNOOL,TUGGALI,KHARIF,AGRICULTURE,Others,Others,Weather,weather report,severe thunderstorm is likely to take place in your area.,2015-09-03T16:36:48.647,2015,9
