StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,CHITTOOR,KUPPAM,NA,AGRICULTURE,Others,Others,Weather,weather report information;,weather information : Today there is no chance of rainfall in your area,2017-05-05T06:25:22.05,2017,5
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,leaf spot in cotton,leaf spot in cotton;RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM /200 LITERS OF WATER / ACRE,2017-05-05T06:55:21.443,2017,5
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,HORTICULTURE,Flowers,Jasmine,	Plant Protection	,bud worm management in jasmine,bud worm management in jasmine : RECOMMENDED TO SPRAY   THIACLOPRID 250ML / 200 LITRES OF WATER /ACRE,2017-05-05T07:13:13.263,2017,5
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,NA,HORTICULTURE,Vegetables,Chillies,Nutrient Management,chilli flower dropping,chilli flower dropping;RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITERS OF WATER /ACRE,2017-05-05T07:31:41.353,2017,5
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,NA,AGRICULTURE,Others,Others,Weather,weather report,no rain your area cloudy weather occur,2017-05-05T07:35:35.77,2017,5
ANDHRA PRADESH,KURNOOL,ADONI,NA,AGRICULTURE,Others,Others,Weather,doddanakeri weather report,"doddanakeri weather report; no rain ,cloudy weather in your area",2017-05-05T08:09:47.083,2017,5
ANDHRA PRADESH,VISAKHAPATNAM,ANANTHAGIRI,NA,HORTICULTURE,Vegetables,Amaranthus/Grain Amaranthus,Cultural Practices,weed management in amaranthus,weed management in amaranthus :RECOMMENDED TO SPRAY PENDIMETHALIN  1-1.25 LITRE/ACRE,2017-05-05T09:08:16.447,2017,5
ANDHRA PRADESH,PRAKASAM,TARLUPADU,NA,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Market Information,bengalgram market information,"bengalgram market information ;04/05/2017 Gulabi minimum - 8800 , maximum - 9000 rupees/quintol",2017-05-05T09:10:17.503,2017,5
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA,2017-05-04T16:43:09.993,2017,5
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,NA,AGRICULTURE,Others,Others,Weather,weather report,"weather report
 no rain your area cloudy weather occur",2017-05-04T17:05:32.9,2017,5
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,RABI,AGRICULTURE,Others,Others,Government Schemes,Farmer needs information regarding govt. schemes?,Recommended for know about govt. schemes please contact rural agriculture extension officer (RAEO).,2017-05-04T14:59:11.58,2017,5
ANDHRA PRADESH,KRISHNA,CHALLAPALLI,NA,AGRICULTURE,Others,Others,Government Schemes,government schemes,contact your mandal agriculture officer,2017-05-04T15:15:35.963,2017,5
ANDHRA PRADESH,KRISHNA,CHALLAPALLI,NA,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,SHOOT AND FRUIT MANAGEMENT IN BRINJAL,SHOOT AND FRUIT MANAGEMENT IN BRINJAL : RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /150 LITRES OF WATER / ACRE,2017-05-04T08:43:54.777,2017,5
ANDHRA PRADESH,VISAKHAPATNAM,CHODAVARAM,NA,HORTICULTURE,Fruits,Banana,Seeds and Planting Material,TISSUE CULTURE BANANA PLANTS,"CONTACT NUMBER -0863-2255535, 8008595824",2017-05-04T09:13:56.637,2017,5
ANDHRA PRADESH,NELLORE,DAGADARTHI,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,MOSTLY CLOUDY WEATHER OCCURS IN YOUR AREA.,2017-05-04T09:28:02.547,2017,5
ANDHRA PRADESH,VISAKHAPATNAM,CHEEDIKADA,NA,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),	Plant Protection	,YELLOW MOSAIC DISEASE MANAGEMENT IN GREEN GRAM,YELLOW MOSAIC DISEASE MANAGEMENT IN GREEN GRAM: RECOMMENDED TO DESTROY VIRUS AFFECTED PLANTS AND RECOMMENDED TO SPRAY TRIZOPHOS 300 ML/200 LITRES OF WATER,2017-05-04T09:36:20.227,2017,5
ANDHRA PRADESH,ANANTPUR,BOMMANAHAL,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Seeds,groundnut seed treatment,groundnut seed treatment : recommended to apply imidacloprid 5 grams per kg of seed,2017-05-04T09:45:32.97,2017,5
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT INFORMATION :,TODAY THERE IS NO RAINFALL FALL IN YOUR PLACE,2017-05-04T10:14:48.383,2017,5
ANDHRA PRADESH,Y S R ,MYDUKUR,NA,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,VETERINARY INFORMATION;,"VETERINARY INFORMATION; 1800-425-3004 (TOLL FREE) , 
9948193588 MAHENDAR",2017-05-04T12:29:33.927,2017,5
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA,2017-05-04T12:43:13.973,2017,5
ANDHRA PRADESH,WEST GODAVARI,T.NARASAPURAM,NA,AGRICULTURE,Others,Others,Weather,weather report,CLOUDY WEATHER OCCUR IN YOUR AREA,2017-05-04T12:48:39.533,2017,5
ANDHRA PRADESH,ANANTPUR,KALYANDRUG,NA,AGRICULTURE,Oilseeds,"Castor (Rehri, Rendi, Arandi) ",Varieties,CASTOR VARIETIES;,"CASTOR VARIETIES;  STRAIGHT VARIETIES : KRANTHI , HARITHA ,KIRAN ,JWALA,
HYBRIDS : PCH-111 ,PCH-222 ,GCH-4 ,DPH-177 ,DCH-519",2017-05-04T13:51:18.213,2017,5
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,WEATHER REPORT:MOSTLYCLOUDY WEATHER OCCURS IN YOUR AREA,2017-05-04T14:39:06.38,2017,5
ANDHRA PRADESH,ANANTPUR,YELLANUR,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,,2017-05-04T14:39:19.617,2017,5
ANDHRA PRADESH,KURNOOL,KURNOOL,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT INFORMATION :,WEATHER REPORT INFORMATION :TODAY THERE IS NO RAINFALL IN YOUR PLACE,2017-05-04T10:42:58.84,2017,5
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,JAYAD,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,leaf eating caterpillar in brinjal,RECOMMENDED TO SPRAY AZADIRHACHTIN ( NEEM SEED KERNAL OIL )  1 LITER /200 LITERS OF WATER /ACRE,2017-05-04T10:47:16.597,2017,5
ANDHRA PRADESH,ANANTPUR,KALYANDRUG,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT INFORMATION;,weather information : Today there is no chance of rainfall in your area,2017-05-04T10:47:48.33,2017,5
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,NA,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Weed Management,SUGARCANE WEED MANAGEMENT,"RECOMMENDED TO SPRAY 2,4 D SODIUM SALT 1800 GRAMS PER ACRE IN 450 LITER WATER",2017-05-04T10:50:01.33,2017,5
ANDHRA PRADESH,ANANTPUR,SETTUR,NA,HORTICULTURE,Fruits,Pomegranate,	Plant Protection	,TERMITES DAMAGE IN POMEGRANATE,DRENCH WITH CHLOROPYRIPHOS 5 ML PER LITRE AT THE BASE OF THE STEM,2017-05-04T10:50:40.983,2017,5
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT IN UPPALAGUPTAM,"NO RAIN, MOSTLY SUNNY  AND CLOUDY WEATHER OCCUR IN YOUR AREA",2017-05-04T10:54:38.137,2017,5
ANDHRA PRADESH,PRAKASAM,NAGULUPPALA PADU,NA,HORTICULTURE,Vegetables,Ivy Gourd,Cultural Practices,sowing time of ivy gourd,sowing time of ivy gourd: recommended to sow in the  month of june,2017-05-04T11:04:17.227,2017,5
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,NA,AGRICULTURE,Others,Others,Soil Testing,CONTACT INFORMATION OF SOIL TESTING LAB,"CONTACT INFORMATION OF SOIL TESTING LAB:  
Vijayawada	-	8096697076	0866-2090021	Assistant Director of Agriculture, (Soil Testing Laboratory) Near Gollapudi Market Yard, Vijayawada -521225, Krishna District.",2017-05-04T11:09:31.54,2017,5
ANDHRA PRADESH,WEST GODAVARI,PALAKODERU,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,RHINOCEROUS MANAGEMENT IN COCONUT,RHINOCEROUS MANAGEMENT IN COCONUT : RECOMMENDED TO APPLY 100 GRAMS NEEM POWDER + 150 GRAMS SAND,2017-05-04T11:11:25.94,2017,5
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,WEATHER REPORT:PARTLY CLOUDY TYPE OF WEATHER OCCUR IN YOUR AREA,2017-05-04T11:26:47.803,2017,5
ANDHRA PRADESH,WEST GODAVARI,PENUMANTRA,NA,HORTICULTURE,Condiments and Spices,Pepper,Seeds and Planting Material,ASKED ABOUT BLACK PEPPER RESEARCH STATION NUMBER,ASKED ABOUT BLACK PEPPER RESEARCH STATION NUMBER : 08048568359,2017-05-04T11:32:20.043,2017,5
ANDHRA PRADESH,SRIKAKULAM,SARUBUJJILI,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,WEATHER REPORT : NO RAIN YOUR AREA CLOUDY WEATHER OCCUR,2017-05-04T11:36:13.74,2017,5
ANDHRA PRADESH,KURNOOL,ADONI,NA,AGRICULTURE,Pulses,Black Gram (urd bean),Sowing Time and Weather,sowing time of blackgram,sowing time of blackgram : recommended to sown in the month of june,2017-05-05T09:19:02.887,2017,5
ANDHRA PRADESH,GUNTUR,VINUKONDA,NA,HORTICULTURE,Vegetables,Onion,Cultural Practices,SOILS SUITABLE FOR ONION,SOILS SUITABLE FOR ONION: FERTILE SOILS WITH DRAINAGE ARE SUITABLE,2017-05-05T09:28:59.413,2017,5
ANDHRA PRADESH,GUNTUR,PONNUR,NA,AGRICULTURE,Pulses,Black Gram (urd bean),Market Information,market information of blackgram,market information of blackgram : minimum price -4700Rs./Quintal	maximum price-5000Rs./Quintal	modal price-4800Rs./Quintal,2017-05-05T09:55:46.163,2017,5
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,"WEATHER REPORT
MOSTLY CLOUDY WEATHER OCCURS IN YOUR AREA.",2017-05-05T10:01:38.99,2017,5
ANDHRA PRADESH,KRISHNA,MUSUNURU,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT IN MUSUNURU,A  thunderstorm is likely to  take place in your area,2017-05-05T10:13:45.597,2017,5
ANDHRA PRADESH,ANANTPUR,PAMIDI,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,"WEATHER REPORT
MOSTLY CLOUDY WEATHER OCCURS IN YOUR AREA.",2017-05-05T10:26:59.37,2017,5
ANDHRA PRADESH,GUNTUR,BAPATLA,NA,HORTICULTURE,Vegetables,Ribbed Gourd (Kali Tori),	Plant Protection	,RIDGE GOURD LEAF MINER MANAGEMENT :,RIDGE GOURD LEAF MINER MANAGEMENT :RECOMMENDED TO SPRAY  OXYDEMETON-METHYL  400 ML/  200 LITRES OF WATER /ACRE,2017-05-04T17:37:43.033,2017,5
