StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,ANANTPUR,GOOTY,KHARIF,AGRICULTURE,Others,Others,Weather,WEATHER  REPORT,"WEATHER REPORT : DRY WEATHER, NO CHANCE OF RAINFALL IN YOUR AREA",2018-08-09T18:48:08.75,2018,8
ANDHRA PRADESH,KRISHNA,MACHILIPATNAM,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT :,"MOSTLY CLOUDY WEATHER OCCURS IN YOUR AREA, THERE IS A CHANCE OF RAINFALL IN YOUR AREA",2018-08-09T20:08:33.803,2018,8
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,KHARIF,HORTICULTURE,Vegetables,Chillies,Nutrient Management,CHILLI NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY [19-19-19] NPK  5 GRAMS/1 LITRE OF WATER,2018-08-09T20:29:48.36,2018,8
ANDHRA PRADESH,CHITTOOR,CHITTOOR,NA,HORTICULTURE,Vegetables,Brinjal,Agriculture Mechanization,BRINJAL MEAALY BUG MANAGEMENT,RECOMMENDED TO SPRAY PROFENOFOS  400 ML/200 LITRES OF WATER /  ACRE,2018-08-09T20:30:12.523,2018,8
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,256,418,10702,1,WEATHER REPORT,"WEATHER REPORT : CLOUDY WEATHER OCCUR, NO CHANCE OF RAINFALL IN YOUR AREA",2018-08-11T18:33:48.64,2018,8
ANDHRA PRADESH,GUNTUR,CHEBROLE,NA,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,paddy weed management;,"RECOMMENDED TO SPRAY CYHALOFOP-P- BUTYL (CLINCHER , WRAPUP ) 250 ML/200 LITRES OF WATER  PER  ACRE",2018-08-11T19:59:38.16,2018,8
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,NA,256,418,10702,1,WEATHER INFORMATION,"WEATHER INFORMATION : CLOUDY WEATHER , CHANCE OF  SHOWERS IN YOUR AREA",2018-08-11T20:06:53.01,2018,8
ANDHRA PRADESH,NELLORE,DORAVARISATRAM,NA,256,418,10702,1,WEATHER REPORT :,"WEATHER REPORT :
MOSTLY CLOUDY WEATHER OCCURS IN YOUR AREA, THERE IS A CHANCE OF RAINFALL IN YOUR AREA",2018-08-11T20:35:12.013,2018,8
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,KHARIF,256,418,10702,1,weather report,"WEATHER INFORMATION : CLOUDY WEATHER , CHANCE OF  SHOWERS IN YOUR AREA",2018-08-12T07:38:01.823,2018,8
ANDHRA PRADESH,GUNTUR,TENALI,NA,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,WEED MANAGEMENT IN DIRECT SEEDED PADDY FEILD,RECOMMENDED TO SPRAY PYRAZOSULFURON ETHYL   80-100 GRAMS PER ACRE,2018-08-08T11:12:52.323,2018,8
