StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,PRAKASAM,PODILI,NA,AGRICULTURE,0,0,Government Schemes,PODILI AGRICULTURE OFFICER CONTACT NUMBER ,PODILI AGRICULTURE OFFICER CONTACT NUMBER : 8886613186,2019-09-07T14:02:42.37,2019,9
ANDHRA PRADESH,ANANTPUR,TADIMARRI,NA,AGRICULTURE,Others,Others,Government Schemes,DETAILS OF PM KISAN UTHPADHANA YOJANA SCHEME,RECOMMENDED THAT SCHEME IS NOT IN USE NOW ,2019-09-09T19:54:48.667,2019,9
ANDHRA PRADESH,KRISHNA,KANCHIKACHERLA,NA,AGRICULTURE,Others,Others,Weather,"WEATHER REPORT
","THERE IS A CHANCE  OF CLOUDY SHOWERS IN YOUR AREA  
",2019-09-09T20:05:33.95,2019,9
ANDHRA PRADESH,VIZIANAGARM,MAKKUVA,NA,HORTICULTURE,Vegetables,White Yam,	Plant Protection	,YAM ROOT ROT MANAGEMENT,RECOMMENDED TO DRENCH COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER  ,2019-09-10T08:17:28.673,2019,9
ANDHRA PRADESH,ANANTPUR,GARLADINNE,NA,HORTICULTURE,Fruits,Mango,Fertilizer Use and Availability,mango fertilizer management ,"recommended to apply 10 years above plant for 100 kg farm yard manure,1 kg urea,1kg phosphorous,1 kg potash ",2019-09-10T08:18:54.567,2019,9
ANDHRA PRADESH,ANANTPUR,URAVAKONDA,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT :,"WEATHER REPORT : DRY WEATHER,CHANCE OF SHOWERS IN YOUR AREA 
",2019-09-10T13:00:36.467,2019,9
ANDHRA PRADESH,Y S R ,BADVEL,NA,AGRICULTURE,Others,Others,Weed Management,WEED MANAGEMENT IN BARREN LANDS ,"RECOMMENDED TO SPRAY PARAQUAT 1 LITRE /200 LITRES OF WATER PER ACRE  
",2019-09-10T13:06:00.98,2019,9
ANDHRA PRADESH,KRISHNA,BAPULAPADU,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,banana Sigatoka leaf spot management ,"RECOMMENDED TO spray COPPER OXYCHLORIDE  3 GRAMS / 1 LITRE OF WATER  
",2019-09-10T13:14:28.097,2019,9
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,"WEATHER REPORT : DRY WEATHER,CHANCE OF SHOWERS IN YOUR AREA 
",2019-09-10T13:16:19.62,2019,9
ANDHRA PRADESH,GUNTUR,TADEPALLE,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,paddy case worm management ," RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
",2019-09-10T13:19:56.79,2019,9
ANDHRA PRADESH,ANANTPUR,VAJRAKARUR,NA,AGRICULTURE,0,0,Government Schemes,PMFBY,RECOMMENDED TO CONTACT MANDAL AGRICULTURE OFFICER,2019-09-10T13:26:42.737,2019,9
ANDHRA PRADESH,KURNOOL,TUGGALI,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT :," THERE IS A CHANCE OF CLOUDY WEATHER 
",2019-09-10T13:27:15.45,2019,9
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,"WEATHER REPORT : CLOUDY WEATHER ,CHANCE OF RAIN IN YOUR AREA 
",2019-09-10T13:32:35.27,2019,9
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT,"WEATHER REPORT : DRY WEATHER,CHANCE OF SHOWERS IN YOUR AREA 
",2019-09-10T11:14:09.72,2019,9
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Nutrient Management,NUTRIENT MANAGEMENT,"RECOMMENDED TO SPRAY POTASSIUM NITRATE (13-0-45) 5 GRAMS/1 LITRE OF WATER  
",2019-09-10T11:17:58.53,2019,9
ANDHRA PRADESH,KRISHNA,BAPULAPADU,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,TRICHODERMA VIRIDE APPLICATION IN BANANA FIELD,"RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITRES OF WATER /ACRE  
",2019-09-10T11:20:00.537,2019,9
ANDHRA PRADESH,SRIKAKULAM,PALAKONDA,NA,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,paddy fertilizer management  ,"recommended to apply  urea 30 kg,potash 20 kg /acre ",2019-09-10T11:26:22.007,2019,9
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,NA,AGRICULTURE,Others,Others,Weather,"WEATHER REPORT
","THERE IS A CHANCE  OF CLOUDY SHOWERS IN YOUR AREA  
",2019-09-10T11:41:45.473,2019,9
ANDHRA PRADESH,VIZIANAGARM,VEPADA,NA,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),	Plant Protection	,bhindi Leaf roller management ,"Collect and destroy rolled leaves
Spray carbaryl 50 WP 2 g/lit or phosalone 35 EC 2 ml/lit",2019-09-10T11:49:07.317,2019,9
ANDHRA PRADESH,GUNTUR,TSUNDUR,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT :," THERE IS A CHANCE OF CLOUDY WEATHER 
",2019-09-10T08:34:55.66,2019,9
ANDHRA PRADESH,Y S R ,VEMULA,NA,HORTICULTURE,Fruits,Citrus,	Plant Protection	,citrus canker management ," RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS +STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE  
",2019-09-10T08:42:59.53,2019,9
ANDHRA PRADESH,ANANTPUR,MADAKASIRA,NA,HORTICULTURE,Fruits,Citrus,	Plant Protection	,SPOT MANAGEMENT,"RECOMMENDED TO SPRAY BORAX 2 GRAMS/1 LITRE OF WATER
",2019-09-10T08:44:03.99,2019,9
ANDHRA PRADESH,KURNOOL,TUGGALI,NA,AGRICULTURE,Others,Others,Weather,WEATHER REPORT :," THERE IS A CHANCE OF DRY WEATHER, SHOWERS IN YOUR AREA 
",2019-09-08T19:09:22.577,2019,9
ANDHRA PRADESH,NELLORE,CHITTAMUR,NA,AGRICULTURE,Others,Others,Government Schemes,INFORMATION ABOUT KISAN CREDIT CARD,RECOMMENDED TO CONSULT NEAREST LEAD  BANK,2019-09-10T09:42:48.05,2019,9
ANDHRA PRADESH,ANANTPUR,GOOTY,NA,AGRICULTURE,Others,Others,Weather,"WEATHER REPORT 
","THRER IS A CLOUDY WEATHER IN YOUR AREA
",2019-09-10T09:47:33.623,2019,9
ANDHRA PRADESH,ANANTPUR,BUKKAPATNAM,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,CHILLI THRIPS MANAGEMENT,": THERE IS A CHANCE OF CLOUDY WEATHER 
",2019-09-10T10:01:09.37,2019,9
