StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,NA,AGRICULTURE,Cereals,Paddy (Dhan),Weather,Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది

",2022-06-07T14:12:51.59,2022,6
ANDHRA PRADESH,ANANTPUR,NARPALA,NA,AGRICULTURE,Vegetables,Tomato,Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది & వర్షం పడే అవకాశం ఉంది
",2022-06-07T14:37:36.24,2022,6
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"     మీ వాతావరణం మొబ్బులతో ఉంటుంది ,జల్లుప్రాంతములో లు పడే అవకాశం ఉంది",2022-06-07T14:42:15.483,2022,6
ANDHRA PRADESH,ANANTPUR,KANEKAL,NA,AGRICULTURE,Others,Groundnut (pea nut/mung phalli),Weather,Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది ",2022-06-07T14:57:44.24,2022,6
ANDHRA PRADESH,NELLORE,DAGADARTHI,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Nutrient Management,farmer asked about nutrient management in groundnut ?," RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER/ ACRE (1KG/ACRE/200 LITS OF WATER)
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
RECOMMENDED TO SPRAY AGROMINIMAX 3 GRAMS /1 LITER OF WATER 
 అగ్రోమిం మాక్స్ @౩గ్రాములు ఒక లీటర్ నీటికి.
",2022-06-07T14:58:13.833,2022,6
ANDHRA PRADESH,KURNOOL,ALUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"WEATHER REPORT : THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
",2022-06-07T15:00:39.54,2022,6
ANDHRA PRADESH,SRIKAKULAM,JALUMURU,NA,AGRICULTURE,Others,Black Gram (urd bean),Weather,Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది ",2022-06-07T15:28:09.587,2022,6
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN Correction is pending at state,-- RECOMMENDED TO PLEASE  CONTACT MANDAL AGRICULTURAL OFFFICER (MAO) ABOUT THIS  SCHEME,2022-06-07T12:37:01.637,2022,6
ANDHRA PRADESH,KURNOOL,TUGGALI,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది , వర్షం  పడే అవకాశం లేదు 
",2022-06-07T13:15:23.703,2022,6
ANDHRA PRADESH,KURNOOL,ALLAGADDA,NA,AGRICULTURE,Oilseeds,Soybean (bhat),Sowing Time and Weather,farmer asked about sowing time of soybean ?,"recommended sowing time of soybean is in the months of JUNE-15 to JULY-15 as kharif crop , in the month of OCT as rabi crop ",2022-06-07T13:22:15.423,2022,6
